Fri Dec 27 19:13:23 CET 2013: Problem Count: 100
Fri Dec 27 19:13:23 CET 2013: CandidatesCount: 100
Fri Dec 27 19:13:23 CET 2013: Max Cycles: 500
Fri Dec 27 19:13:25 CET 2013: 0: finished (1934ms, 500cycles)
Fri Dec 27 19:13:25 CET 2013: 0: No solution found.
Fri Dec 27 19:13:27 CET 2013: 1: finished (1939ms, 500cycles)
Fri Dec 27 19:13:27 CET 2013: 1: No solution found.
Fri Dec 27 19:13:29 CET 2013: 2: finished (1879ms, 500cycles)
Fri Dec 27 19:13:29 CET 2013: 2: No solution found.
Fri Dec 27 19:13:29 CET 2013: 3: finished (419ms, 97cycles)
Fri Dec 27 19:13:29 CET 2013: 3: Solution found.
Fri Dec 27 19:13:32 CET 2013: 4: finished (2741ms, 500cycles)
Fri Dec 27 19:13:32 CET 2013: 4: No solution found.
Fri Dec 27 19:13:34 CET 2013: 5: finished (1894ms, 500cycles)
Fri Dec 27 19:13:34 CET 2013: 5: No solution found.
Fri Dec 27 19:13:36 CET 2013: 6: finished (1991ms, 500cycles)
Fri Dec 27 19:13:36 CET 2013: 6: No solution found.
Fri Dec 27 19:13:39 CET 2013: 7: finished (2756ms, 500cycles)
Fri Dec 27 19:13:39 CET 2013: 7: No solution found.
Fri Dec 27 19:13:41 CET 2013: 8: finished (1866ms, 500cycles)
Fri Dec 27 19:13:41 CET 2013: 8: No solution found.
Fri Dec 27 19:13:43 CET 2013: 9: finished (1900ms, 500cycles)
Fri Dec 27 19:13:43 CET 2013: 9: No solution found.
Fri Dec 27 19:13:44 CET 2013: 10: finished (1879ms, 500cycles)
Fri Dec 27 19:13:44 CET 2013: 10: No solution found.
Fri Dec 27 19:13:47 CET 2013: 11: finished (2602ms, 500cycles)
Fri Dec 27 19:13:47 CET 2013: 11: No solution found.
Fri Dec 27 19:13:49 CET 2013: 12: finished (1684ms, 500cycles)
Fri Dec 27 19:13:49 CET 2013: 12: No solution found.
Fri Dec 27 19:13:51 CET 2013: 13: finished (2020ms, 500cycles)
Fri Dec 27 19:13:51 CET 2013: 13: No solution found.
Fri Dec 27 19:13:53 CET 2013: 14: finished (1900ms, 500cycles)
Fri Dec 27 19:13:53 CET 2013: 14: No solution found.
Fri Dec 27 19:13:55 CET 2013: 15: finished (1820ms, 500cycles)
Fri Dec 27 19:13:55 CET 2013: 15: No solution found.
Fri Dec 27 19:13:56 CET 2013: 16: finished (1775ms, 500cycles)
Fri Dec 27 19:13:56 CET 2013: 16: No solution found.
Fri Dec 27 19:13:58 CET 2013: 17: finished (1890ms, 500cycles)
Fri Dec 27 19:13:58 CET 2013: 17: No solution found.
Fri Dec 27 19:14:00 CET 2013: 18: finished (1672ms, 500cycles)
Fri Dec 27 19:14:00 CET 2013: 18: No solution found.
Fri Dec 27 19:14:02 CET 2013: 19: finished (1890ms, 500cycles)
Fri Dec 27 19:14:02 CET 2013: 19: No solution found.
Fri Dec 27 19:14:04 CET 2013: 20: finished (1750ms, 500cycles)
Fri Dec 27 19:14:04 CET 2013: 20: No solution found.
Fri Dec 27 19:14:05 CET 2013: 21: finished (1987ms, 500cycles)
Fri Dec 27 19:14:05 CET 2013: 21: No solution found.
Fri Dec 27 19:14:07 CET 2013: 22: finished (2005ms, 500cycles)
Fri Dec 27 19:14:07 CET 2013: 22: No solution found.
Fri Dec 27 19:14:09 CET 2013: 23: finished (1986ms, 500cycles)
Fri Dec 27 19:14:09 CET 2013: 23: No solution found.
Fri Dec 27 19:14:10 CET 2013: 24: finished (832ms, 187cycles)
Fri Dec 27 19:14:10 CET 2013: 24: Solution found.
Fri Dec 27 19:14:13 CET 2013: 25: finished (2735ms, 500cycles)
Fri Dec 27 19:14:13 CET 2013: 25: No solution found.
Fri Dec 27 19:14:13 CET 2013: 26: finished (84ms, 21cycles)
Fri Dec 27 19:14:13 CET 2013: 26: Solution found.
Fri Dec 27 19:14:15 CET 2013: 27: finished (1805ms, 500cycles)
Fri Dec 27 19:14:15 CET 2013: 27: No solution found.
Fri Dec 27 19:14:17 CET 2013: 28: finished (1848ms, 500cycles)
Fri Dec 27 19:14:17 CET 2013: 28: No solution found.
Fri Dec 27 19:14:17 CET 2013: 29: finished (258ms, 60cycles)
Fri Dec 27 19:14:17 CET 2013: 29: Solution found.
Fri Dec 27 19:14:19 CET 2013: 30: finished (1812ms, 500cycles)
Fri Dec 27 19:14:19 CET 2013: 30: No solution found.
Fri Dec 27 19:14:19 CET 2013: 31: finished (204ms, 51cycles)
Fri Dec 27 19:14:19 CET 2013: 31: Solution found.
Fri Dec 27 19:14:19 CET 2013: 32: finished (282ms, 69cycles)
Fri Dec 27 19:14:19 CET 2013: 32: Solution found.
Fri Dec 27 19:14:21 CET 2013: 33: finished (1760ms, 500cycles)
Fri Dec 27 19:14:21 CET 2013: 33: No solution found.
Fri Dec 27 19:14:23 CET 2013: 34: finished (1852ms, 500cycles)
Fri Dec 27 19:14:23 CET 2013: 34: No solution found.
Fri Dec 27 19:14:25 CET 2013: 35: finished (1837ms, 500cycles)
Fri Dec 27 19:14:25 CET 2013: 35: No solution found.
Fri Dec 27 19:14:26 CET 2013: 36: finished (1664ms, 500cycles)
Fri Dec 27 19:14:26 CET 2013: 36: No solution found.
Fri Dec 27 19:14:28 CET 2013: 37: finished (1901ms, 500cycles)
Fri Dec 27 19:14:28 CET 2013: 37: No solution found.
Fri Dec 27 19:14:30 CET 2013: 38: finished (1812ms, 500cycles)
Fri Dec 27 19:14:30 CET 2013: 38: No solution found.
Fri Dec 27 19:14:32 CET 2013: 39: finished (1922ms, 500cycles)
Fri Dec 27 19:14:32 CET 2013: 39: No solution found.
Fri Dec 27 19:14:33 CET 2013: 40: finished (446ms, 94cycles)
Fri Dec 27 19:14:33 CET 2013: 40: Solution found.
Fri Dec 27 19:14:34 CET 2013: 41: finished (1789ms, 500cycles)
Fri Dec 27 19:14:34 CET 2013: 41: No solution found.
Fri Dec 27 19:14:36 CET 2013: 42: finished (1948ms, 500cycles)
Fri Dec 27 19:14:36 CET 2013: 42: No solution found.
Fri Dec 27 19:14:38 CET 2013: 43: finished (2132ms, 500cycles)
Fri Dec 27 19:14:38 CET 2013: 43: No solution found.
Fri Dec 27 19:14:40 CET 2013: 44: finished (1902ms, 500cycles)
Fri Dec 27 19:14:40 CET 2013: 44: No solution found.
Fri Dec 27 19:14:42 CET 2013: 45: finished (1922ms, 500cycles)
Fri Dec 27 19:14:42 CET 2013: 45: No solution found.
Fri Dec 27 19:14:43 CET 2013: 46: finished (349ms, 82cycles)
Fri Dec 27 19:14:43 CET 2013: 46: Solution found.
Fri Dec 27 19:14:44 CET 2013: 47: finished (1885ms, 500cycles)
Fri Dec 27 19:14:44 CET 2013: 47: No solution found.
Fri Dec 27 19:14:46 CET 2013: 48: finished (1680ms, 500cycles)
Fri Dec 27 19:14:46 CET 2013: 48: No solution found.
Fri Dec 27 19:14:48 CET 2013: 49: finished (1845ms, 500cycles)
Fri Dec 27 19:14:48 CET 2013: 49: No solution found.
Fri Dec 27 19:14:50 CET 2013: 50: finished (1910ms, 500cycles)
Fri Dec 27 19:14:50 CET 2013: 50: No solution found.
Fri Dec 27 19:14:52 CET 2013: 51: finished (1818ms, 500cycles)
Fri Dec 27 19:14:52 CET 2013: 51: No solution found.
Fri Dec 27 19:14:54 CET 2013: 52: finished (1806ms, 500cycles)
Fri Dec 27 19:14:54 CET 2013: 52: No solution found.
Fri Dec 27 19:14:55 CET 2013: 53: finished (1890ms, 500cycles)
Fri Dec 27 19:14:55 CET 2013: 53: No solution found.
Fri Dec 27 19:14:57 CET 2013: 54: finished (1974ms, 500cycles)
