Sat Dec 28 00:22:51 CET 2013: Problem Count: 100
Sat Dec 28 00:22:51 CET 2013: CandidatesCount: 150
Sat Dec 28 00:22:51 CET 2013: Max Cycles: 500
Sat Dec 28 00:22:55 CET 2013: 0: finished (3723ms, 500cycles)
Sat Dec 28 00:22:55 CET 2013: 0: No solution found.
Sat Dec 28 00:22:58 CET 2013: 1: finished (2803ms, 500cycles)
Sat Dec 28 00:22:58 CET 2013: 1: No solution found.
Sat Dec 28 00:23:00 CET 2013: 2: finished (2654ms, 500cycles)
Sat Dec 28 00:23:00 CET 2013: 2: No solution found.
Sat Dec 28 00:23:03 CET 2013: 3: finished (2688ms, 500cycles)
Sat Dec 28 00:23:03 CET 2013: 3: No solution found.
Sat Dec 28 00:23:04 CET 2013: 4: finished (467ms, 80cycles)
Sat Dec 28 00:23:04 CET 2013: 4: Solution found.
Sat Dec 28 00:23:06 CET 2013: 5: finished (2845ms, 500cycles)
Sat Dec 28 00:23:06 CET 2013: 5: No solution found.
Sat Dec 28 00:23:09 CET 2013: 6: finished (2711ms, 500cycles)
Sat Dec 28 00:23:09 CET 2013: 6: No solution found.
Sat Dec 28 00:23:10 CET 2013: 7: finished (1262ms, 157cycles)
Sat Dec 28 00:23:10 CET 2013: 7: Solution found.
Sat Dec 28 00:23:14 CET 2013: 8: finished (3547ms, 500cycles)
Sat Dec 28 00:23:14 CET 2013: 8: No solution found.
Sat Dec 28 00:23:17 CET 2013: 9: finished (2778ms, 500cycles)
Sat Dec 28 00:23:17 CET 2013: 9: No solution found.
Sat Dec 28 00:23:19 CET 2013: 10: finished (2800ms, 500cycles)
Sat Dec 28 00:23:19 CET 2013: 10: No solution found.
Sat Dec 28 00:23:22 CET 2013: 11: finished (2795ms, 500cycles)
Sat Dec 28 00:23:22 CET 2013: 11: No solution found.
Sat Dec 28 00:23:26 CET 2013: 12: finished (3878ms, 500cycles)
Sat Dec 28 00:23:26 CET 2013: 12: No solution found.
Sat Dec 28 00:23:31 CET 2013: 13: finished (5068ms, 500cycles)
Sat Dec 28 00:23:31 CET 2013: 13: No solution found.
Sat Dec 28 00:23:35 CET 2013: 14: finished (3585ms, 500cycles)
Sat Dec 28 00:23:35 CET 2013: 14: No solution found.
Sat Dec 28 00:23:35 CET 2013: 15: finished (135ms, 21cycles)
Sat Dec 28 00:23:35 CET 2013: 15: Solution found.
Sat Dec 28 00:23:39 CET 2013: 16: finished (4034ms, 500cycles)
Sat Dec 28 00:23:39 CET 2013: 16: No solution found.
Sat Dec 28 00:23:42 CET 2013: 17: finished (2586ms, 500cycles)
Sat Dec 28 00:23:42 CET 2013: 17: No solution found.
Sat Dec 28 00:23:42 CET 2013: 18: finished (223ms, 39cycles)
Sat Dec 28 00:23:42 CET 2013: 18: Solution found.
Sat Dec 28 00:23:45 CET 2013: 19: finished (2735ms, 500cycles)
Sat Dec 28 00:23:45 CET 2013: 19: No solution found.
Sat Dec 28 00:23:48 CET 2013: 20: finished (3662ms, 500cycles)
Sat Dec 28 00:23:48 CET 2013: 20: No solution found.
Sat Dec 28 00:23:51 CET 2013: 21: finished (2817ms, 500cycles)
Sat Dec 28 00:23:51 CET 2013: 21: No solution found.
Sat Dec 28 00:23:54 CET 2013: 22: finished (2980ms, 500cycles)
Sat Dec 28 00:23:54 CET 2013: 22: No solution found.
Sat Dec 28 00:23:57 CET 2013: 23: finished (2905ms, 500cycles)
Sat Dec 28 00:23:57 CET 2013: 23: No solution found.
Sat Dec 28 00:23:57 CET 2013: 24: finished (347ms, 58cycles)
Sat Dec 28 00:23:57 CET 2013: 24: Solution found.
Sat Dec 28 00:24:00 CET 2013: 25: finished (2934ms, 500cycles)
Sat Dec 28 00:24:00 CET 2013: 25: No solution found.
Sat Dec 28 00:24:03 CET 2013: 26: finished (2579ms, 500cycles)
Sat Dec 28 00:24:03 CET 2013: 26: No solution found.
Sat Dec 28 00:24:06 CET 2013: 27: finished (2817ms, 500cycles)
Sat Dec 28 00:24:06 CET 2013: 27: No solution found.
Sat Dec 28 00:24:06 CET 2013: 28: finished (119ms, 20cycles)
Sat Dec 28 00:24:06 CET 2013: 28: Solution found.
Sat Dec 28 00:24:10 CET 2013: 29: finished (3913ms, 500cycles)
Sat Dec 28 00:24:10 CET 2013: 29: No solution found.
Sat Dec 28 00:24:13 CET 2013: 30: finished (3772ms, 500cycles)
Sat Dec 28 00:24:13 CET 2013: 30: No solution found.
Sat Dec 28 00:24:16 CET 2013: 31: finished (2855ms, 500cycles)
Sat Dec 28 00:24:16 CET 2013: 31: No solution found.
