Thu Jan 02 01:31:36 CET 2014: Problem Count: 200
Thu Jan 02 01:31:36 CET 2014: CandidatesCount: 50
Thu Jan 02 01:31:36 CET 2014: Max Cycles: 500
Thu Jan 02 01:31:40 CET 2014: 0: finished (3502ms, 500cycles)
Thu Jan 02 01:31:40 CET 2014: 0: No solution found.
Thu Jan 02 01:31:43 CET 2014: 1: finished (3154ms, 500cycles)
Thu Jan 02 01:31:43 CET 2014: 1: No solution found.
Thu Jan 02 01:31:46 CET 2014: 2: finished (3394ms, 500cycles)
Thu Jan 02 01:31:46 CET 2014: 2: No solution found.
Thu Jan 02 01:31:50 CET 2014: 3: finished (3087ms, 500cycles)
Thu Jan 02 01:31:50 CET 2014: 3: No solution found.
Thu Jan 02 01:31:53 CET 2014: 4: finished (3012ms, 500cycles)
Thu Jan 02 01:31:53 CET 2014: 4: No solution found.
Thu Jan 02 01:31:56 CET 2014: 5: finished (3413ms, 500cycles)
Thu Jan 02 01:31:56 CET 2014: 5: No solution found.
Thu Jan 02 01:32:00 CET 2014: 6: finished (3693ms, 500cycles)
Thu Jan 02 01:32:00 CET 2014: 6: No solution found.
Thu Jan 02 01:32:03 CET 2014: 7: finished (3774ms, 500cycles)
Thu Jan 02 01:32:03 CET 2014: 7: No solution found.
Thu Jan 02 01:32:07 CET 2014: 8: finished (3265ms, 500cycles)
Thu Jan 02 01:32:07 CET 2014: 8: No solution found.
Thu Jan 02 01:32:10 CET 2014: 9: finished (3259ms, 500cycles)
Thu Jan 02 01:32:10 CET 2014: 9: No solution found.
Thu Jan 02 01:32:13 CET 2014: 10: finished (3192ms, 500cycles)
Thu Jan 02 01:32:13 CET 2014: 10: No solution found.
Thu Jan 02 01:32:16 CET 2014: 11: finished (2982ms, 500cycles)
Thu Jan 02 01:32:16 CET 2014: 11: No solution found.
Thu Jan 02 01:32:19 CET 2014: 12: finished (3320ms, 500cycles)
Thu Jan 02 01:32:19 CET 2014: 12: No solution found.
Thu Jan 02 01:32:22 CET 2014: 13: finished (2974ms, 500cycles)
Thu Jan 02 01:32:22 CET 2014: 13: No solution found.
Thu Jan 02 01:32:26 CET 2014: 14: finished (3193ms, 500cycles)
Thu Jan 02 01:32:26 CET 2014: 14: No solution found.
Thu Jan 02 01:32:29 CET 2014: 15: finished (3361ms, 500cycles)
Thu Jan 02 01:32:29 CET 2014: 15: No solution found.
Thu Jan 02 01:32:32 CET 2014: 16: finished (3462ms, 500cycles)
Thu Jan 02 01:32:32 CET 2014: 16: No solution found.
Thu Jan 02 01:32:36 CET 2014: 17: finished (3953ms, 500cycles)
Thu Jan 02 01:32:36 CET 2014: 17: No solution found.
Thu Jan 02 01:32:39 CET 2014: 18: finished (3086ms, 500cycles)
Thu Jan 02 01:32:39 CET 2014: 18: No solution found.
Thu Jan 02 01:32:43 CET 2014: 19: finished (3497ms, 500cycles)
Thu Jan 02 01:32:43 CET 2014: 19: No solution found.
Thu Jan 02 01:32:46 CET 2014: 20: finished (3455ms, 500cycles)
Thu Jan 02 01:32:46 CET 2014: 20: No solution found.
Thu Jan 02 01:32:50 CET 2014: 21: finished (3647ms, 500cycles)
Thu Jan 02 01:32:50 CET 2014: 21: No solution found.
Thu Jan 02 01:32:54 CET 2014: 22: finished (3947ms, 500cycles)
Thu Jan 02 01:32:54 CET 2014: 22: No solution found.
Thu Jan 02 01:32:57 CET 2014: 23: finished (3228ms, 500cycles)
Thu Jan 02 01:32:57 CET 2014: 23: No solution found.
Thu Jan 02 01:33:01 CET 2014: 24: finished (3364ms, 500cycles)
Thu Jan 02 01:33:01 CET 2014: 24: No solution found.
Thu Jan 02 01:33:04 CET 2014: 25: finished (3384ms, 500cycles)
Thu Jan 02 01:33:04 CET 2014: 25: No solution found.
Thu Jan 02 01:33:07 CET 2014: 26: finished (3367ms, 500cycles)
Thu Jan 02 01:33:07 CET 2014: 26: No solution found.
Thu Jan 02 01:33:11 CET 2014: 27: finished (3585ms, 500cycles)
Thu Jan 02 01:33:11 CET 2014: 27: No solution found.
Thu Jan 02 01:33:14 CET 2014: 28: finished (3134ms, 500cycles)
Thu Jan 02 01:33:14 CET 2014: 28: No solution found.
Thu Jan 02 01:33:17 CET 2014: 29: finished (3359ms, 500cycles)
Thu Jan 02 01:33:17 CET 2014: 29: No solution found.
Thu Jan 02 01:33:21 CET 2014: 30: finished (3227ms, 500cycles)
Thu Jan 02 01:33:21 CET 2014: 30: No solution found.
Thu Jan 02 01:33:24 CET 2014: 31: finished (3532ms, 500cycles)
Thu Jan 02 01:33:24 CET 2014: 31: No solution found.
Thu Jan 02 01:33:28 CET 2014: 32: finished (3357ms, 500cycles)
Thu Jan 02 01:33:28 CET 2014: 32: No solution found.
Thu Jan 02 01:33:30 CET 2014: 33: finished (2916ms, 500cycles)
Thu Jan 02 01:33:30 CET 2014: 33: No solution found.
Thu Jan 02 01:33:34 CET 2014: 34: finished (3354ms, 500cycles)
Thu Jan 02 01:33:34 CET 2014: 34: No solution found.
Thu Jan 02 01:33:37 CET 2014: 35: finished (3436ms, 500cycles)
Thu Jan 02 01:33:37 CET 2014: 35: No solution found.
Thu Jan 02 01:33:40 CET 2014: 36: finished (2773ms, 500cycles)
Thu Jan 02 01:33:40 CET 2014: 36: No solution found.
Thu Jan 02 01:33:44 CET 2014: 37: finished (3515ms, 500cycles)
Thu Jan 02 01:33:44 CET 2014: 37: No solution found.
Thu Jan 02 01:33:47 CET 2014: 38: finished (3409ms, 500cycles)
Thu Jan 02 01:33:47 CET 2014: 38: No solution found.
Thu Jan 02 01:33:50 CET 2014: 39: finished (3506ms, 500cycles)
Thu Jan 02 01:33:50 CET 2014: 39: No solution found.
Thu Jan 02 01:33:54 CET 2014: 40: finished (3538ms, 500cycles)
Thu Jan 02 01:33:54 CET 2014: 40: No solution found.
Thu Jan 02 01:33:58 CET 2014: 41: finished (3744ms, 500cycles)
Thu Jan 02 01:33:58 CET 2014: 41: No solution found.
Thu Jan 02 01:34:01 CET 2014: 42: finished (3120ms, 500cycles)
Thu Jan 02 01:34:01 CET 2014: 42: No solution found.
Thu Jan 02 01:34:04 CET 2014: 43: finished (3405ms, 500cycles)
Thu Jan 02 01:34:04 CET 2014: 43: No solution found.
Thu Jan 02 01:34:08 CET 2014: 44: finished (3393ms, 500cycles)
Thu Jan 02 01:34:08 CET 2014: 44: No solution found.
Thu Jan 02 01:34:11 CET 2014: 45: finished (3467ms, 500cycles)
Thu Jan 02 01:34:11 CET 2014: 45: No solution found.
Thu Jan 02 01:34:15 CET 2014: 46: finished (3424ms, 500cycles)
Thu Jan 02 01:34:15 CET 2014: 46: No solution found.
Thu Jan 02 01:34:18 CET 2014: 47: finished (3042ms, 500cycles)
Thu Jan 02 01:34:18 CET 2014: 47: No solution found.
Thu Jan 02 01:34:21 CET 2014: 48: finished (3540ms, 500cycles)
Thu Jan 02 01:34:21 CET 2014: 48: No solution found.
Thu Jan 02 01:34:24 CET 2014: 49: finished (3254ms, 500cycles)
Thu Jan 02 01:34:24 CET 2014: 49: No solution found.
Thu Jan 02 01:34:28 CET 2014: 50: finished (3553ms, 500cycles)
Thu Jan 02 01:34:28 CET 2014: 50: No solution found.
Thu Jan 02 01:34:31 CET 2014: 51: finished (3362ms, 500cycles)
Thu Jan 02 01:34:31 CET 2014: 51: No solution found.
Thu Jan 02 01:34:35 CET 2014: 52: finished (3579ms, 500cycles)
Thu Jan 02 01:34:35 CET 2014: 52: No solution found.
Thu Jan 02 01:34:38 CET 2014: 53: finished (3436ms, 500cycles)
Thu Jan 02 01:34:38 CET 2014: 53: No solution found.
Thu Jan 02 01:34:41 CET 2014: 54: finished (3133ms, 500cycles)
Thu Jan 02 01:34:41 CET 2014: 54: No solution found.
Thu Jan 02 01:34:45 CET 2014: 55: finished (3231ms, 500cycles)
Thu Jan 02 01:34:45 CET 2014: 55: No solution found.
Thu Jan 02 01:34:48 CET 2014: 56: finished (3308ms, 500cycles)
Thu Jan 02 01:34:48 CET 2014: 56: No solution found.
Thu Jan 02 01:34:51 CET 2014: 57: finished (3333ms, 500cycles)
Thu Jan 02 01:34:51 CET 2014: 57: No solution found.
Thu Jan 02 01:34:54 CET 2014: 58: finished (3030ms, 500cycles)
Thu Jan 02 01:34:54 CET 2014: 58: No solution found.
Thu Jan 02 01:34:59 CET 2014: 59: finished (4637ms, 500cycles)
Thu Jan 02 01:34:59 CET 2014: 59: No solution found.
Thu Jan 02 01:35:04 CET 2014: 60: finished (4695ms, 500cycles)
Thu Jan 02 01:35:04 CET 2014: 60: No solution found.
Thu Jan 02 01:35:07 CET 2014: 61: finished (3355ms, 500cycles)
Thu Jan 02 01:35:07 CET 2014: 61: No solution found.
Thu Jan 02 01:35:10 CET 2014: 62: finished (3172ms, 500cycles)
Thu Jan 02 01:35:10 CET 2014: 62: No solution found.
Thu Jan 02 01:35:14 CET 2014: 63: finished (3306ms, 500cycles)
Thu Jan 02 01:35:14 CET 2014: 63: No solution found.
Thu Jan 02 01:35:17 CET 2014: 64: finished (3529ms, 500cycles)
Thu Jan 02 01:35:17 CET 2014: 64: No solution found.
Thu Jan 02 01:35:22 CET 2014: 65: finished (5002ms, 500cycles)
Thu Jan 02 01:35:22 CET 2014: 65: No solution found.
