Sat Jan 11 18:19:08 CET 2014: Problem Count: 40
Sat Jan 11 18:19:08 CET 2014: CandidatesCount: 30
Sat Jan 11 18:19:08 CET 2014: Max Cycles: 500
Sat Jan 11 18:19:09 CET 2014: 0: finished (273ms, 500cycles)
Sat Jan 11 18:19:09 CET 2014: 0: No solution found.
Sat Jan 11 18:19:09 CET 2014: 1: finished (235ms, 500cycles)
Sat Jan 11 18:19:09 CET 2014: 1: No solution found.
Sat Jan 11 18:19:09 CET 2014: 2: finished (251ms, 500cycles)
Sat Jan 11 18:19:09 CET 2014: 2: No solution found.
Sat Jan 11 18:19:09 CET 2014: 3: finished (287ms, 500cycles)
Sat Jan 11 18:19:09 CET 2014: 3: No solution found.
Sat Jan 11 18:19:10 CET 2014: 4: finished (272ms, 500cycles)
Sat Jan 11 18:19:10 CET 2014: 4: No solution found.
Sat Jan 11 18:19:10 CET 2014: 5: finished (231ms, 500cycles)
Sat Jan 11 18:19:10 CET 2014: 5: No solution found.
Sat Jan 11 18:19:10 CET 2014: 6: finished (280ms, 500cycles)
Sat Jan 11 18:19:10 CET 2014: 6: No solution found.
Sat Jan 11 18:19:10 CET 2014: 7: finished (288ms, 500cycles)
Sat Jan 11 18:19:10 CET 2014: 7: No solution found.
Sat Jan 11 18:19:11 CET 2014: 8: finished (257ms, 500cycles)
Sat Jan 11 18:19:11 CET 2014: 8: No solution found.
Sat Jan 11 18:19:11 CET 2014: 9: finished (220ms, 500cycles)
Sat Jan 11 18:19:11 CET 2014: 9: No solution found.
Sat Jan 11 18:19:11 CET 2014: 10: finished (254ms, 500cycles)
Sat Jan 11 18:19:11 CET 2014: 10: No solution found.
Sat Jan 11 18:19:11 CET 2014: 11: finished (222ms, 500cycles)
Sat Jan 11 18:19:11 CET 2014: 11: No solution found.
Sat Jan 11 18:19:12 CET 2014: 12: finished (229ms, 500cycles)
Sat Jan 11 18:19:12 CET 2014: 12: No solution found.
Sat Jan 11 18:19:12 CET 2014: 13: finished (237ms, 500cycles)
Sat Jan 11 18:19:12 CET 2014: 13: No solution found.
Sat Jan 11 18:19:12 CET 2014: 14: finished (242ms, 500cycles)
Sat Jan 11 18:19:12 CET 2014: 14: No solution found.
Sat Jan 11 18:19:12 CET 2014: 15: finished (235ms, 500cycles)
Sat Jan 11 18:19:12 CET 2014: 15: No solution found.
Sat Jan 11 18:19:13 CET 2014: 16: finished (302ms, 500cycles)
Sat Jan 11 18:19:13 CET 2014: 16: No solution found.
Sat Jan 11 18:19:13 CET 2014: 17: finished (228ms, 500cycles)
Sat Jan 11 18:19:13 CET 2014: 17: No solution found.
Sat Jan 11 18:19:13 CET 2014: 18: finished (269ms, 500cycles)
Sat Jan 11 18:19:13 CET 2014: 18: No solution found.
Sat Jan 11 18:19:13 CET 2014: 19: finished (301ms, 500cycles)
Sat Jan 11 18:19:13 CET 2014: 19: No solution found.
Sat Jan 11 18:19:14 CET 2014: 20: finished (324ms, 500cycles)
Sat Jan 11 18:19:14 CET 2014: 20: No solution found.
Sat Jan 11 18:19:14 CET 2014: 21: finished (230ms, 500cycles)
Sat Jan 11 18:19:14 CET 2014: 21: No solution found.
Sat Jan 11 18:19:14 CET 2014: 22: finished (276ms, 500cycles)
Sat Jan 11 18:19:14 CET 2014: 22: No solution found.
Sat Jan 11 18:19:15 CET 2014: 23: finished (228ms, 500cycles)
Sat Jan 11 18:19:15 CET 2014: 23: No solution found.
Sat Jan 11 18:19:15 CET 2014: 24: finished (243ms, 500cycles)
Sat Jan 11 18:19:15 CET 2014: 24: No solution found.
Sat Jan 11 18:19:15 CET 2014: 25: finished (252ms, 500cycles)
Sat Jan 11 18:19:15 CET 2014: 25: No solution found.
Sat Jan 11 18:19:15 CET 2014: 26: finished (279ms, 500cycles)
Sat Jan 11 18:19:15 CET 2014: 26: No solution found.
Sat Jan 11 18:19:16 CET 2014: 27: finished (281ms, 500cycles)
Sat Jan 11 18:19:16 CET 2014: 27: No solution found.
Sat Jan 11 18:19:16 CET 2014: 28: finished (230ms, 500cycles)
Sat Jan 11 18:19:16 CET 2014: 28: No solution found.
Sat Jan 11 18:19:16 CET 2014: 29: finished (279ms, 500cycles)
Sat Jan 11 18:19:16 CET 2014: 29: No solution found.
Sat Jan 11 18:19:16 CET 2014: 30: finished (199ms, 500cycles)
Sat Jan 11 18:19:16 CET 2014: 30: No solution found.
Sat Jan 11 18:19:17 CET 2014: 31: finished (254ms, 500cycles)
Sat Jan 11 18:19:17 CET 2014: 31: No solution found.
Sat Jan 11 18:19:17 CET 2014: 32: finished (261ms, 500cycles)
Sat Jan 11 18:19:17 CET 2014: 32: No solution found.
Sat Jan 11 18:19:17 CET 2014: 33: finished (711ms, 500cycles)
Sat Jan 11 18:19:17 CET 2014: 33: No solution found.
Sat Jan 11 18:19:18 CET 2014: 34: finished (664ms, 500cycles)
Sat Jan 11 18:19:18 CET 2014: 34: No solution found.
Sat Jan 11 18:19:19 CET 2014: 35: finished (560ms, 500cycles)
Sat Jan 11 18:19:19 CET 2014: 35: No solution found.
Sat Jan 11 18:19:19 CET 2014: 36: finished (539ms, 500cycles)
Sat Jan 11 18:19:19 CET 2014: 36: No solution found.
Sat Jan 11 18:19:20 CET 2014: 37: finished (829ms, 500cycles)
