Sun Jan 12 00:53:16 CET 2014: Problem Count: 40
Sun Jan 12 00:53:16 CET 2014: CandidatesCount: 40
Sun Jan 12 00:53:16 CET 2014: Max Cycles: 500
Sun Jan 12 00:53:16 CET 2014: 0: finished (261ms, 500cycles)
Sun Jan 12 00:53:16 CET 2014: 0: No solution found.
Sun Jan 12 00:53:16 CET 2014: 1: finished (291ms, 500cycles)
Sun Jan 12 00:53:16 CET 2014: 1: No solution found.
Sun Jan 12 00:53:16 CET 2014: 2: finished (264ms, 500cycles)
Sun Jan 12 00:53:16 CET 2014: 2: No solution found.
Sun Jan 12 00:53:17 CET 2014: 3: finished (324ms, 500cycles)
Sun Jan 12 00:53:17 CET 2014: 3: No solution found.
Sun Jan 12 00:53:17 CET 2014: 4: finished (262ms, 500cycles)
Sun Jan 12 00:53:17 CET 2014: 4: No solution found.
Sun Jan 12 00:53:17 CET 2014: 5: finished (267ms, 500cycles)
Sun Jan 12 00:53:17 CET 2014: 5: No solution found.
Sun Jan 12 00:53:18 CET 2014: 6: finished (306ms, 500cycles)
Sun Jan 12 00:53:18 CET 2014: 6: No solution found.
Sun Jan 12 00:53:18 CET 2014: 7: finished (263ms, 500cycles)
Sun Jan 12 00:53:18 CET 2014: 7: No solution found.
Sun Jan 12 00:53:18 CET 2014: 8: finished (311ms, 500cycles)
Sun Jan 12 00:53:18 CET 2014: 8: No solution found.
Sun Jan 12 00:53:18 CET 2014: 9: finished (258ms, 500cycles)
Sun Jan 12 00:53:18 CET 2014: 9: No solution found.
Sun Jan 12 00:53:19 CET 2014: 10: finished (292ms, 500cycles)
Sun Jan 12 00:53:19 CET 2014: 10: No solution found.
Sun Jan 12 00:53:19 CET 2014: 11: finished (355ms, 500cycles)
Sun Jan 12 00:53:19 CET 2014: 11: No solution found.
Sun Jan 12 00:53:19 CET 2014: 12: finished (281ms, 500cycles)
Sun Jan 12 00:53:19 CET 2014: 12: No solution found.
Sun Jan 12 00:53:20 CET 2014: 13: finished (276ms, 500cycles)
Sun Jan 12 00:53:20 CET 2014: 13: No solution found.
Sun Jan 12 00:53:20 CET 2014: 14: finished (318ms, 500cycles)
Sun Jan 12 00:53:20 CET 2014: 14: No solution found.
Sun Jan 12 00:53:20 CET 2014: 15: finished (262ms, 500cycles)
Sun Jan 12 00:53:20 CET 2014: 15: No solution found.
Sun Jan 12 00:53:20 CET 2014: 16: finished (264ms, 500cycles)
Sun Jan 12 00:53:20 CET 2014: 16: No solution found.
Sun Jan 12 00:53:21 CET 2014: 17: finished (303ms, 500cycles)
Sun Jan 12 00:53:21 CET 2014: 17: No solution found.
Sun Jan 12 00:53:21 CET 2014: 18: finished (391ms, 500cycles)
Sun Jan 12 00:53:21 CET 2014: 18: No solution found.
Sun Jan 12 00:53:22 CET 2014: 19: finished (397ms, 500cycles)
Sun Jan 12 00:53:22 CET 2014: 19: No solution found.
Sun Jan 12 00:53:22 CET 2014: 20: finished (307ms, 500cycles)
Sun Jan 12 00:53:22 CET 2014: 20: No solution found.
Sun Jan 12 00:53:22 CET 2014: 21: finished (294ms, 500cycles)
Sun Jan 12 00:53:22 CET 2014: 21: No solution found.
Sun Jan 12 00:53:22 CET 2014: 22: finished (289ms, 500cycles)
Sun Jan 12 00:53:22 CET 2014: 22: No solution found.
Sun Jan 12 00:53:23 CET 2014: 23: finished (258ms, 500cycles)
Sun Jan 12 00:53:23 CET 2014: 23: No solution found.
Sun Jan 12 00:53:23 CET 2014: 24: finished (325ms, 500cycles)
Sun Jan 12 00:53:23 CET 2014: 24: No solution found.
Sun Jan 12 00:53:23 CET 2014: 25: finished (352ms, 500cycles)
Sun Jan 12 00:53:23 CET 2014: 25: No solution found.
Sun Jan 12 00:53:24 CET 2014: 26: finished (380ms, 500cycles)
Sun Jan 12 00:53:24 CET 2014: 26: No solution found.
Sun Jan 12 00:53:24 CET 2014: 27: finished (338ms, 500cycles)
Sun Jan 12 00:53:24 CET 2014: 27: No solution found.
Sun Jan 12 00:53:24 CET 2014: 28: finished (281ms, 500cycles)
Sun Jan 12 00:53:24 CET 2014: 28: No solution found.
Sun Jan 12 00:53:25 CET 2014: 29: finished (334ms, 500cycles)
Sun Jan 12 00:53:25 CET 2014: 29: No solution found.
Sun Jan 12 00:53:25 CET 2014: 30: finished (268ms, 500cycles)
Sun Jan 12 00:53:25 CET 2014: 30: No solution found.
Sun Jan 12 00:53:25 CET 2014: 31: finished (386ms, 500cycles)
Sun Jan 12 00:53:25 CET 2014: 31: No solution found.
Sun Jan 12 00:53:26 CET 2014: 32: finished (441ms, 500cycles)
Sun Jan 12 00:53:26 CET 2014: 32: No solution found.
Sun Jan 12 00:53:26 CET 2014: 33: finished (321ms, 500cycles)
Sun Jan 12 00:53:26 CET 2014: 33: No solution found.
Sun Jan 12 00:53:26 CET 2014: 34: finished (358ms, 500cycles)
Sun Jan 12 00:53:26 CET 2014: 34: No solution found.
Sun Jan 12 00:53:27 CET 2014: 35: finished (319ms, 500cycles)
Sun Jan 12 00:53:27 CET 2014: 35: No solution found.
Sun Jan 12 00:53:27 CET 2014: 36: finished (407ms, 500cycles)
Sun Jan 12 00:53:27 CET 2014: 36: No solution found.
Sun Jan 12 00:53:28 CET 2014: 37: finished (379ms, 500cycles)
Sun Jan 12 00:53:28 CET 2014: 37: No solution found.
Sun Jan 12 00:53:28 CET 2014: 38: finished (312ms, 500cycles)
Sun Jan 12 00:53:28 CET 2014: 38: No solution found.
Sun Jan 12 00:53:28 CET 2014: 39: finished (385ms, 500cycles)
Sun Jan 12 00:53:28 CET 2014: 39: No solution found.
Sun Jan 12 00:53:29 CET 2014: 40: finished (306ms, 500cycles)
Sun Jan 12 00:53:29 CET 2014: 40: No solution found.
Sun Jan 12 00:53:29 CET 2014: 41: finished (324ms, 500cycles)
Sun Jan 12 00:53:29 CET 2014: 41: No solution found.
Sun Jan 12 00:53:29 CET 2014: 42: finished (317ms, 500cycles)
Sun Jan 12 00:53:29 CET 2014: 42: No solution found.
Sun Jan 12 00:53:30 CET 2014: 43: finished (315ms, 500cycles)
Sun Jan 12 00:53:30 CET 2014: 43: No solution found.
Sun Jan 12 00:53:30 CET 2014: 44: finished (253ms, 500cycles)
Sun Jan 12 00:53:30 CET 2014: 44: No solution found.
