Fri Dec 27 00:57:53 CET 2013: Problem Count: 250
Fri Dec 27 00:57:53 CET 2013: CandidatesCount: 50
Fri Dec 27 00:57:53 CET 2013: Max Cycles: 500
Fri Dec 27 00:57:59 CET 2013: 0: finished (6368ms, 500cycles)
Fri Dec 27 00:57:59 CET 2013: 0: No solution found.
Fri Dec 27 00:58:06 CET 2013: 1: finished (7193ms, 500cycles)
Fri Dec 27 00:58:06 CET 2013: 1: No solution found.
Fri Dec 27 00:58:12 CET 2013: 2: finished (5741ms, 500cycles)
Fri Dec 27 00:58:12 CET 2013: 2: No solution found.
Fri Dec 27 00:58:18 CET 2013: 3: finished (5950ms, 500cycles)
Fri Dec 27 00:58:18 CET 2013: 3: No solution found.
Fri Dec 27 00:58:24 CET 2013: 4: finished (5538ms, 500cycles)
Fri Dec 27 00:58:24 CET 2013: 4: No solution found.
Fri Dec 27 00:58:32 CET 2013: 5: finished (8305ms, 500cycles)
Fri Dec 27 00:58:32 CET 2013: 5: No solution found.
Fri Dec 27 00:58:39 CET 2013: 6: finished (7280ms, 500cycles)
Fri Dec 27 00:58:39 CET 2013: 6: No solution found.
Fri Dec 27 00:58:44 CET 2013: 7: finished (5143ms, 500cycles)
Fri Dec 27 00:58:44 CET 2013: 7: No solution found.
Fri Dec 27 00:58:50 CET 2013: 8: finished (5562ms, 500cycles)
Fri Dec 27 00:58:50 CET 2013: 8: No solution found.
Fri Dec 27 00:58:55 CET 2013: 9: finished (5599ms, 500cycles)
Fri Dec 27 00:58:55 CET 2013: 9: No solution found.
Fri Dec 27 00:59:01 CET 2013: 10: finished (5169ms, 500cycles)
Fri Dec 27 00:59:01 CET 2013: 10: No solution found.
Fri Dec 27 00:59:09 CET 2013: 11: finished (8368ms, 500cycles)
Fri Dec 27 00:59:09 CET 2013: 11: No solution found.
Fri Dec 27 00:59:17 CET 2013: 12: finished (8066ms, 500cycles)
Fri Dec 27 00:59:17 CET 2013: 12: No solution found.
Fri Dec 27 00:59:23 CET 2013: 13: finished (5629ms, 500cycles)
Fri Dec 27 00:59:23 CET 2013: 13: No solution found.
Fri Dec 27 00:59:28 CET 2013: 14: finished (5477ms, 500cycles)
Fri Dec 27 00:59:28 CET 2013: 14: No solution found.
Fri Dec 27 00:59:34 CET 2013: 15: finished (5519ms, 500cycles)
Fri Dec 27 00:59:34 CET 2013: 15: No solution found.
Fri Dec 27 00:59:42 CET 2013: 16: finished (8803ms, 500cycles)
Fri Dec 27 00:59:42 CET 2013: 16: No solution found.
Fri Dec 27 00:59:48 CET 2013: 17: finished (6025ms, 500cycles)
Fri Dec 27 00:59:48 CET 2013: 17: No solution found.
Fri Dec 27 00:59:49 CET 2013: 18: finished (536ms, 44cycles)
Fri Dec 27 00:59:49 CET 2013: 18: Solution found.
Fri Dec 27 00:59:54 CET 2013: 19: finished (5253ms, 500cycles)
Fri Dec 27 00:59:54 CET 2013: 19: No solution found.
Fri Dec 27 01:00:03 CET 2013: 20: finished (8364ms, 500cycles)
Fri Dec 27 01:00:03 CET 2013: 20: No solution found.
Fri Dec 27 01:00:08 CET 2013: 21: finished (5119ms, 500cycles)
Fri Dec 27 01:00:08 CET 2013: 21: No solution found.
Fri Dec 27 01:00:12 CET 2013: 22: finished (4731ms, 500cycles)
Fri Dec 27 01:00:12 CET 2013: 22: No solution found.
Fri Dec 27 01:00:20 CET 2013: 23: finished (7059ms, 500cycles)
Fri Dec 27 01:00:20 CET 2013: 23: No solution found.
Fri Dec 27 01:00:20 CET 2013: 24: finished (679ms, 21cycles)
Fri Dec 27 01:00:20 CET 2013: 24: Solution found.
Fri Dec 27 01:00:28 CET 2013: 25: finished (7510ms, 500cycles)
Fri Dec 27 01:00:28 CET 2013: 25: No solution found.
Fri Dec 27 01:00:33 CET 2013: 26: finished (5335ms, 500cycles)
Fri Dec 27 01:00:33 CET 2013: 26: No solution found.
Fri Dec 27 01:00:41 CET 2013: 27: finished (7667ms, 500cycles)
Fri Dec 27 01:00:41 CET 2013: 27: No solution found.
Fri Dec 27 01:00:47 CET 2013: 28: finished (6013ms, 500cycles)
Fri Dec 27 01:00:47 CET 2013: 28: No solution found.
Fri Dec 27 01:00:52 CET 2013: 29: finished (4766ms, 500cycles)
Fri Dec 27 01:00:52 CET 2013: 29: No solution found.
Fri Dec 27 01:00:57 CET 2013: 30: finished (5750ms, 500cycles)
Fri Dec 27 01:00:57 CET 2013: 30: No solution found.
Fri Dec 27 01:01:05 CET 2013: 31: finished (8048ms, 500cycles)
Fri Dec 27 01:01:05 CET 2013: 31: No solution found.
Fri Dec 27 01:01:10 CET 2013: 32: finished (5144ms, 500cycles)
Fri Dec 27 01:01:10 CET 2013: 32: No solution found.
Fri Dec 27 01:01:17 CET 2013: 33: finished (6102ms, 500cycles)
Fri Dec 27 01:01:17 CET 2013: 33: No solution found.
Fri Dec 27 01:01:24 CET 2013: 34: finished (7434ms, 500cycles)
Fri Dec 27 01:01:24 CET 2013: 34: No solution found.
Fri Dec 27 01:01:30 CET 2013: 35: finished (5624ms, 500cycles)
Fri Dec 27 01:01:30 CET 2013: 35: No solution found.
Fri Dec 27 01:01:35 CET 2013: 36: finished (5607ms, 500cycles)
Fri Dec 27 01:01:35 CET 2013: 36: No solution found.
Fri Dec 27 01:01:43 CET 2013: 37: finished (7950ms, 500cycles)
Fri Dec 27 01:01:43 CET 2013: 37: No solution found.
Fri Dec 27 01:01:49 CET 2013: 38: finished (5412ms, 500cycles)
Fri Dec 27 01:01:49 CET 2013: 38: No solution found.
Fri Dec 27 01:01:49 CET 2013: 39: finished (574ms, 48cycles)
Fri Dec 27 01:01:49 CET 2013: 39: Solution found.
Fri Dec 27 01:01:55 CET 2013: 40: finished (5455ms, 500cycles)
Fri Dec 27 01:01:55 CET 2013: 40: No solution found.
Fri Dec 27 01:02:01 CET 2013: 41: finished (5987ms, 500cycles)
Fri Dec 27 01:02:01 CET 2013: 41: No solution found.
Fri Dec 27 01:02:09 CET 2013: 42: finished (8114ms, 500cycles)
Fri Dec 27 01:02:09 CET 2013: 42: No solution found.
Fri Dec 27 01:02:15 CET 2013: 43: finished (6021ms, 500cycles)
Fri Dec 27 01:02:15 CET 2013: 43: No solution found.
Fri Dec 27 01:02:15 CET 2013: 44: finished (182ms, 15cycles)
Fri Dec 27 01:02:15 CET 2013: 44: Solution found.
Fri Dec 27 01:02:21 CET 2013: 45: finished (5889ms, 500cycles)
Fri Dec 27 01:02:21 CET 2013: 45: No solution found.
Fri Dec 27 01:02:22 CET 2013: 46: finished (749ms, 64cycles)
Fri Dec 27 01:02:22 CET 2013: 46: Solution found.
Fri Dec 27 01:02:30 CET 2013: 47: finished (8804ms, 500cycles)
Fri Dec 27 01:02:30 CET 2013: 47: No solution found.
Fri Dec 27 01:02:36 CET 2013: 48: finished (5149ms, 500cycles)
Fri Dec 27 01:02:36 CET 2013: 48: No solution found.
Fri Dec 27 01:02:41 CET 2013: 49: finished (5982ms, 500cycles)
Fri Dec 27 01:02:41 CET 2013: 49: No solution found.
Fri Dec 27 01:02:42 CET 2013: 50: finished (714ms, 57cycles)
Fri Dec 27 01:02:42 CET 2013: 50: Solution found.
Fri Dec 27 01:02:51 CET 2013: 51: finished (9072ms, 500cycles)
Fri Dec 27 01:02:51 CET 2013: 51: No solution found.
Fri Dec 27 01:02:57 CET 2013: 52: finished (5356ms, 500cycles)
Fri Dec 27 01:02:57 CET 2013: 52: No solution found.
Fri Dec 27 01:03:03 CET 2013: 53: finished (6381ms, 500cycles)
Fri Dec 27 01:03:03 CET 2013: 53: No solution found.
Fri Dec 27 01:03:11 CET 2013: 54: finished (8075ms, 500cycles)
Fri Dec 27 01:03:11 CET 2013: 54: No solution found.
Fri Dec 27 01:03:17 CET 2013: 55: finished (5986ms, 500cycles)
Fri Dec 27 01:03:17 CET 2013: 55: No solution found.
Fri Dec 27 01:03:23 CET 2013: 56: finished (5588ms, 500cycles)
Fri Dec 27 01:03:23 CET 2013: 56: No solution found.
Fri Dec 27 01:03:30 CET 2013: 57: finished (7722ms, 500cycles)
Fri Dec 27 01:03:30 CET 2013: 57: No solution found.
Fri Dec 27 01:03:36 CET 2013: 58: finished (5780ms, 500cycles)
Fri Dec 27 01:03:36 CET 2013: 58: No solution found.
Fri Dec 27 01:03:41 CET 2013: 59: finished (5077ms, 500cycles)
Fri Dec 27 01:03:41 CET 2013: 59: No solution found.
Fri Dec 27 01:03:49 CET 2013: 60: finished (8050ms, 500cycles)
Fri Dec 27 01:03:49 CET 2013: 60: No solution found.
Fri Dec 27 01:03:55 CET 2013: 61: finished (5377ms, 500cycles)
Fri Dec 27 01:03:55 CET 2013: 61: No solution found.
Fri Dec 27 01:04:00 CET 2013: 62: finished (5133ms, 500cycles)
Fri Dec 27 01:04:00 CET 2013: 62: No solution found.
Fri Dec 27 01:04:08 CET 2013: 63: finished (8366ms, 500cycles)
Fri Dec 27 01:04:08 CET 2013: 63: No solution found.
Fri Dec 27 01:04:14 CET 2013: 64: finished (5895ms, 500cycles)
Fri Dec 27 01:04:14 CET 2013: 64: No solution found.
Fri Dec 27 01:04:23 CET 2013: 65: finished (8491ms, 500cycles)
Fri Dec 27 01:04:23 CET 2013: 65: No solution found.
Fri Dec 27 01:04:28 CET 2013: 66: finished (5762ms, 500cycles)
Fri Dec 27 01:04:28 CET 2013: 66: No solution found.
Fri Dec 27 01:04:33 CET 2013: 67: finished (4721ms, 500cycles)
Fri Dec 27 01:04:33 CET 2013: 67: No solution found.
Fri Dec 27 01:04:39 CET 2013: 68: finished (5838ms, 500cycles)
Fri Dec 27 01:04:39 CET 2013: 68: No solution found.
Fri Dec 27 01:04:47 CET 2013: 69: finished (8348ms, 500cycles)
Fri Dec 27 01:04:47 CET 2013: 69: No solution found.
