Sat Jan 11 19:02:47 CET 2014: Problem Count: 50
Sat Jan 11 19:02:47 CET 2014: CandidatesCount: 30
Sat Jan 11 19:02:47 CET 2014: Max Cycles: 500
Sat Jan 11 19:02:47 CET 2014: 0: finished (35ms, 54cycles)
Sat Jan 11 19:02:47 CET 2014: 0: Solution found.
Sat Jan 11 19:02:47 CET 2014: 1: finished (9ms, 17cycles)
Sat Jan 11 19:02:47 CET 2014: 1: Solution found.
Sat Jan 11 19:02:47 CET 2014: 2: finished (213ms, 500cycles)
Sat Jan 11 19:02:47 CET 2014: 2: No solution found.
Sat Jan 11 19:02:47 CET 2014: 3: finished (217ms, 500cycles)
Sat Jan 11 19:02:47 CET 2014: 3: No solution found.
Sat Jan 11 19:02:47 CET 2014: 4: finished (5ms, 8cycles)
Sat Jan 11 19:02:47 CET 2014: 4: Solution found.
Sat Jan 11 19:02:48 CET 2014: 5: finished (209ms, 500cycles)
Sat Jan 11 19:02:48 CET 2014: 5: No solution found.
Sat Jan 11 19:02:48 CET 2014: 6: finished (220ms, 500cycles)
Sat Jan 11 19:02:48 CET 2014: 6: No solution found.
Sat Jan 11 19:02:48 CET 2014: 7: finished (212ms, 500cycles)
Sat Jan 11 19:02:48 CET 2014: 7: No solution found.
Sat Jan 11 19:02:48 CET 2014: 8: finished (251ms, 500cycles)
Sat Jan 11 19:02:48 CET 2014: 8: No solution found.
Sat Jan 11 19:02:48 CET 2014: 9: finished (210ms, 500cycles)
Sat Jan 11 19:02:48 CET 2014: 9: No solution found.
Sat Jan 11 19:02:49 CET 2014: 10: finished (210ms, 500cycles)
Sat Jan 11 19:02:49 CET 2014: 10: No solution found.
Sat Jan 11 19:02:49 CET 2014: 11: finished (210ms, 500cycles)
Sat Jan 11 19:02:49 CET 2014: 11: No solution found.
Sat Jan 11 19:02:49 CET 2014: 12: finished (208ms, 500cycles)
Sat Jan 11 19:02:49 CET 2014: 12: No solution found.
Sat Jan 11 19:02:49 CET 2014: 13: finished (209ms, 500cycles)
Sat Jan 11 19:02:49 CET 2014: 13: No solution found.
Sat Jan 11 19:02:50 CET 2014: 14: finished (220ms, 500cycles)
Sat Jan 11 19:02:50 CET 2014: 14: No solution found.
Sat Jan 11 19:02:50 CET 2014: 15: finished (207ms, 500cycles)
Sat Jan 11 19:02:50 CET 2014: 15: No solution found.
Sat Jan 11 19:02:50 CET 2014: 16: finished (223ms, 500cycles)
Sat Jan 11 19:02:50 CET 2014: 16: No solution found.
Sat Jan 11 19:02:50 CET 2014: 17: finished (211ms, 500cycles)
Sat Jan 11 19:02:50 CET 2014: 17: No solution found.
Sat Jan 11 19:02:50 CET 2014: 18: finished (209ms, 500cycles)
Sat Jan 11 19:02:50 CET 2014: 18: No solution found.
Sat Jan 11 19:02:51 CET 2014: 19: finished (213ms, 500cycles)
Sat Jan 11 19:02:51 CET 2014: 19: No solution found.
Sat Jan 11 19:02:51 CET 2014: 20: finished (210ms, 500cycles)
Sat Jan 11 19:02:51 CET 2014: 20: No solution found.
Sat Jan 11 19:02:51 CET 2014: 21: finished (209ms, 500cycles)
Sat Jan 11 19:02:51 CET 2014: 21: No solution found.
Sat Jan 11 19:02:51 CET 2014: 22: finished (210ms, 500cycles)
Sat Jan 11 19:02:51 CET 2014: 22: No solution found.
Sat Jan 11 19:02:51 CET 2014: 23: finished (208ms, 500cycles)
Sat Jan 11 19:02:51 CET 2014: 23: No solution found.
Sat Jan 11 19:02:52 CET 2014: 24: finished (490ms, 500cycles)
Sat Jan 11 19:02:52 CET 2014: 24: No solution found.
Sat Jan 11 19:02:52 CET 2014: 25: finished (534ms, 500cycles)
Sat Jan 11 19:02:52 CET 2014: 25: No solution found.
Sat Jan 11 19:02:53 CET 2014: 26: finished (523ms, 500cycles)
Sat Jan 11 19:02:53 CET 2014: 26: No solution found.
Sat Jan 11 19:02:53 CET 2014: 27: finished (12ms, 9cycles)
Sat Jan 11 19:02:53 CET 2014: 27: Solution found.
Sat Jan 11 19:02:54 CET 2014: 28: finished (542ms, 500cycles)
Sat Jan 11 19:02:54 CET 2014: 28: No solution found.
Sat Jan 11 19:02:54 CET 2014: 29: finished (547ms, 500cycles)
Sat Jan 11 19:02:54 CET 2014: 29: No solution found.
Sat Jan 11 19:02:55 CET 2014: 30: finished (522ms, 500cycles)
Sat Jan 11 19:02:55 CET 2014: 30: No solution found.
Sat Jan 11 19:02:55 CET 2014: 31: finished (526ms, 500cycles)
Sat Jan 11 19:02:55 CET 2014: 31: No solution found.
Sat Jan 11 19:02:56 CET 2014: 32: finished (551ms, 500cycles)
Sat Jan 11 19:02:56 CET 2014: 32: No solution found.
Sat Jan 11 19:02:56 CET 2014: 33: finished (579ms, 500cycles)
Sat Jan 11 19:02:56 CET 2014: 33: No solution found.
Sat Jan 11 19:02:57 CET 2014: 34: finished (539ms, 500cycles)
Sat Jan 11 19:02:57 CET 2014: 34: No solution found.
Sat Jan 11 19:02:57 CET 2014: 35: finished (13ms, 10cycles)
Sat Jan 11 19:02:57 CET 2014: 35: Solution found.
Sat Jan 11 19:02:57 CET 2014: 36: finished (543ms, 500cycles)
Sat Jan 11 19:02:57 CET 2014: 36: No solution found.
Sat Jan 11 19:02:57 CET 2014: 37: finished (46ms, 38cycles)
Sat Jan 11 19:02:57 CET 2014: 37: Solution found.
Sat Jan 11 19:02:58 CET 2014: 38: finished (340ms, 500cycles)
Sat Jan 11 19:02:58 CET 2014: 38: No solution found.
Sat Jan 11 19:02:58 CET 2014: 39: finished (214ms, 500cycles)
Sat Jan 11 19:02:58 CET 2014: 39: No solution found.
Sat Jan 11 19:02:58 CET 2014: 40: finished (223ms, 500cycles)
Sat Jan 11 19:02:58 CET 2014: 40: No solution found.
