Fri Dec 27 17:22:07 CET 2013: Problem Count: 100
Fri Dec 27 17:22:07 CET 2013: CandidatesCount: 50
Fri Dec 27 17:22:07 CET 2013: Max Cycles: 2000
Fri Dec 27 17:22:27 CET 2013: 0: finished (20031ms, 2000cycles)
Fri Dec 27 17:22:27 CET 2013: 0: No solution found.
Fri Dec 27 17:22:48 CET 2013: 1: finished (20282ms, 2000cycles)
Fri Dec 27 17:22:48 CET 2013: 1: No solution found.
Fri Dec 27 17:23:08 CET 2013: 2: finished (20396ms, 2000cycles)
Fri Dec 27 17:23:08 CET 2013: 2: No solution found.
Fri Dec 27 17:23:29 CET 2013: 3: finished (21333ms, 2000cycles)
Fri Dec 27 17:23:29 CET 2013: 3: No solution found.
Fri Dec 27 17:23:50 CET 2013: 4: finished (20811ms, 2000cycles)
Fri Dec 27 17:23:50 CET 2013: 4: No solution found.
Fri Dec 27 17:24:12 CET 2013: 5: finished (21585ms, 2000cycles)
Fri Dec 27 17:24:12 CET 2013: 5: No solution found.
Fri Dec 27 17:24:33 CET 2013: 6: finished (21797ms, 2000cycles)
Fri Dec 27 17:24:33 CET 2013: 6: No solution found.
Fri Dec 27 17:24:56 CET 2013: 7: finished (22013ms, 2000cycles)
Fri Dec 27 17:24:56 CET 2013: 7: No solution found.
Fri Dec 27 17:25:16 CET 2013: 8: finished (20786ms, 2000cycles)
Fri Dec 27 17:25:16 CET 2013: 8: No solution found.
Fri Dec 27 17:25:37 CET 2013: 9: finished (20833ms, 2000cycles)
Fri Dec 27 17:25:37 CET 2013: 9: No solution found.
Fri Dec 27 17:25:58 CET 2013: 10: finished (21288ms, 2000cycles)
Fri Dec 27 17:25:58 CET 2013: 10: No solution found.
Fri Dec 27 17:26:19 CET 2013: 11: finished (20635ms, 2000cycles)
Fri Dec 27 17:26:19 CET 2013: 11: No solution found.
Fri Dec 27 17:26:40 CET 2013: 12: finished (20834ms, 2000cycles)
Fri Dec 27 17:26:40 CET 2013: 12: No solution found.
Fri Dec 27 17:27:01 CET 2013: 13: finished (20995ms, 2000cycles)
Fri Dec 27 17:27:01 CET 2013: 13: No solution found.
Fri Dec 27 17:27:23 CET 2013: 14: finished (22553ms, 2000cycles)
Fri Dec 27 17:27:23 CET 2013: 14: No solution found.
Fri Dec 27 17:27:45 CET 2013: 15: finished (21137ms, 2000cycles)
Fri Dec 27 17:27:45 CET 2013: 15: No solution found.
Fri Dec 27 17:28:05 CET 2013: 16: finished (20924ms, 2000cycles)
Fri Dec 27 17:28:05 CET 2013: 16: No solution found.
Fri Dec 27 17:28:27 CET 2013: 17: finished (21544ms, 2000cycles)
Fri Dec 27 17:28:27 CET 2013: 17: No solution found.
Fri Dec 27 17:28:28 CET 2013: 18: finished (1102ms, 86cycles)
Fri Dec 27 17:28:28 CET 2013: 18: Solution found.
Fri Dec 27 17:28:51 CET 2013: 19: finished (22549ms, 2000cycles)
Fri Dec 27 17:28:51 CET 2013: 19: No solution found.
Fri Dec 27 17:29:12 CET 2013: 20: finished (21275ms, 2000cycles)
Fri Dec 27 17:29:12 CET 2013: 20: No solution found.
Fri Dec 27 17:29:33 CET 2013: 21: finished (21203ms, 2000cycles)
Fri Dec 27 17:29:33 CET 2013: 21: No solution found.
Fri Dec 27 17:29:54 CET 2013: 22: finished (20730ms, 2000cycles)
Fri Dec 27 17:29:54 CET 2013: 22: No solution found.
Fri Dec 27 17:30:15 CET 2013: 23: finished (20862ms, 2000cycles)
Fri Dec 27 17:30:15 CET 2013: 23: No solution found.
Fri Dec 27 17:30:37 CET 2013: 24: finished (22160ms, 2000cycles)
Fri Dec 27 17:30:37 CET 2013: 24: No solution found.
Fri Dec 27 17:30:58 CET 2013: 25: finished (21231ms, 2000cycles)
Fri Dec 27 17:30:58 CET 2013: 25: No solution found.
Fri Dec 27 17:31:19 CET 2013: 26: finished (20771ms, 2000cycles)
Fri Dec 27 17:31:19 CET 2013: 26: No solution found.
Fri Dec 27 17:31:39 CET 2013: 27: finished (20339ms, 2000cycles)
Fri Dec 27 17:31:39 CET 2013: 27: No solution found.
Fri Dec 27 17:32:00 CET 2013: 28: finished (20277ms, 2000cycles)
Fri Dec 27 17:32:00 CET 2013: 28: No solution found.
Fri Dec 27 17:32:21 CET 2013: 29: finished (21164ms, 2000cycles)
Fri Dec 27 17:32:21 CET 2013: 29: No solution found.
Fri Dec 27 17:32:41 CET 2013: 30: finished (19841ms, 2000cycles)
Fri Dec 27 17:32:41 CET 2013: 30: No solution found.
Fri Dec 27 17:33:00 CET 2013: 31: finished (19913ms, 2000cycles)
Fri Dec 27 17:33:00 CET 2013: 31: No solution found.
Fri Dec 27 17:33:22 CET 2013: 32: finished (21792ms, 2000cycles)
Fri Dec 27 17:33:22 CET 2013: 32: No solution found.
Fri Dec 27 17:33:43 CET 2013: 33: finished (20629ms, 2000cycles)
Fri Dec 27 17:33:43 CET 2013: 33: No solution found.
Fri Dec 27 17:34:03 CET 2013: 34: finished (20190ms, 2000cycles)
Fri Dec 27 17:34:03 CET 2013: 34: No solution found.
Fri Dec 27 17:34:24 CET 2013: 35: finished (20911ms, 2000cycles)
Fri Dec 27 17:34:24 CET 2013: 35: No solution found.
Fri Dec 27 17:34:44 CET 2013: 36: finished (20314ms, 2000cycles)
Fri Dec 27 17:34:44 CET 2013: 36: No solution found.
Fri Dec 27 17:35:05 CET 2013: 37: finished (20785ms, 2000cycles)
Fri Dec 27 17:35:05 CET 2013: 37: No solution found.
Fri Dec 27 17:35:26 CET 2013: 38: finished (20676ms, 2000cycles)
Fri Dec 27 17:35:26 CET 2013: 38: No solution found.
Fri Dec 27 17:35:48 CET 2013: 39: finished (21790ms, 2000cycles)
Fri Dec 27 17:35:48 CET 2013: 39: No solution found.
Fri Dec 27 17:36:08 CET 2013: 40: finished (20582ms, 2000cycles)
Fri Dec 27 17:36:08 CET 2013: 40: No solution found.
Fri Dec 27 17:36:29 CET 2013: 41: finished (21328ms, 2000cycles)
Fri Dec 27 17:36:29 CET 2013: 41: No solution found.
Fri Dec 27 17:36:51 CET 2013: 42: finished (21145ms, 2000cycles)
Fri Dec 27 17:36:51 CET 2013: 42: No solution found.
Fri Dec 27 17:37:13 CET 2013: 43: finished (22650ms, 2000cycles)
Fri Dec 27 17:37:13 CET 2013: 43: No solution found.
Fri Dec 27 17:37:36 CET 2013: 44: finished (22778ms, 2000cycles)
Fri Dec 27 17:37:36 CET 2013: 44: No solution found.
Fri Dec 27 17:37:59 CET 2013: 45: finished (23180ms, 2000cycles)
Fri Dec 27 17:37:59 CET 2013: 45: No solution found.
Fri Dec 27 17:38:22 CET 2013: 46: finished (22894ms, 2000cycles)
Fri Dec 27 17:38:22 CET 2013: 46: No solution found.
Fri Dec 27 17:38:45 CET 2013: 47: finished (23015ms, 2000cycles)
Fri Dec 27 17:38:45 CET 2013: 47: No solution found.
Fri Dec 27 17:39:07 CET 2013: 48: finished (21824ms, 2000cycles)
Fri Dec 27 17:39:07 CET 2013: 48: No solution found.
Fri Dec 27 17:39:30 CET 2013: 49: finished (22936ms, 2000cycles)
Fri Dec 27 17:39:30 CET 2013: 49: No solution found.
Fri Dec 27 17:39:53 CET 2013: 50: finished (23134ms, 2000cycles)
Fri Dec 27 17:39:53 CET 2013: 50: No solution found.
Fri Dec 27 17:40:15 CET 2013: 51: finished (22464ms, 2000cycles)
Fri Dec 27 17:40:15 CET 2013: 51: No solution found.
Fri Dec 27 17:40:40 CET 2013: 52: finished (24253ms, 2000cycles)
Fri Dec 27 17:40:40 CET 2013: 52: No solution found.
Fri Dec 27 17:41:04 CET 2013: 53: finished (24571ms, 2000cycles)
Fri Dec 27 17:41:04 CET 2013: 53: No solution found.
Fri Dec 27 17:41:28 CET 2013: 54: finished (23771ms, 2000cycles)
Fri Dec 27 17:41:28 CET 2013: 54: No solution found.
Fri Dec 27 17:41:52 CET 2013: 55: finished (23958ms, 2000cycles)
Fri Dec 27 17:41:52 CET 2013: 55: No solution found.
Fri Dec 27 17:42:16 CET 2013: 56: finished (23579ms, 2000cycles)
Fri Dec 27 17:42:16 CET 2013: 56: No solution found.
Fri Dec 27 17:42:39 CET 2013: 57: finished (23847ms, 2000cycles)
Fri Dec 27 17:42:39 CET 2013: 57: No solution found.
Fri Dec 27 17:43:03 CET 2013: 58: finished (23847ms, 2000cycles)
Fri Dec 27 17:43:03 CET 2013: 58: No solution found.
Fri Dec 27 17:43:27 CET 2013: 59: finished (23271ms, 2000cycles)
Fri Dec 27 17:43:27 CET 2013: 59: No solution found.
Fri Dec 27 17:43:51 CET 2013: 60: finished (23978ms, 2000cycles)
Fri Dec 27 17:43:51 CET 2013: 60: No solution found.
Fri Dec 27 17:44:15 CET 2013: 61: finished (24435ms, 2000cycles)
Fri Dec 27 17:44:15 CET 2013: 61: No solution found.
Fri Dec 27 17:44:39 CET 2013: 62: finished (23705ms, 2000cycles)
Fri Dec 27 17:44:39 CET 2013: 62: No solution found.
Fri Dec 27 17:45:04 CET 2013: 63: finished (25192ms, 2000cycles)
Fri Dec 27 17:45:04 CET 2013: 63: No solution found.
Fri Dec 27 17:45:28 CET 2013: 64: finished (24218ms, 2000cycles)
Fri Dec 27 17:45:28 CET 2013: 64: No solution found.
Fri Dec 27 17:45:52 CET 2013: 65: finished (24215ms, 2000cycles)
Fri Dec 27 17:45:52 CET 2013: 65: No solution found.
Fri Dec 27 17:46:17 CET 2013: 66: finished (24870ms, 2000cycles)
Fri Dec 27 17:46:17 CET 2013: 66: No solution found.
