Sat Dec 28 13:53:31 CET 2013: Problem Count: 100
Sat Dec 28 13:53:31 CET 2013: CandidatesCount: 100
Sat Dec 28 13:53:31 CET 2013: Max Cycles: 1000
Sat Dec 28 13:53:43 CET 2013: 0: finished (11913ms, 1000cycles)
Sat Dec 28 13:53:43 CET 2013: 0: No solution found.
Sat Dec 28 13:53:55 CET 2013: 1: finished (11670ms, 1000cycles)
Sat Dec 28 13:53:55 CET 2013: 1: No solution found.
Sat Dec 28 13:53:57 CET 2013: 2: finished (2518ms, 221cycles)
Sat Dec 28 13:53:57 CET 2013: 2: Solution found.
Sat Dec 28 13:54:08 CET 2013: 3: finished (11080ms, 1000cycles)
Sat Dec 28 13:54:08 CET 2013: 3: No solution found.
Sat Dec 28 13:54:23 CET 2013: 4: finished (14727ms, 1000cycles)
Sat Dec 28 13:54:23 CET 2013: 4: No solution found.
Sat Dec 28 13:54:34 CET 2013: 5: finished (10990ms, 1000cycles)
Sat Dec 28 13:54:34 CET 2013: 5: No solution found.
Sat Dec 28 13:54:45 CET 2013: 6: finished (11022ms, 1000cycles)
Sat Dec 28 13:54:45 CET 2013: 6: No solution found.
Sat Dec 28 13:54:56 CET 2013: 7: finished (11176ms, 1000cycles)
Sat Dec 28 13:54:56 CET 2013: 7: No solution found.
Sat Dec 28 13:55:07 CET 2013: 8: finished (11097ms, 1000cycles)
Sat Dec 28 13:55:07 CET 2013: 8: No solution found.
Sat Dec 28 13:55:22 CET 2013: 9: finished (15092ms, 1000cycles)
Sat Dec 28 13:55:22 CET 2013: 9: No solution found.
Sat Dec 28 13:55:34 CET 2013: 10: finished (11893ms, 1000cycles)
Sat Dec 28 13:55:34 CET 2013: 10: No solution found.
Sat Dec 28 13:55:48 CET 2013: 11: finished (14040ms, 1000cycles)
Sat Dec 28 13:55:48 CET 2013: 11: No solution found.
Sat Dec 28 13:56:00 CET 2013: 12: finished (11247ms, 1000cycles)
Sat Dec 28 13:56:00 CET 2013: 12: No solution found.
Sat Dec 28 13:56:01 CET 2013: 13: finished (1173ms, 94cycles)
Sat Dec 28 13:56:01 CET 2013: 13: Solution found.
Sat Dec 28 13:56:15 CET 2013: 14: finished (13860ms, 1000cycles)
Sat Dec 28 13:56:15 CET 2013: 14: No solution found.
Sat Dec 28 13:56:26 CET 2013: 15: finished (11307ms, 1000cycles)
Sat Dec 28 13:56:26 CET 2013: 15: No solution found.
Sat Dec 28 13:56:37 CET 2013: 16: finished (10974ms, 1000cycles)
Sat Dec 28 13:56:37 CET 2013: 16: No solution found.
Sat Dec 28 13:56:51 CET 2013: 17: finished (14209ms, 1000cycles)
Sat Dec 28 13:56:51 CET 2013: 17: No solution found.
Sat Dec 28 13:57:02 CET 2013: 18: finished (10975ms, 1000cycles)
Sat Dec 28 13:57:02 CET 2013: 18: No solution found.
Sat Dec 28 13:57:17 CET 2013: 19: finished (14830ms, 1000cycles)
Sat Dec 28 13:57:17 CET 2013: 19: No solution found.
Sat Dec 28 13:57:28 CET 2013: 20: finished (10992ms, 1000cycles)
Sat Dec 28 13:57:28 CET 2013: 20: No solution found.
Sat Dec 28 13:57:40 CET 2013: 21: finished (11738ms, 1000cycles)
Sat Dec 28 13:57:40 CET 2013: 21: No solution found.
Sat Dec 28 13:57:51 CET 2013: 22: finished (11405ms, 1000cycles)
Sat Dec 28 13:57:51 CET 2013: 22: No solution found.
Sat Dec 28 13:58:02 CET 2013: 23: finished (10956ms, 1000cycles)
Sat Dec 28 13:58:02 CET 2013: 23: No solution found.
