Sun Dec 29 00:10:17 CET 2013: Problem Count: 150
Sun Dec 29 00:10:17 CET 2013: CandidatesCount: 250
Sun Dec 29 00:10:17 CET 2013: Max Cycles: 250
Sun Dec 29 00:10:34 CET 2013: 0: finished (17275ms, 250cycles)
Sun Dec 29 00:10:34 CET 2013: 0: No solution found.
Sun Dec 29 00:10:47 CET 2013: 1: finished (13224ms, 250cycles)
Sun Dec 29 00:10:47 CET 2013: 1: No solution found.
Sun Dec 29 00:11:00 CET 2013: 2: finished (13365ms, 250cycles)
Sun Dec 29 00:11:00 CET 2013: 2: No solution found.
Sun Dec 29 00:11:14 CET 2013: 3: finished (13361ms, 250cycles)
Sun Dec 29 00:11:14 CET 2013: 3: No solution found.
Sun Dec 29 00:11:31 CET 2013: 4: finished (16941ms, 250cycles)
Sun Dec 29 00:11:31 CET 2013: 4: No solution found.
Sun Dec 29 00:11:47 CET 2013: 5: finished (16150ms, 250cycles)
Sun Dec 29 00:11:47 CET 2013: 5: No solution found.
Sun Dec 29 00:12:04 CET 2013: 6: finished (17162ms, 250cycles)
Sun Dec 29 00:12:04 CET 2013: 6: No solution found.
Sun Dec 29 00:12:17 CET 2013: 7: finished (12993ms, 250cycles)
Sun Dec 29 00:12:17 CET 2013: 7: No solution found.
Sun Dec 29 00:12:20 CET 2013: 8: finished (3423ms, 62cycles)
Sun Dec 29 00:12:20 CET 2013: 8: Solution found.
Sun Dec 29 00:12:38 CET 2013: 9: finished (17029ms, 250cycles)
Sun Dec 29 00:12:38 CET 2013: 9: No solution found.
Sun Dec 29 00:12:53 CET 2013: 10: finished (15861ms, 250cycles)
Sun Dec 29 00:12:53 CET 2013: 10: No solution found.
Sun Dec 29 00:13:10 CET 2013: 11: finished (17025ms, 250cycles)
Sun Dec 29 00:13:10 CET 2013: 11: No solution found.
Sun Dec 29 00:13:23 CET 2013: 12: finished (12927ms, 250cycles)
Sun Dec 29 00:13:23 CET 2013: 12: No solution found.
Sun Dec 29 00:13:39 CET 2013: 13: finished (15888ms, 250cycles)
Sun Dec 29 00:13:39 CET 2013: 13: No solution found.
Sun Dec 29 00:13:53 CET 2013: 14: finished (13456ms, 250cycles)
Sun Dec 29 00:13:53 CET 2013: 14: No solution found.
Sun Dec 29 00:14:09 CET 2013: 15: finished (16640ms, 250cycles)
Sun Dec 29 00:14:09 CET 2013: 15: No solution found.
Sun Dec 29 00:14:22 CET 2013: 16: finished (13070ms, 250cycles)
Sun Dec 29 00:14:22 CET 2013: 16: No solution found.
Sun Dec 29 00:14:26 CET 2013: 17: finished (3136ms, 56cycles)
Sun Dec 29 00:14:26 CET 2013: 17: Solution found.
Sun Dec 29 00:14:41 CET 2013: 18: finished (15884ms, 250cycles)
Sun Dec 29 00:14:41 CET 2013: 18: No solution found.
Sun Dec 29 00:14:58 CET 2013: 19: finished (16431ms, 250cycles)
Sun Dec 29 00:14:58 CET 2013: 19: No solution found.
Sun Dec 29 00:15:13 CET 2013: 20: finished (15440ms, 250cycles)
Sun Dec 29 00:15:13 CET 2013: 20: No solution found.
Sun Dec 29 00:15:27 CET 2013: 21: finished (13300ms, 250cycles)
Sun Dec 29 00:15:27 CET 2013: 21: No solution found.
Sun Dec 29 00:15:44 CET 2013: 22: finished (17128ms, 250cycles)
Sun Dec 29 00:15:44 CET 2013: 22: No solution found.
Sun Dec 29 00:15:49 CET 2013: 23: finished (5709ms, 106cycles)
Sun Dec 29 00:15:49 CET 2013: 23: Solution found.
Sun Dec 29 00:16:02 CET 2013: 24: finished (12932ms, 250cycles)
Sun Dec 29 00:16:02 CET 2013: 24: No solution found.
Sun Dec 29 00:16:07 CET 2013: 25: finished (4606ms, 85cycles)
Sun Dec 29 00:16:07 CET 2013: 25: Solution found.
Sun Dec 29 00:16:24 CET 2013: 26: finished (16880ms, 250cycles)
Sun Dec 29 00:16:24 CET 2013: 26: No solution found.
Sun Dec 29 00:16:41 CET 2013: 27: finished (16912ms, 250cycles)
Sun Dec 29 00:16:41 CET 2013: 27: No solution found.
Sun Dec 29 00:16:57 CET 2013: 28: finished (15840ms, 250cycles)
Sun Dec 29 00:16:57 CET 2013: 28: No solution found.
Sun Dec 29 00:17:10 CET 2013: 29: finished (13656ms, 250cycles)
Sun Dec 29 00:17:10 CET 2013: 29: No solution found.
Sun Dec 29 00:17:26 CET 2013: 30: finished (16078ms, 250cycles)
Sun Dec 29 00:17:26 CET 2013: 30: No solution found.
Sun Dec 29 00:17:44 CET 2013: 31: finished (17189ms, 250cycles)
Sun Dec 29 00:17:44 CET 2013: 31: No solution found.
Sun Dec 29 00:17:57 CET 2013: 32: finished (13322ms, 250cycles)
Sun Dec 29 00:17:57 CET 2013: 32: No solution found.
Sun Dec 29 00:18:08 CET 2013: 33: finished (10989ms, 175cycles)
Sun Dec 29 00:18:08 CET 2013: 33: Solution found.
Sun Dec 29 00:18:23 CET 2013: 34: finished (14740ms, 250cycles)
Sun Dec 29 00:18:23 CET 2013: 34: No solution found.
Sun Dec 29 00:18:35 CET 2013: 35: finished (12714ms, 250cycles)
Sun Dec 29 00:18:35 CET 2013: 35: No solution found.
Sun Dec 29 00:18:49 CET 2013: 36: finished (13685ms, 250cycles)
Sun Dec 29 00:18:49 CET 2013: 36: No solution found.
