Tue May 20 11:33:25 CEST 2014: Problem Count: 0
Tue May 20 11:33:25 CEST 2014: CandidatesCount: 150
Tue May 20 11:33:25 CEST 2014: Max Cycles: 500
Tue May 20 11:33:35 CEST 2014: 0: finished (10548ms, 500cycles)
Tue May 20 11:33:35 CEST 2014: 0: No solution found.
Tue May 20 11:33:46 CEST 2014: 1: finished (10511ms, 500cycles)
Tue May 20 11:33:46 CEST 2014: 1: No solution found.
Tue May 20 11:33:56 CEST 2014: 2: finished (10479ms, 500cycles)
Tue May 20 11:33:56 CEST 2014: 2: No solution found.
Tue May 20 11:34:07 CEST 2014: 3: finished (10681ms, 500cycles)
Tue May 20 11:34:07 CEST 2014: 3: No solution found.
Tue May 20 11:34:18 CEST 2014: 4: finished (10501ms, 500cycles)
Tue May 20 11:34:18 CEST 2014: 4: No solution found.
Tue May 20 11:34:28 CEST 2014: 5: finished (10578ms, 500cycles)
Tue May 20 11:34:28 CEST 2014: 5: No solution found.
Tue May 20 11:34:39 CEST 2014: 6: finished (10514ms, 500cycles)
Tue May 20 11:34:39 CEST 2014: 6: No solution found.
Tue May 20 11:34:49 CEST 2014: 7: finished (10553ms, 500cycles)
Tue May 20 11:34:49 CEST 2014: 7: No solution found.
Tue May 20 11:35:00 CEST 2014: 8: finished (10426ms, 500cycles)
Tue May 20 11:35:00 CEST 2014: 8: No solution found.
Tue May 20 11:35:10 CEST 2014: 9: finished (10480ms, 500cycles)
Tue May 20 11:35:10 CEST 2014: 9: No solution found.
Tue May 20 11:35:21 CEST 2014: 10: finished (10734ms, 500cycles)
Tue May 20 11:35:21 CEST 2014: 10: No solution found.
Tue May 20 11:35:32 CEST 2014: 11: finished (10729ms, 500cycles)
Tue May 20 11:35:32 CEST 2014: 11: No solution found.
Tue May 20 11:35:42 CEST 2014: 12: finished (10475ms, 500cycles)
Tue May 20 11:35:42 CEST 2014: 12: No solution found.
Tue May 20 11:35:53 CEST 2014: 13: finished (10681ms, 500cycles)
Tue May 20 11:35:53 CEST 2014: 13: No solution found.
Tue May 20 11:36:04 CEST 2014: 14: finished (10552ms, 500cycles)
Tue May 20 11:36:04 CEST 2014: 14: No solution found.
Tue May 20 11:36:14 CEST 2014: 15: finished (10539ms, 500cycles)
Tue May 20 11:36:14 CEST 2014: 15: No solution found.
Tue May 20 11:36:24 CEST 2014: 16: finished (10361ms, 500cycles)
Tue May 20 11:36:24 CEST 2014: 16: No solution found.
Tue May 20 11:36:35 CEST 2014: 17: finished (10570ms, 500cycles)
Tue May 20 11:36:35 CEST 2014: 17: No solution found.
Tue May 20 11:36:46 CEST 2014: 18: finished (10526ms, 500cycles)
Tue May 20 11:36:46 CEST 2014: 18: No solution found.
Tue May 20 11:36:56 CEST 2014: 19: finished (10565ms, 500cycles)
Tue May 20 11:36:56 CEST 2014: 19: No solution found.
Tue May 20 11:37:07 CEST 2014: 20: finished (10565ms, 500cycles)
Tue May 20 11:37:07 CEST 2014: 20: No solution found.
Tue May 20 11:37:17 CEST 2014: 21: finished (10660ms, 500cycles)
Tue May 20 11:37:17 CEST 2014: 21: No solution found.
Tue May 20 11:37:28 CEST 2014: 22: finished (10567ms, 500cycles)
Tue May 20 11:37:28 CEST 2014: 22: No solution found.
Tue May 20 11:37:39 CEST 2014: 23: finished (10685ms, 500cycles)
Tue May 20 11:37:39 CEST 2014: 23: No solution found.
Tue May 20 11:37:49 CEST 2014: 24: finished (10710ms, 500cycles)
Tue May 20 11:37:49 CEST 2014: 24: No solution found.
Tue May 20 11:38:00 CEST 2014: 25: finished (10633ms, 500cycles)
Tue May 20 11:38:00 CEST 2014: 25: No solution found.
Tue May 20 11:38:11 CEST 2014: 26: finished (10840ms, 500cycles)
Tue May 20 11:38:11 CEST 2014: 26: No solution found.
Tue May 20 11:38:22 CEST 2014: 27: finished (10725ms, 500cycles)
Tue May 20 11:38:22 CEST 2014: 27: No solution found.
Tue May 20 11:38:32 CEST 2014: 28: finished (10596ms, 500cycles)
Tue May 20 11:38:32 CEST 2014: 28: No solution found.
Tue May 20 11:38:43 CEST 2014: 29: finished (10764ms, 500cycles)
Tue May 20 11:38:43 CEST 2014: 29: No solution found.
Tue May 20 11:38:53 CEST 2014: 30: finished (10438ms, 500cycles)
Tue May 20 11:38:53 CEST 2014: 30: No solution found.
Tue May 20 11:39:04 CEST 2014: 31: finished (10616ms, 500cycles)
Tue May 20 11:39:04 CEST 2014: 31: No solution found.
Tue May 20 11:39:15 CEST 2014: 32: finished (10712ms, 500cycles)
Tue May 20 11:39:15 CEST 2014: 32: No solution found.
Tue May 20 11:39:25 CEST 2014: 33: finished (10574ms, 500cycles)
Tue May 20 11:39:25 CEST 2014: 33: No solution found.
Tue May 20 11:39:36 CEST 2014: 34: finished (10680ms, 500cycles)
Tue May 20 11:39:36 CEST 2014: 34: No solution found.
Tue May 20 11:39:47 CEST 2014: 35: finished (10705ms, 500cycles)
Tue May 20 11:39:47 CEST 2014: 35: No solution found.
Tue May 20 11:39:58 CEST 2014: 36: finished (10683ms, 500cycles)
Tue May 20 11:39:58 CEST 2014: 36: No solution found.
Tue May 20 11:40:08 CEST 2014: 37: finished (10741ms, 500cycles)
Tue May 20 11:40:08 CEST 2014: 37: No solution found.
Tue May 20 11:40:19 CEST 2014: 38: finished (10764ms, 500cycles)
Tue May 20 11:40:19 CEST 2014: 38: No solution found.
Tue May 20 11:40:30 CEST 2014: 39: finished (10653ms, 500cycles)
Tue May 20 11:40:30 CEST 2014: 39: No solution found.
Tue May 20 11:40:40 CEST 2014: 40: finished (10684ms, 500cycles)
Tue May 20 11:40:40 CEST 2014: 40: No solution found.
