Tue May 20 05:10:53 CEST 2014: Problem Count: 0
Tue May 20 05:10:53 CEST 2014: CandidatesCount: 200
Tue May 20 05:10:53 CEST 2014: Max Cycles: 500
Tue May 20 05:11:11 CEST 2014: 0: finished (17767ms, 500cycles)
Tue May 20 05:11:11 CEST 2014: 0: No solution found.
Tue May 20 05:11:29 CEST 2014: 1: finished (17958ms, 500cycles)
Tue May 20 05:11:29 CEST 2014: 1: No solution found.
Tue May 20 05:11:47 CEST 2014: 2: finished (18105ms, 500cycles)
Tue May 20 05:11:47 CEST 2014: 2: No solution found.
Tue May 20 05:12:05 CEST 2014: 3: finished (17742ms, 500cycles)
Tue May 20 05:12:05 CEST 2014: 3: No solution found.
Tue May 20 05:12:23 CEST 2014: 4: finished (18037ms, 500cycles)
Tue May 20 05:12:23 CEST 2014: 4: No solution found.
Tue May 20 05:12:40 CEST 2014: 5: finished (17621ms, 500cycles)
Tue May 20 05:12:40 CEST 2014: 5: No solution found.
Tue May 20 05:12:58 CEST 2014: 6: finished (17664ms, 500cycles)
Tue May 20 05:12:58 CEST 2014: 6: No solution found.
Tue May 20 05:13:16 CEST 2014: 7: finished (17803ms, 500cycles)
Tue May 20 05:13:16 CEST 2014: 7: No solution found.
Tue May 20 05:13:33 CEST 2014: 8: finished (17579ms, 500cycles)
Tue May 20 05:13:33 CEST 2014: 8: No solution found.
Tue May 20 05:13:51 CEST 2014: 9: finished (17343ms, 500cycles)
Tue May 20 05:13:51 CEST 2014: 9: No solution found.
Tue May 20 05:14:08 CEST 2014: 10: finished (17483ms, 500cycles)
Tue May 20 05:14:08 CEST 2014: 10: No solution found.
Tue May 20 05:14:26 CEST 2014: 11: finished (17652ms, 500cycles)
Tue May 20 05:14:26 CEST 2014: 11: No solution found.
Tue May 20 05:14:43 CEST 2014: 12: finished (17457ms, 500cycles)
Tue May 20 05:14:43 CEST 2014: 12: No solution found.
Tue May 20 05:15:01 CEST 2014: 13: finished (17902ms, 500cycles)
Tue May 20 05:15:01 CEST 2014: 13: No solution found.
