Sat Dec 28 17:03:38 CET 2013: Problem Count: 150
Sat Dec 28 17:03:38 CET 2013: CandidatesCount: 50
Sat Dec 28 17:03:38 CET 2013: Max Cycles: 500
Sat Dec 28 17:03:42 CET 2013: 0: finished (4137ms, 500cycles)
Sat Dec 28 17:03:42 CET 2013: 0: No solution found.
Sat Dec 28 17:03:44 CET 2013: 1: finished (2345ms, 252cycles)
Sat Dec 28 17:03:44 CET 2013: 1: Solution found.
Sat Dec 28 17:03:48 CET 2013: 2: finished (3371ms, 500cycles)
Sat Dec 28 17:03:48 CET 2013: 2: No solution found.
Sat Dec 28 17:03:51 CET 2013: 3: finished (3728ms, 500cycles)
Sat Dec 28 17:03:51 CET 2013: 3: No solution found.
Sat Dec 28 17:03:55 CET 2013: 4: finished (3335ms, 500cycles)
Sat Dec 28 17:03:55 CET 2013: 4: No solution found.
Sat Dec 28 17:03:58 CET 2013: 5: finished (3550ms, 500cycles)
Sat Dec 28 17:03:58 CET 2013: 5: No solution found.
Sat Dec 28 17:04:02 CET 2013: 6: finished (3694ms, 500cycles)
Sat Dec 28 17:04:02 CET 2013: 6: No solution found.
Sat Dec 28 17:04:06 CET 2013: 7: finished (4343ms, 500cycles)
Sat Dec 28 17:04:06 CET 2013: 7: No solution found.
Sat Dec 28 17:04:10 CET 2013: 8: finished (3839ms, 500cycles)
Sat Dec 28 17:04:10 CET 2013: 8: No solution found.
Sat Dec 28 17:04:14 CET 2013: 9: finished (3741ms, 500cycles)
Sat Dec 28 17:04:14 CET 2013: 9: No solution found.
Sat Dec 28 17:04:19 CET 2013: 10: finished (4894ms, 500cycles)
Sat Dec 28 17:04:19 CET 2013: 10: No solution found.
Sat Dec 28 17:04:19 CET 2013: 11: finished (347ms, 43cycles)
Sat Dec 28 17:04:19 CET 2013: 11: Solution found.
Sat Dec 28 17:04:23 CET 2013: 12: finished (3989ms, 500cycles)
Sat Dec 28 17:04:23 CET 2013: 12: No solution found.
Sat Dec 28 17:04:27 CET 2013: 13: finished (3686ms, 500cycles)
Sat Dec 28 17:04:27 CET 2013: 13: No solution found.
Sat Dec 28 17:04:30 CET 2013: 14: finished (3233ms, 500cycles)
Sat Dec 28 17:04:30 CET 2013: 14: No solution found.
Sat Dec 28 17:04:34 CET 2013: 15: finished (3934ms, 500cycles)
Sat Dec 28 17:04:34 CET 2013: 15: No solution found.
Sat Dec 28 17:04:38 CET 2013: 16: finished (3897ms, 500cycles)
Sat Dec 28 17:04:38 CET 2013: 16: No solution found.
Sat Dec 28 17:04:42 CET 2013: 17: finished (4251ms, 500cycles)
Sat Dec 28 17:04:42 CET 2013: 17: No solution found.
Sat Dec 28 17:04:46 CET 2013: 18: finished (3691ms, 500cycles)
Sat Dec 28 17:04:46 CET 2013: 18: No solution found.
Sat Dec 28 17:04:47 CET 2013: 19: finished (1061ms, 129cycles)
Sat Dec 28 17:04:47 CET 2013: 19: Solution found.
Sat Dec 28 17:04:51 CET 2013: 20: finished (4007ms, 500cycles)
Sat Dec 28 17:04:51 CET 2013: 20: No solution found.
Sat Dec 28 17:04:55 CET 2013: 21: finished (4120ms, 500cycles)
Sat Dec 28 17:04:55 CET 2013: 21: No solution found.
Sat Dec 28 17:04:59 CET 2013: 22: finished (4124ms, 500cycles)
Sat Dec 28 17:04:59 CET 2013: 22: No solution found.
Sat Dec 28 17:05:03 CET 2013: 23: finished (3799ms, 500cycles)
Sat Dec 28 17:05:03 CET 2013: 23: No solution found.
Sat Dec 28 17:05:07 CET 2013: 24: finished (3596ms, 500cycles)
Sat Dec 28 17:05:07 CET 2013: 24: No solution found.
Sat Dec 28 17:05:10 CET 2013: 25: finished (3531ms, 500cycles)
Sat Dec 28 17:05:10 CET 2013: 25: No solution found.
Sat Dec 28 17:05:14 CET 2013: 26: finished (3845ms, 500cycles)
Sat Dec 28 17:05:14 CET 2013: 26: No solution found.
Sat Dec 28 17:05:14 CET 2013: 27: finished (384ms, 47cycles)
Sat Dec 28 17:05:14 CET 2013: 27: Solution found.
Sat Dec 28 17:05:18 CET 2013: 28: finished (3628ms, 500cycles)
Sat Dec 28 17:05:18 CET 2013: 28: No solution found.
Sat Dec 28 17:05:22 CET 2013: 29: finished (3778ms, 500cycles)
Sat Dec 28 17:05:22 CET 2013: 29: No solution found.
Sat Dec 28 17:05:26 CET 2013: 30: finished (3842ms, 500cycles)
Sat Dec 28 17:05:26 CET 2013: 30: No solution found.
Sat Dec 28 17:05:26 CET 2013: 31: finished (472ms, 61cycles)
Sat Dec 28 17:05:26 CET 2013: 31: Solution found.
Sat Dec 28 17:05:30 CET 2013: 32: finished (3674ms, 500cycles)
Sat Dec 28 17:05:30 CET 2013: 32: No solution found.
Sat Dec 28 17:05:34 CET 2013: 33: finished (3980ms, 500cycles)
Sat Dec 28 17:05:34 CET 2013: 33: No solution found.
Sat Dec 28 17:05:38 CET 2013: 34: finished (3974ms, 500cycles)
Sat Dec 28 17:05:38 CET 2013: 34: No solution found.
Sat Dec 28 17:05:42 CET 2013: 35: finished (3921ms, 500cycles)
Sat Dec 28 17:05:42 CET 2013: 35: No solution found.
Sat Dec 28 17:05:45 CET 2013: 36: finished (3796ms, 500cycles)
Sat Dec 28 17:05:45 CET 2013: 36: No solution found.
Sat Dec 28 17:05:49 CET 2013: 37: finished (3803ms, 500cycles)
