Mon May 19 15:14:36 CEST 2014: Problem Count: 250
Mon May 19 15:14:36 CEST 2014: CandidatesCount: 50
Mon May 19 15:14:36 CEST 2014: Max Cycles: 500
Mon May 19 15:14:41 CEST 2014: 0: finished (4540ms, 500cycles)
Mon May 19 15:14:41 CEST 2014: 0: No solution found.
Mon May 19 15:14:46 CEST 2014: 1: finished (4527ms, 500cycles)
Mon May 19 15:14:46 CEST 2014: 1: No solution found.
Mon May 19 15:14:49 CEST 2014: 2: finished (3932ms, 500cycles)
Mon May 19 15:14:49 CEST 2014: 2: No solution found.
Mon May 19 15:14:57 CEST 2014: 3: finished (7633ms, 500cycles)
Mon May 19 15:14:57 CEST 2014: 3: No solution found.
Mon May 19 15:15:02 CEST 2014: 4: finished (4457ms, 500cycles)
Mon May 19 15:15:02 CEST 2014: 4: No solution found.
Mon May 19 15:15:06 CEST 2014: 5: finished (4853ms, 500cycles)
Mon May 19 15:15:06 CEST 2014: 5: No solution found.
Mon May 19 15:15:11 CEST 2014: 6: finished (4399ms, 500cycles)
Mon May 19 15:15:11 CEST 2014: 6: No solution found.
Mon May 19 15:15:15 CEST 2014: 7: finished (4665ms, 500cycles)
Mon May 19 15:15:15 CEST 2014: 7: No solution found.
Mon May 19 15:15:19 CEST 2014: 8: finished (3949ms, 500cycles)
Mon May 19 15:15:19 CEST 2014: 8: No solution found.
Mon May 19 15:15:24 CEST 2014: 9: finished (4575ms, 500cycles)
Mon May 19 15:15:24 CEST 2014: 9: No solution found.
Mon May 19 15:15:28 CEST 2014: 10: finished (4348ms, 500cycles)
Mon May 19 15:15:28 CEST 2014: 10: No solution found.
Mon May 19 15:15:37 CEST 2014: 11: finished (8649ms, 500cycles)
Mon May 19 15:15:37 CEST 2014: 11: No solution found.
Mon May 19 15:15:42 CEST 2014: 12: finished (4622ms, 500cycles)
Mon May 19 15:15:42 CEST 2014: 12: No solution found.
Mon May 19 15:15:46 CEST 2014: 13: finished (4258ms, 500cycles)
Mon May 19 15:15:46 CEST 2014: 13: No solution found.
Mon May 19 15:15:46 CEST 2014: 14: finished (602ms, 63cycles)
Mon May 19 15:15:46 CEST 2014: 14: Solution found.
Mon May 19 15:15:52 CEST 2014: 15: finished (5004ms, 500cycles)
Mon May 19 15:15:52 CEST 2014: 15: No solution found.
Mon May 19 15:15:56 CEST 2014: 16: finished (4385ms, 500cycles)
Mon May 19 15:15:56 CEST 2014: 16: No solution found.
Mon May 19 15:16:01 CEST 2014: 17: finished (5144ms, 500cycles)
Mon May 19 15:16:01 CEST 2014: 17: No solution found.
Mon May 19 15:16:07 CEST 2014: 18: finished (6419ms, 500cycles)
Mon May 19 15:16:07 CEST 2014: 18: No solution found.
Mon May 19 15:16:12 CEST 2014: 19: finished (4563ms, 500cycles)
Mon May 19 15:16:12 CEST 2014: 19: No solution found.
Mon May 19 15:16:16 CEST 2014: 20: finished (4265ms, 500cycles)
Mon May 19 15:16:16 CEST 2014: 20: No solution found.
Mon May 19 15:16:21 CEST 2014: 21: finished (4542ms, 500cycles)
Mon May 19 15:16:21 CEST 2014: 21: No solution found.
Mon May 19 15:16:26 CEST 2014: 22: finished (4708ms, 500cycles)
Mon May 19 15:16:26 CEST 2014: 22: No solution found.
Mon May 19 15:16:33 CEST 2014: 23: finished (7263ms, 500cycles)
Mon May 19 15:16:33 CEST 2014: 23: No solution found.
Mon May 19 15:16:37 CEST 2014: 24: finished (4069ms, 500cycles)
Mon May 19 15:16:37 CEST 2014: 24: No solution found.
Mon May 19 15:16:42 CEST 2014: 25: finished (4794ms, 500cycles)
Mon May 19 15:16:42 CEST 2014: 25: No solution found.
Mon May 19 15:16:46 CEST 2014: 26: finished (4642ms, 500cycles)
Mon May 19 15:16:46 CEST 2014: 26: No solution found.
Mon May 19 15:16:51 CEST 2014: 27: finished (4433ms, 500cycles)
Mon May 19 15:16:51 CEST 2014: 27: No solution found.
Mon May 19 15:16:57 CEST 2014: 28: finished (6360ms, 500cycles)
Mon May 19 15:16:57 CEST 2014: 28: No solution found.
Mon May 19 15:17:03 CEST 2014: 29: finished (5848ms, 500cycles)
Mon May 19 15:17:03 CEST 2014: 29: No solution found.
Mon May 19 15:17:07 CEST 2014: 30: finished (4495ms, 500cycles)
Mon May 19 15:17:07 CEST 2014: 30: No solution found.
Mon May 19 15:17:12 CEST 2014: 31: finished (4875ms, 500cycles)
Mon May 19 15:17:12 CEST 2014: 31: No solution found.
Mon May 19 15:17:20 CEST 2014: 32: finished (7374ms, 500cycles)
Mon May 19 15:17:20 CEST 2014: 32: No solution found.
Mon May 19 15:17:24 CEST 2014: 33: finished (4622ms, 500cycles)
Mon May 19 15:17:24 CEST 2014: 33: No solution found.
Mon May 19 15:17:29 CEST 2014: 34: finished (4795ms, 500cycles)
Mon May 19 15:17:29 CEST 2014: 34: No solution found.
Mon May 19 15:17:33 CEST 2014: 35: finished (4361ms, 500cycles)
Mon May 19 15:17:33 CEST 2014: 35: No solution found.
Mon May 19 15:17:38 CEST 2014: 36: finished (4102ms, 500cycles)
Mon May 19 15:17:38 CEST 2014: 36: No solution found.
Mon May 19 15:17:42 CEST 2014: 37: finished (4417ms, 500cycles)
