Fri Dec 27 14:42:46 CET 2013: Problem Count: 150
Fri Dec 27 14:42:46 CET 2013: CandidatesCount: 50
Fri Dec 27 14:42:46 CET 2013: Max Cycles: 500
Fri Dec 27 14:42:48 CET 2013: 0: finished (1789ms, 500cycles)
Fri Dec 27 14:42:48 CET 2013: 0: No solution found.
Fri Dec 27 14:42:50 CET 2013: 1: finished (2067ms, 500cycles)
Fri Dec 27 14:42:50 CET 2013: 1: No solution found.
Fri Dec 27 14:42:52 CET 2013: 2: finished (2239ms, 500cycles)
Fri Dec 27 14:42:52 CET 2013: 2: No solution found.
Fri Dec 27 14:42:54 CET 2013: 3: finished (2032ms, 500cycles)
Fri Dec 27 14:42:54 CET 2013: 3: No solution found.
Fri Dec 27 14:42:54 CET 2013: 4: finished (178ms, 42cycles)
Fri Dec 27 14:42:54 CET 2013: 4: Solution found.
Fri Dec 27 14:42:56 CET 2013: 5: finished (1995ms, 500cycles)
Fri Dec 27 14:42:56 CET 2013: 5: No solution found.
Fri Dec 27 14:42:58 CET 2013: 6: finished (2184ms, 500cycles)
Fri Dec 27 14:42:58 CET 2013: 6: No solution found.
Fri Dec 27 14:43:00 CET 2013: 7: finished (1924ms, 500cycles)
Fri Dec 27 14:43:00 CET 2013: 7: No solution found.
Fri Dec 27 14:43:02 CET 2013: 8: finished (2045ms, 500cycles)
Fri Dec 27 14:43:02 CET 2013: 8: No solution found.
Fri Dec 27 14:43:04 CET 2013: 9: finished (2080ms, 500cycles)
Fri Dec 27 14:43:04 CET 2013: 9: No solution found.
Fri Dec 27 14:43:07 CET 2013: 10: finished (2163ms, 500cycles)
Fri Dec 27 14:43:07 CET 2013: 10: No solution found.
Fri Dec 27 14:43:09 CET 2013: 11: finished (2120ms, 500cycles)
Fri Dec 27 14:43:09 CET 2013: 11: No solution found.
Fri Dec 27 14:43:11 CET 2013: 12: finished (2038ms, 500cycles)
Fri Dec 27 14:43:11 CET 2013: 12: No solution found.
Fri Dec 27 14:43:13 CET 2013: 13: finished (2051ms, 500cycles)
Fri Dec 27 14:43:13 CET 2013: 13: No solution found.
Fri Dec 27 14:43:15 CET 2013: 14: finished (2080ms, 500cycles)
Fri Dec 27 14:43:15 CET 2013: 14: No solution found.
Fri Dec 27 14:43:17 CET 2013: 15: finished (1812ms, 500cycles)
Fri Dec 27 14:43:17 CET 2013: 15: No solution found.
Fri Dec 27 14:43:17 CET 2013: 16: finished (53ms, 12cycles)
Fri Dec 27 14:43:17 CET 2013: 16: Solution found.
Fri Dec 27 14:43:19 CET 2013: 17: finished (1992ms, 500cycles)
Fri Dec 27 14:43:19 CET 2013: 17: No solution found.
Fri Dec 27 14:43:21 CET 2013: 18: finished (1943ms, 500cycles)
Fri Dec 27 14:43:21 CET 2013: 18: No solution found.
Fri Dec 27 14:43:22 CET 2013: 19: finished (1750ms, 500cycles)
Fri Dec 27 14:43:22 CET 2013: 19: No solution found.
Fri Dec 27 14:43:25 CET 2013: 20: finished (2239ms, 500cycles)
Fri Dec 27 14:43:25 CET 2013: 20: No solution found.
Fri Dec 27 14:43:25 CET 2013: 21: finished (154ms, 34cycles)
Fri Dec 27 14:43:25 CET 2013: 21: Solution found.
Fri Dec 27 14:43:27 CET 2013: 22: finished (1995ms, 500cycles)
Fri Dec 27 14:43:27 CET 2013: 22: No solution found.
Fri Dec 27 14:43:29 CET 2013: 23: finished (2222ms, 500cycles)
Fri Dec 27 14:43:29 CET 2013: 23: No solution found.
Fri Dec 27 14:43:29 CET 2013: 24: finished (110ms, 24cycles)
Fri Dec 27 14:43:29 CET 2013: 24: Solution found.
Fri Dec 27 14:43:31 CET 2013: 25: finished (2220ms, 500cycles)
Fri Dec 27 14:43:31 CET 2013: 25: No solution found.
Fri Dec 27 14:43:33 CET 2013: 26: finished (1763ms, 500cycles)
Fri Dec 27 14:43:33 CET 2013: 26: No solution found.
