Fri Dec 27 23:38:39 CET 2013: Problem Count: 50
Fri Dec 27 23:38:39 CET 2013: CandidatesCount: 150
Fri Dec 27 23:38:39 CET 2013: Max Cycles: 1000
Fri Dec 27 23:38:54 CET 2013: 0: finished (14941ms, 1000cycles)
Fri Dec 27 23:38:54 CET 2013: 0: No solution found.
Fri Dec 27 23:39:07 CET 2013: 1: finished (13822ms, 1000cycles)
Fri Dec 27 23:39:07 CET 2013: 1: No solution found.
Fri Dec 27 23:39:09 CET 2013: 2: finished (1854ms, 119cycles)
Fri Dec 27 23:39:09 CET 2013: 2: Solution found.
Fri Dec 27 23:39:23 CET 2013: 3: finished (14005ms, 1000cycles)
Fri Dec 27 23:39:23 CET 2013: 3: No solution found.
Fri Dec 27 23:39:38 CET 2013: 4: finished (14480ms, 1000cycles)
Fri Dec 27 23:39:38 CET 2013: 4: No solution found.
Fri Dec 27 23:39:52 CET 2013: 5: finished (14299ms, 1000cycles)
Fri Dec 27 23:39:52 CET 2013: 5: No solution found.
Fri Dec 27 23:40:07 CET 2013: 6: finished (14538ms, 1000cycles)
Fri Dec 27 23:40:07 CET 2013: 6: No solution found.
Fri Dec 27 23:40:21 CET 2013: 7: finished (14665ms, 1000cycles)
Fri Dec 27 23:40:21 CET 2013: 7: No solution found.
Fri Dec 27 23:40:35 CET 2013: 8: finished (14063ms, 1000cycles)
Fri Dec 27 23:40:35 CET 2013: 8: No solution found.
Fri Dec 27 23:40:50 CET 2013: 9: finished (14786ms, 1000cycles)
Fri Dec 27 23:40:50 CET 2013: 9: No solution found.
Fri Dec 27 23:41:04 CET 2013: 10: finished (14368ms, 1000cycles)
Fri Dec 27 23:41:04 CET 2013: 10: No solution found.
Fri Dec 27 23:41:19 CET 2013: 11: finished (14579ms, 1000cycles)
Fri Dec 27 23:41:19 CET 2013: 11: No solution found.
Fri Dec 27 23:41:34 CET 2013: 12: finished (15159ms, 1000cycles)
Fri Dec 27 23:41:34 CET 2013: 12: No solution found.
Fri Dec 27 23:41:50 CET 2013: 13: finished (16120ms, 1000cycles)
Fri Dec 27 23:41:50 CET 2013: 13: No solution found.
Fri Dec 27 23:42:06 CET 2013: 14: finished (15433ms, 1000cycles)
Fri Dec 27 23:42:06 CET 2013: 14: No solution found.
Fri Dec 27 23:42:20 CET 2013: 15: finished (14287ms, 1000cycles)
Fri Dec 27 23:42:20 CET 2013: 15: No solution found.
Fri Dec 27 23:42:35 CET 2013: 16: finished (14812ms, 1000cycles)
Fri Dec 27 23:42:35 CET 2013: 16: No solution found.
Fri Dec 27 23:42:49 CET 2013: 17: finished (14299ms, 1000cycles)
Fri Dec 27 23:42:49 CET 2013: 17: No solution found.
Fri Dec 27 23:43:04 CET 2013: 18: finished (14535ms, 1000cycles)
Fri Dec 27 23:43:04 CET 2013: 18: No solution found.
Fri Dec 27 23:43:18 CET 2013: 19: finished (14747ms, 1000cycles)
Fri Dec 27 23:43:18 CET 2013: 19: No solution found.
Fri Dec 27 23:43:33 CET 2013: 20: finished (14161ms, 1000cycles)
Fri Dec 27 23:43:33 CET 2013: 20: No solution found.
Fri Dec 27 23:43:47 CET 2013: 21: finished (14056ms, 1000cycles)
Fri Dec 27 23:43:47 CET 2013: 21: No solution found.
Fri Dec 27 23:44:00 CET 2013: 22: finished (13769ms, 1000cycles)
Fri Dec 27 23:44:00 CET 2013: 22: No solution found.
Fri Dec 27 23:44:15 CET 2013: 23: finished (14817ms, 1000cycles)
Fri Dec 27 23:44:15 CET 2013: 23: No solution found.
Fri Dec 27 23:44:16 CET 2013: 24: finished (543ms, 36cycles)
Fri Dec 27 23:44:16 CET 2013: 24: Solution found.
Fri Dec 27 23:44:31 CET 2013: 25: finished (14833ms, 1000cycles)
Fri Dec 27 23:44:31 CET 2013: 25: No solution found.
Fri Dec 27 23:44:44 CET 2013: 26: finished (13406ms, 1000cycles)
Fri Dec 27 23:44:44 CET 2013: 26: No solution found.
Fri Dec 27 23:45:00 CET 2013: 27: finished (15903ms, 1000cycles)
Fri Dec 27 23:45:00 CET 2013: 27: No solution found.
Fri Dec 27 23:45:14 CET 2013: 28: finished (14284ms, 1000cycles)
Fri Dec 27 23:45:14 CET 2013: 28: No solution found.
Fri Dec 27 23:45:28 CET 2013: 29: finished (13605ms, 1000cycles)
Fri Dec 27 23:45:28 CET 2013: 29: No solution found.
