Sat Dec 28 00:00:39 CET 2013: Problem Count: 100
Sat Dec 28 00:00:39 CET 2013: CandidatesCount: 150
Sat Dec 28 00:00:39 CET 2013: Max Cycles: 500
Sat Dec 28 00:00:57 CET 2013: 0: finished (17825ms, 500cycles)
Sat Dec 28 00:00:57 CET 2013: 0: No solution found.
Sat Dec 28 00:01:16 CET 2013: 1: finished (19066ms, 500cycles)
Sat Dec 28 00:01:16 CET 2013: 1: No solution found.
Sat Dec 28 00:01:34 CET 2013: 2: finished (18116ms, 500cycles)
Sat Dec 28 00:01:34 CET 2013: 2: No solution found.
Sat Dec 28 00:01:53 CET 2013: 3: finished (18663ms, 500cycles)
Sat Dec 28 00:01:53 CET 2013: 3: No solution found.
Sat Dec 28 00:02:12 CET 2013: 4: finished (18743ms, 500cycles)
Sat Dec 28 00:02:12 CET 2013: 4: No solution found.
Sat Dec 28 00:02:31 CET 2013: 5: finished (18919ms, 500cycles)
Sat Dec 28 00:02:31 CET 2013: 5: No solution found.
Sat Dec 28 00:02:49 CET 2013: 6: finished (18505ms, 500cycles)
Sat Dec 28 00:02:49 CET 2013: 6: No solution found.
Sat Dec 28 00:03:09 CET 2013: 7: finished (19781ms, 500cycles)
Sat Dec 28 00:03:09 CET 2013: 7: No solution found.
Sat Dec 28 00:03:27 CET 2013: 8: finished (18193ms, 500cycles)
Sat Dec 28 00:03:27 CET 2013: 8: No solution found.
Sat Dec 28 00:03:46 CET 2013: 9: finished (18955ms, 500cycles)
Sat Dec 28 00:03:46 CET 2013: 9: No solution found.
Sat Dec 28 00:04:04 CET 2013: 10: finished (17562ms, 500cycles)
Sat Dec 28 00:04:04 CET 2013: 10: No solution found.
Sat Dec 28 00:04:22 CET 2013: 11: finished (18564ms, 500cycles)
Sat Dec 28 00:04:22 CET 2013: 11: No solution found.
Sat Dec 28 00:04:40 CET 2013: 12: finished (17874ms, 500cycles)
Sat Dec 28 00:04:40 CET 2013: 12: No solution found.
Sat Dec 28 00:04:59 CET 2013: 13: finished (18524ms, 500cycles)
Sat Dec 28 00:04:59 CET 2013: 13: No solution found.
Sat Dec 28 00:05:17 CET 2013: 14: finished (18450ms, 500cycles)
Sat Dec 28 00:05:17 CET 2013: 14: No solution found.
Sat Dec 28 00:05:37 CET 2013: 15: finished (19849ms, 500cycles)
Sat Dec 28 00:05:37 CET 2013: 15: No solution found.
Sat Dec 28 00:05:39 CET 2013: 16: finished (2472ms, 61cycles)
Sat Dec 28 00:05:39 CET 2013: 16: Solution found.
Sat Dec 28 00:05:41 CET 2013: 17: finished (1629ms, 41cycles)
Sat Dec 28 00:05:41 CET 2013: 17: Solution found.
Sat Dec 28 00:06:00 CET 2013: 18: finished (19462ms, 500cycles)
Sat Dec 28 00:06:00 CET 2013: 18: No solution found.
Sat Dec 28 00:06:04 CET 2013: 19: finished (3488ms, 79cycles)
Sat Dec 28 00:06:04 CET 2013: 19: Solution found.
Sat Dec 28 00:06:24 CET 2013: 20: finished (20374ms, 500cycles)
Sat Dec 28 00:06:24 CET 2013: 20: No solution found.
Sat Dec 28 00:06:44 CET 2013: 21: finished (19685ms, 500cycles)
Sat Dec 28 00:06:44 CET 2013: 21: No solution found.
Sat Dec 28 00:07:02 CET 2013: 22: finished (17870ms, 500cycles)
Sat Dec 28 00:07:02 CET 2013: 22: No solution found.
Sat Dec 28 00:07:21 CET 2013: 23: finished (18664ms, 500cycles)
Sat Dec 28 00:07:21 CET 2013: 23: No solution found.
Sat Dec 28 00:07:40 CET 2013: 24: finished (19561ms, 500cycles)
Sat Dec 28 00:07:40 CET 2013: 24: No solution found.
Sat Dec 28 00:07:59 CET 2013: 25: finished (19038ms, 500cycles)
Sat Dec 28 00:07:59 CET 2013: 25: No solution found.
Sat Dec 28 00:08:17 CET 2013: 26: finished (17732ms, 500cycles)
Sat Dec 28 00:08:17 CET 2013: 26: No solution found.
Sat Dec 28 00:08:35 CET 2013: 27: finished (18063ms, 500cycles)
Sat Dec 28 00:08:35 CET 2013: 27: No solution found.
Sat Dec 28 00:08:45 CET 2013: 28: finished (9901ms, 251cycles)
Sat Dec 28 00:08:45 CET 2013: 28: Solution found.
Sat Dec 28 00:08:52 CET 2013: 29: finished (6796ms, 180cycles)
Sat Dec 28 00:08:52 CET 2013: 29: Solution found.
Sat Dec 28 00:09:10 CET 2013: 30: finished (18801ms, 500cycles)
Sat Dec 28 00:09:10 CET 2013: 30: No solution found.
Sat Dec 28 00:09:30 CET 2013: 31: finished (19131ms, 500cycles)
Sat Dec 28 00:09:30 CET 2013: 31: No solution found.
Sat Dec 28 00:09:34 CET 2013: 32: finished (4563ms, 119cycles)
Sat Dec 28 00:09:34 CET 2013: 32: Solution found.
Sat Dec 28 00:09:53 CET 2013: 33: finished (19317ms, 500cycles)
Sat Dec 28 00:09:53 CET 2013: 33: No solution found.
Sat Dec 28 00:10:11 CET 2013: 34: finished (17982ms, 500cycles)
Sat Dec 28 00:10:11 CET 2013: 34: No solution found.
Sat Dec 28 00:10:30 CET 2013: 35: finished (18577ms, 500cycles)
Sat Dec 28 00:10:30 CET 2013: 35: No solution found.
Sat Dec 28 00:10:49 CET 2013: 36: finished (18587ms, 500cycles)
Sat Dec 28 00:10:49 CET 2013: 36: No solution found.
Sat Dec 28 00:11:07 CET 2013: 37: finished (18771ms, 500cycles)
Sat Dec 28 00:11:07 CET 2013: 37: No solution found.
Sat Dec 28 00:11:26 CET 2013: 38: finished (18885ms, 500cycles)
Sat Dec 28 00:11:26 CET 2013: 38: No solution found.
Sat Dec 28 00:11:45 CET 2013: 39: finished (18570ms, 500cycles)
Sat Dec 28 00:11:45 CET 2013: 39: No solution found.
Sat Dec 28 00:12:02 CET 2013: 40: finished (17674ms, 500cycles)
Sat Dec 28 00:12:02 CET 2013: 40: No solution found.
Sat Dec 28 00:12:21 CET 2013: 41: finished (18892ms, 500cycles)
Sat Dec 28 00:12:21 CET 2013: 41: No solution found.
Sat Dec 28 00:12:40 CET 2013: 42: finished (18289ms, 500cycles)
Sat Dec 28 00:12:40 CET 2013: 42: No solution found.
Sat Dec 28 00:12:58 CET 2013: 43: finished (18127ms, 500cycles)
Sat Dec 28 00:12:58 CET 2013: 43: No solution found.
Sat Dec 28 00:13:16 CET 2013: 44: finished (18233ms, 500cycles)
Sat Dec 28 00:13:16 CET 2013: 44: No solution found.
Sat Dec 28 00:13:35 CET 2013: 45: finished (18831ms, 500cycles)
Sat Dec 28 00:13:35 CET 2013: 45: No solution found.
Sat Dec 28 00:13:53 CET 2013: 46: finished (18506ms, 500cycles)
Sat Dec 28 00:13:53 CET 2013: 46: No solution found.
Sat Dec 28 00:14:12 CET 2013: 47: finished (18495ms, 500cycles)
Sat Dec 28 00:14:12 CET 2013: 47: No solution found.
Sat Dec 28 00:14:31 CET 2013: 48: finished (18662ms, 500cycles)
Sat Dec 28 00:14:31 CET 2013: 48: No solution found.
Sat Dec 28 00:14:37 CET 2013: 49: finished (5998ms, 148cycles)
Sat Dec 28 00:14:37 CET 2013: 49: Solution found.
Sat Dec 28 00:14:55 CET 2013: 50: finished (18366ms, 500cycles)
Sat Dec 28 00:14:55 CET 2013: 50: No solution found.
Sat Dec 28 00:15:13 CET 2013: 51: finished (18007ms, 500cycles)
Sat Dec 28 00:15:13 CET 2013: 51: No solution found.
Sat Dec 28 00:15:32 CET 2013: 52: finished (19435ms, 500cycles)
Sat Dec 28 00:15:32 CET 2013: 52: No solution found.
Sat Dec 28 00:15:51 CET 2013: 53: finished (18861ms, 500cycles)
Sat Dec 28 00:15:51 CET 2013: 53: No solution found.
Sat Dec 28 00:16:11 CET 2013: 54: finished (19375ms, 500cycles)
Sat Dec 28 00:16:11 CET 2013: 54: No solution found.
Sat Dec 28 00:16:28 CET 2013: 55: finished (17619ms, 500cycles)
Sat Dec 28 00:16:28 CET 2013: 55: No solution found.
Sat Dec 28 00:16:47 CET 2013: 56: finished (19195ms, 500cycles)
Sat Dec 28 00:16:47 CET 2013: 56: No solution found.
Sat Dec 28 00:17:06 CET 2013: 57: finished (18393ms, 500cycles)
Sat Dec 28 00:17:06 CET 2013: 57: No solution found.
Sat Dec 28 00:17:24 CET 2013: 58: finished (18564ms, 500cycles)
Sat Dec 28 00:17:24 CET 2013: 58: No solution found.
Sat Dec 28 00:17:42 CET 2013: 59: finished (17565ms, 500cycles)
Sat Dec 28 00:17:42 CET 2013: 59: No solution found.
Sat Dec 28 00:18:00 CET 2013: 60: finished (18158ms, 500cycles)
Sat Dec 28 00:18:00 CET 2013: 60: No solution found.
Sat Dec 28 00:18:18 CET 2013: 61: finished (17469ms, 500cycles)
Sat Dec 28 00:18:18 CET 2013: 61: No solution found.
Sat Dec 28 00:18:21 CET 2013: 62: finished (3856ms, 100cycles)
Sat Dec 28 00:18:21 CET 2013: 62: Solution found.
Sat Dec 28 00:18:40 CET 2013: 63: finished (18423ms, 500cycles)
Sat Dec 28 00:18:40 CET 2013: 63: No solution found.
Sat Dec 28 00:18:59 CET 2013: 64: finished (18750ms, 500cycles)
Sat Dec 28 00:18:59 CET 2013: 64: No solution found.
Sat Dec 28 00:19:17 CET 2013: 65: finished (18718ms, 500cycles)
Sat Dec 28 00:19:17 CET 2013: 65: No solution found.
Sat Dec 28 00:19:35 CET 2013: 66: finished (17362ms, 500cycles)
Sat Dec 28 00:19:35 CET 2013: 66: No solution found.
Sat Dec 28 00:19:53 CET 2013: 67: finished (18318ms, 500cycles)
Sat Dec 28 00:19:53 CET 2013: 67: No solution found.
Sat Dec 28 00:20:11 CET 2013: 68: finished (17691ms, 500cycles)
Sat Dec 28 00:20:11 CET 2013: 68: No solution found.
Sat Dec 28 00:20:30 CET 2013: 69: finished (18916ms, 500cycles)
Sat Dec 28 00:20:30 CET 2013: 69: No solution found.
Sat Dec 28 00:20:47 CET 2013: 70: finished (17426ms, 500cycles)
Sat Dec 28 00:20:47 CET 2013: 70: No solution found.
Sat Dec 28 00:21:05 CET 2013: 71: finished (17994ms, 500cycles)
Sat Dec 28 00:21:05 CET 2013: 71: No solution found.
Sat Dec 28 00:21:23 CET 2013: 72: finished (17914ms, 500cycles)
Sat Dec 28 00:21:23 CET 2013: 72: No solution found.
Sat Dec 28 00:21:42 CET 2013: 73: finished (19091ms, 500cycles)
Sat Dec 28 00:21:42 CET 2013: 73: No solution found.
Sat Dec 28 00:22:00 CET 2013: 74: finished (17639ms, 500cycles)
Sat Dec 28 00:22:00 CET 2013: 74: No solution found.
Sat Dec 28 00:22:18 CET 2013: 75: finished (18109ms, 500cycles)
Sat Dec 28 00:22:18 CET 2013: 75: No solution found.
Sat Dec 28 00:22:36 CET 2013: 76: finished (18013ms, 500cycles)
Sat Dec 28 00:22:36 CET 2013: 76: No solution found.
Sat Dec 28 00:22:55 CET 2013: 77: finished (19112ms, 500cycles)
Sat Dec 28 00:22:55 CET 2013: 77: No solution found.
Sat Dec 28 00:23:12 CET 2013: 78: finished (17534ms, 500cycles)
Sat Dec 28 00:23:12 CET 2013: 78: No solution found.
Sat Dec 28 00:23:31 CET 2013: 79: finished (18530ms, 500cycles)
Sat Dec 28 00:23:31 CET 2013: 79: No solution found.
Sat Dec 28 00:23:50 CET 2013: 80: finished (18908ms, 500cycles)
Sat Dec 28 00:23:50 CET 2013: 80: No solution found.
Sat Dec 28 00:24:09 CET 2013: 81: finished (18666ms, 500cycles)
Sat Dec 28 00:24:09 CET 2013: 81: No solution found.
Sat Dec 28 00:24:27 CET 2013: 82: finished (18168ms, 500cycles)
Sat Dec 28 00:24:27 CET 2013: 82: No solution found.
Sat Dec 28 00:24:45 CET 2013: 83: finished (18823ms, 500cycles)
Sat Dec 28 00:24:45 CET 2013: 83: No solution found.
Sat Dec 28 00:25:04 CET 2013: 84: finished (18491ms, 500cycles)
Sat Dec 28 00:25:04 CET 2013: 84: No solution found.
Sat Dec 28 00:25:23 CET 2013: 85: finished (19232ms, 500cycles)
