Sun Dec 29 00:31:12 CET 2013: Problem Count: 200
Sun Dec 29 00:31:12 CET 2013: CandidatesCount: 250
Sun Dec 29 00:31:12 CET 2013: Max Cycles: 250
Sun Dec 29 00:31:38 CET 2013: 0: finished (26089ms, 250cycles)
Sun Dec 29 00:31:38 CET 2013: 0: No solution found.
Sun Dec 29 00:32:03 CET 2013: 1: finished (24584ms, 250cycles)
Sun Dec 29 00:32:03 CET 2013: 1: No solution found.
Sun Dec 29 00:32:27 CET 2013: 2: finished (24635ms, 250cycles)
Sun Dec 29 00:32:27 CET 2013: 2: No solution found.
Sun Dec 29 00:32:51 CET 2013: 3: finished (23865ms, 250cycles)
Sun Dec 29 00:32:51 CET 2013: 3: No solution found.
Sun Dec 29 00:33:13 CET 2013: 4: finished (21420ms, 250cycles)
Sun Dec 29 00:33:13 CET 2013: 4: No solution found.
Sun Dec 29 00:33:39 CET 2013: 5: finished (26092ms, 250cycles)
Sun Dec 29 00:33:39 CET 2013: 5: No solution found.
Sun Dec 29 00:33:51 CET 2013: 6: finished (12020ms, 129cycles)
Sun Dec 29 00:33:51 CET 2013: 6: Solution found.
Sun Dec 29 00:34:16 CET 2013: 7: finished (24924ms, 250cycles)
Sun Dec 29 00:34:16 CET 2013: 7: No solution found.
Sun Dec 29 00:34:38 CET 2013: 8: finished (22543ms, 250cycles)
Sun Dec 29 00:34:38 CET 2013: 8: No solution found.
Sun Dec 29 00:35:04 CET 2013: 9: finished (25422ms, 250cycles)
Sun Dec 29 00:35:04 CET 2013: 9: No solution found.
Sun Dec 29 00:35:07 CET 2013: 10: finished (2942ms, 31cycles)
Sun Dec 29 00:35:07 CET 2013: 10: Solution found.
Sun Dec 29 00:35:32 CET 2013: 11: finished (25388ms, 250cycles)
Sun Dec 29 00:35:32 CET 2013: 11: No solution found.
Sun Dec 29 00:35:57 CET 2013: 12: finished (24647ms, 250cycles)
Sun Dec 29 00:35:57 CET 2013: 12: No solution found.
Sun Dec 29 00:36:23 CET 2013: 13: finished (25930ms, 250cycles)
Sun Dec 29 00:36:23 CET 2013: 13: No solution found.
Sun Dec 29 00:36:45 CET 2013: 14: finished (22604ms, 250cycles)
Sun Dec 29 00:36:45 CET 2013: 14: No solution found.
Sun Dec 29 00:37:10 CET 2013: 15: finished (24548ms, 250cycles)
Sun Dec 29 00:37:10 CET 2013: 15: No solution found.
Sun Dec 29 00:37:35 CET 2013: 16: finished (25530ms, 250cycles)
Sun Dec 29 00:37:35 CET 2013: 16: No solution found.
Sun Dec 29 00:37:59 CET 2013: 17: finished (23809ms, 250cycles)
Sun Dec 29 00:37:59 CET 2013: 17: No solution found.
Sun Dec 29 00:38:22 CET 2013: 18: finished (22872ms, 250cycles)
Sun Dec 29 00:38:22 CET 2013: 18: No solution found.
Sun Dec 29 00:38:47 CET 2013: 19: finished (24988ms, 250cycles)
Sun Dec 29 00:38:47 CET 2013: 19: No solution found.
Sun Dec 29 00:38:50 CET 2013: 20: finished (3325ms, 36cycles)
Sun Dec 29 00:38:50 CET 2013: 20: Solution found.
Sun Dec 29 00:39:15 CET 2013: 21: finished (25027ms, 250cycles)
Sun Dec 29 00:39:15 CET 2013: 21: No solution found.
Sun Dec 29 00:39:41 CET 2013: 22: finished (25337ms, 250cycles)
Sun Dec 29 00:39:41 CET 2013: 22: No solution found.
Sun Dec 29 00:40:06 CET 2013: 23: finished (25286ms, 250cycles)
Sun Dec 29 00:40:06 CET 2013: 23: No solution found.
Sun Dec 29 00:40:30 CET 2013: 24: finished (24339ms, 250cycles)
Sun Dec 29 00:40:30 CET 2013: 24: No solution found.
Sun Dec 29 00:40:55 CET 2013: 25: finished (24998ms, 250cycles)
Sun Dec 29 00:40:55 CET 2013: 25: No solution found.
Sun Dec 29 00:41:18 CET 2013: 26: finished (22536ms, 250cycles)
Sun Dec 29 00:41:18 CET 2013: 26: No solution found.
