Tue May 20 15:54:13 CEST 2014: Problem Count: 50
Tue May 20 15:54:13 CEST 2014: CandidatesCount: 50
Tue May 20 15:54:13 CEST 2014: Max Cycles: 500
Tue May 20 15:54:14 CEST 2014: 0: finished (411ms, 500cycles)
Tue May 20 15:54:14 CEST 2014: 0: No solution found.
Tue May 20 15:54:14 CEST 2014: 1: finished (364ms, 500cycles)
Tue May 20 15:54:14 CEST 2014: 1: No solution found.
Tue May 20 15:54:14 CEST 2014: 2: finished (456ms, 500cycles)
Tue May 20 15:54:14 CEST 2014: 2: No solution found.
Tue May 20 15:54:15 CEST 2014: 3: finished (316ms, 500cycles)
Tue May 20 15:54:15 CEST 2014: 3: No solution found.
Tue May 20 15:54:15 CEST 2014: 4: finished (313ms, 500cycles)
Tue May 20 15:54:15 CEST 2014: 4: No solution found.
Tue May 20 15:54:15 CEST 2014: 5: finished (309ms, 500cycles)
Tue May 20 15:54:15 CEST 2014: 5: No solution found.
Tue May 20 15:54:16 CEST 2014: 6: finished (308ms, 500cycles)
Tue May 20 15:54:16 CEST 2014: 6: No solution found.
Tue May 20 15:54:16 CEST 2014: 7: finished (316ms, 500cycles)
Tue May 20 15:54:16 CEST 2014: 7: No solution found.
Tue May 20 15:54:16 CEST 2014: 8: finished (362ms, 500cycles)
Tue May 20 15:54:16 CEST 2014: 8: No solution found.
Tue May 20 15:54:17 CEST 2014: 9: finished (334ms, 500cycles)
Tue May 20 15:54:17 CEST 2014: 9: No solution found.
Tue May 20 15:54:17 CEST 2014: 10: finished (364ms, 500cycles)
Tue May 20 15:54:17 CEST 2014: 10: No solution found.
Tue May 20 15:54:17 CEST 2014: 11: finished (54ms, 75cycles)
Tue May 20 15:54:17 CEST 2014: 11: Solution found.
Tue May 20 15:54:17 CEST 2014: 12: finished (363ms, 500cycles)
Tue May 20 15:54:17 CEST 2014: 12: No solution found.
Tue May 20 15:54:18 CEST 2014: 13: finished (339ms, 500cycles)
Tue May 20 15:54:18 CEST 2014: 13: No solution found.
Tue May 20 15:54:19 CEST 2014: 14: finished (972ms, 500cycles)
Tue May 20 15:54:19 CEST 2014: 14: No solution found.
Tue May 20 15:54:20 CEST 2014: 15: finished (892ms, 500cycles)
Tue May 20 15:54:20 CEST 2014: 15: No solution found.
Tue May 20 15:54:20 CEST 2014: 16: finished (844ms, 500cycles)
Tue May 20 15:54:20 CEST 2014: 16: No solution found.
Tue May 20 15:54:21 CEST 2014: 17: finished (840ms, 500cycles)
Tue May 20 15:54:21 CEST 2014: 17: No solution found.
Tue May 20 15:54:22 CEST 2014: 18: finished (834ms, 500cycles)
Tue May 20 15:54:22 CEST 2014: 18: No solution found.
Tue May 20 15:54:23 CEST 2014: 19: finished (420ms, 500cycles)
Tue May 20 15:54:23 CEST 2014: 19: No solution found.
Tue May 20 15:54:23 CEST 2014: 20: finished (313ms, 500cycles)
Tue May 20 15:54:23 CEST 2014: 20: No solution found.
Tue May 20 15:54:23 CEST 2014: 21: finished (328ms, 500cycles)
Tue May 20 15:54:23 CEST 2014: 21: No solution found.
Tue May 20 15:54:23 CEST 2014: 22: finished (35ms, 47cycles)
Tue May 20 15:54:23 CEST 2014: 22: Solution found.
Tue May 20 15:54:24 CEST 2014: 23: finished (346ms, 500cycles)
Tue May 20 15:54:24 CEST 2014: 23: No solution found.
Tue May 20 15:54:24 CEST 2014: 24: finished (340ms, 500cycles)
Tue May 20 15:54:24 CEST 2014: 24: No solution found.
Tue May 20 15:54:24 CEST 2014: 25: finished (355ms, 500cycles)
Tue May 20 15:54:24 CEST 2014: 25: No solution found.
Tue May 20 15:54:25 CEST 2014: 26: finished (406ms, 500cycles)
Tue May 20 15:54:25 CEST 2014: 26: No solution found.
Tue May 20 15:54:25 CEST 2014: 27: finished (327ms, 500cycles)
Tue May 20 15:54:25 CEST 2014: 27: No solution found.
Tue May 20 15:54:25 CEST 2014: 28: finished (306ms, 500cycles)
Tue May 20 15:54:25 CEST 2014: 28: No solution found.
Tue May 20 15:54:26 CEST 2014: 29: finished (328ms, 500cycles)
Tue May 20 15:54:26 CEST 2014: 29: No solution found.
Tue May 20 15:54:26 CEST 2014: 30: finished (312ms, 500cycles)
Tue May 20 15:54:26 CEST 2014: 30: No solution found.
Tue May 20 15:54:26 CEST 2014: 31: finished (387ms, 500cycles)
Tue May 20 15:54:26 CEST 2014: 31: No solution found.
Tue May 20 15:54:27 CEST 2014: 32: finished (339ms, 500cycles)
Tue May 20 15:54:27 CEST 2014: 32: No solution found.
