Tue May 20 23:30:56 CEST 2014: Problem Count: 50
Tue May 20 23:30:56 CEST 2014: CandidatesCount: 50
Tue May 20 23:30:56 CEST 2014: Max Cycles: 500
Tue May 20 23:30:56 CEST 2014: 0: finished (269ms, 500cycles)
Tue May 20 23:30:56 CEST 2014: 0: No solution found.
Tue May 20 23:30:57 CEST 2014: 1: finished (743ms, 500cycles)
Tue May 20 23:30:57 CEST 2014: 1: No solution found.
Tue May 20 23:30:58 CEST 2014: 2: finished (663ms, 500cycles)
Tue May 20 23:30:58 CEST 2014: 2: No solution found.
Tue May 20 23:30:58 CEST 2014: 3: finished (667ms, 500cycles)
Tue May 20 23:30:58 CEST 2014: 3: No solution found.
Tue May 20 23:30:59 CEST 2014: 4: finished (819ms, 500cycles)
Tue May 20 23:30:59 CEST 2014: 4: No solution found.
Tue May 20 23:31:00 CEST 2014: 5: finished (802ms, 500cycles)
Tue May 20 23:31:00 CEST 2014: 5: No solution found.
Tue May 20 23:31:01 CEST 2014: 6: finished (447ms, 500cycles)
Tue May 20 23:31:01 CEST 2014: 6: No solution found.
Tue May 20 23:31:01 CEST 2014: 7: finished (871ms, 500cycles)
Tue May 20 23:31:01 CEST 2014: 7: No solution found.
Tue May 20 23:31:02 CEST 2014: 8: finished (726ms, 500cycles)
Tue May 20 23:31:02 CEST 2014: 8: No solution found.
Tue May 20 23:31:03 CEST 2014: 9: finished (422ms, 365cycles)
Tue May 20 23:31:03 CEST 2014: 9: Solution found.
Tue May 20 23:31:03 CEST 2014: 10: finished (341ms, 500cycles)
Tue May 20 23:31:03 CEST 2014: 10: No solution found.
Tue May 20 23:31:03 CEST 2014: 11: finished (295ms, 500cycles)
Tue May 20 23:31:03 CEST 2014: 11: No solution found.
Tue May 20 23:31:04 CEST 2014: 12: finished (762ms, 500cycles)
Tue May 20 23:31:04 CEST 2014: 12: No solution found.
Tue May 20 23:31:04 CEST 2014: 13: finished (238ms, 333cycles)
Tue May 20 23:31:04 CEST 2014: 13: Solution found.
Tue May 20 23:31:05 CEST 2014: 14: finished (586ms, 500cycles)
Tue May 20 23:31:05 CEST 2014: 14: No solution found.
Tue May 20 23:31:05 CEST 2014: 15: finished (301ms, 500cycles)
Tue May 20 23:31:05 CEST 2014: 15: No solution found.
Tue May 20 23:31:05 CEST 2014: 16: finished (348ms, 500cycles)
Tue May 20 23:31:05 CEST 2014: 16: No solution found.
