Wed May 21 11:27:18 CEST 2014: Problem Count: 50
Wed May 21 11:27:18 CEST 2014: CandidatesCount: 50
Wed May 21 11:27:18 CEST 2014: Max Cycles: 500
Wed May 21 11:27:19 CEST 2014: 0: finished (767ms, 500cycles)
Wed May 21 11:27:19 CEST 2014: 0: No solution found.
Wed May 21 11:27:20 CEST 2014: 1: finished (879ms, 500cycles)
Wed May 21 11:27:20 CEST 2014: 1: No solution found.
Wed May 21 11:27:20 CEST 2014: 2: finished (314ms, 500cycles)
Wed May 21 11:27:20 CEST 2014: 2: No solution found.
Wed May 21 11:27:21 CEST 2014: 3: finished (745ms, 500cycles)
Wed May 21 11:27:21 CEST 2014: 3: No solution found.
Wed May 21 11:27:21 CEST 2014: 4: finished (508ms, 500cycles)
Wed May 21 11:27:21 CEST 2014: 4: No solution found.
Wed May 21 11:27:22 CEST 2014: 5: finished (768ms, 500cycles)
Wed May 21 11:27:22 CEST 2014: 5: No solution found.
Wed May 21 11:27:23 CEST 2014: 6: finished (792ms, 500cycles)
Wed May 21 11:27:23 CEST 2014: 6: No solution found.
Wed May 21 11:27:24 CEST 2014: 7: finished (839ms, 500cycles)
Wed May 21 11:27:24 CEST 2014: 7: No solution found.
Wed May 21 11:27:24 CEST 2014: 8: finished (890ms, 500cycles)
Wed May 21 11:27:24 CEST 2014: 8: No solution found.
Wed May 21 11:27:25 CEST 2014: 9: finished (842ms, 500cycles)
Wed May 21 11:27:25 CEST 2014: 9: No solution found.
Wed May 21 11:27:26 CEST 2014: 10: finished (860ms, 500cycles)
Wed May 21 11:27:26 CEST 2014: 10: No solution found.
Wed May 21 11:27:27 CEST 2014: 11: finished (697ms, 500cycles)
Wed May 21 11:27:27 CEST 2014: 11: No solution found.
Wed May 21 11:27:28 CEST 2014: 12: finished (857ms, 500cycles)
Wed May 21 11:27:28 CEST 2014: 12: No solution found.
Wed May 21 11:27:29 CEST 2014: 13: finished (728ms, 500cycles)
Wed May 21 11:27:29 CEST 2014: 13: No solution found.
Wed May 21 11:27:29 CEST 2014: 14: finished (673ms, 500cycles)
Wed May 21 11:27:29 CEST 2014: 14: No solution found.
Wed May 21 11:27:30 CEST 2014: 15: finished (870ms, 500cycles)
Wed May 21 11:27:30 CEST 2014: 15: No solution found.
Wed May 21 11:27:31 CEST 2014: 16: finished (729ms, 500cycles)
Wed May 21 11:27:31 CEST 2014: 16: No solution found.
Wed May 21 11:27:32 CEST 2014: 17: finished (787ms, 500cycles)
Wed May 21 11:27:32 CEST 2014: 17: No solution found.
Wed May 21 11:27:33 CEST 2014: 18: finished (945ms, 500cycles)
Wed May 21 11:27:33 CEST 2014: 18: No solution found.
Wed May 21 11:27:33 CEST 2014: 19: finished (688ms, 500cycles)
Wed May 21 11:27:33 CEST 2014: 19: No solution found.
Wed May 21 11:27:34 CEST 2014: 20: finished (286ms, 500cycles)
Wed May 21 11:27:34 CEST 2014: 20: No solution found.
Wed May 21 11:27:34 CEST 2014: 21: finished (742ms, 500cycles)
Wed May 21 11:27:34 CEST 2014: 21: No solution found.
Wed May 21 11:27:35 CEST 2014: 22: finished (708ms, 500cycles)
Wed May 21 11:27:35 CEST 2014: 22: No solution found.
Wed May 21 11:27:36 CEST 2014: 23: finished (865ms, 500cycles)
Wed May 21 11:27:36 CEST 2014: 23: No solution found.
Wed May 21 11:27:37 CEST 2014: 24: finished (819ms, 500cycles)
Wed May 21 11:27:37 CEST 2014: 24: No solution found.
Wed May 21 11:27:37 CEST 2014: 25: finished (497ms, 500cycles)
Wed May 21 11:27:37 CEST 2014: 25: No solution found.
Wed May 21 11:27:38 CEST 2014: 26: finished (324ms, 500cycles)
Wed May 21 11:27:38 CEST 2014: 26: No solution found.
Wed May 21 11:27:38 CEST 2014: 27: finished (342ms, 500cycles)
Wed May 21 11:27:38 CEST 2014: 27: No solution found.
Wed May 21 11:27:38 CEST 2014: 28: finished (432ms, 500cycles)
Wed May 21 11:27:38 CEST 2014: 28: No solution found.
Wed May 21 11:27:39 CEST 2014: 29: finished (326ms, 500cycles)
Wed May 21 11:27:39 CEST 2014: 29: No solution found.
Wed May 21 11:27:39 CEST 2014: 30: finished (646ms, 500cycles)
Wed May 21 11:27:39 CEST 2014: 30: No solution found.
Wed May 21 11:27:40 CEST 2014: 31: finished (350ms, 500cycles)
Wed May 21 11:27:40 CEST 2014: 31: No solution found.
Wed May 21 11:27:40 CEST 2014: 32: finished (434ms, 500cycles)
Wed May 21 11:27:40 CEST 2014: 32: No solution found.
Wed May 21 11:27:41 CEST 2014: 33: finished (485ms, 500cycles)
Wed May 21 11:27:41 CEST 2014: 33: No solution found.
Wed May 21 11:27:41 CEST 2014: 34: finished (834ms, 500cycles)
Wed May 21 11:27:41 CEST 2014: 34: No solution found.
Wed May 21 11:27:42 CEST 2014: 35: finished (736ms, 500cycles)
Wed May 21 11:27:42 CEST 2014: 35: No solution found.
Wed May 21 11:27:43 CEST 2014: 36: finished (456ms, 500cycles)
Wed May 21 11:27:43 CEST 2014: 36: No solution found.
Wed May 21 11:27:43 CEST 2014: 37: finished (224ms, 116cycles)
Wed May 21 11:27:43 CEST 2014: 37: Solution found.
Wed May 21 11:27:44 CEST 2014: 38: finished (975ms, 500cycles)
Wed May 21 11:27:44 CEST 2014: 38: No solution found.
Wed May 21 11:27:45 CEST 2014: 39: finished (773ms, 500cycles)
Wed May 21 11:27:45 CEST 2014: 39: No solution found.
Wed May 21 11:27:45 CEST 2014: 40: finished (804ms, 500cycles)
Wed May 21 11:27:45 CEST 2014: 40: No solution found.
Wed May 21 11:27:46 CEST 2014: 41: finished (864ms, 500cycles)
Wed May 21 11:27:46 CEST 2014: 41: No solution found.
Wed May 21 11:27:47 CEST 2014: 42: finished (471ms, 282cycles)
Wed May 21 11:27:47 CEST 2014: 42: Solution found.
Wed May 21 11:27:47 CEST 2014: 43: finished (355ms, 500cycles)
