Mon May 19 23:27:14 CEST 2014: Problem Count: 50
Mon May 19 23:27:14 CEST 2014: CandidatesCount: 50
Mon May 19 23:27:14 CEST 2014: Max Cycles: 500
Mon May 19 23:27:16 CEST 2014: 0: finished (1198ms, 500cycles)
Mon May 19 23:27:16 CEST 2014: 0: No solution found.
Mon May 19 23:27:16 CEST 2014: 1: finished (384ms, 500cycles)
Mon May 19 23:27:16 CEST 2014: 1: No solution found.
Mon May 19 23:27:16 CEST 2014: 2: finished (347ms, 500cycles)
Mon May 19 23:27:16 CEST 2014: 2: No solution found.
Mon May 19 23:27:17 CEST 2014: 3: finished (333ms, 500cycles)
Mon May 19 23:27:17 CEST 2014: 3: No solution found.
Mon May 19 23:27:17 CEST 2014: 4: finished (379ms, 500cycles)
Mon May 19 23:27:17 CEST 2014: 4: No solution found.
Mon May 19 23:27:17 CEST 2014: 5: finished (374ms, 500cycles)
Mon May 19 23:27:17 CEST 2014: 5: No solution found.
Mon May 19 23:27:18 CEST 2014: 6: finished (412ms, 500cycles)
Mon May 19 23:27:18 CEST 2014: 6: No solution found.
Mon May 19 23:27:18 CEST 2014: 7: finished (326ms, 500cycles)
Mon May 19 23:27:18 CEST 2014: 7: No solution found.
Mon May 19 23:27:18 CEST 2014: 8: finished (351ms, 500cycles)
Mon May 19 23:27:18 CEST 2014: 8: No solution found.
Mon May 19 23:27:19 CEST 2014: 9: finished (336ms, 500cycles)
Mon May 19 23:27:19 CEST 2014: 9: No solution found.
Mon May 19 23:27:19 CEST 2014: 10: finished (319ms, 500cycles)
Mon May 19 23:27:19 CEST 2014: 10: No solution found.
Mon May 19 23:27:19 CEST 2014: 11: finished (328ms, 500cycles)
Mon May 19 23:27:19 CEST 2014: 11: No solution found.
Mon May 19 23:27:20 CEST 2014: 12: finished (370ms, 500cycles)
Mon May 19 23:27:20 CEST 2014: 12: No solution found.
Mon May 19 23:27:20 CEST 2014: 13: finished (362ms, 500cycles)
Mon May 19 23:27:20 CEST 2014: 13: No solution found.
Mon May 19 23:27:21 CEST 2014: 14: finished (364ms, 500cycles)
Mon May 19 23:27:21 CEST 2014: 14: No solution found.
Mon May 19 23:27:21 CEST 2014: 15: finished (319ms, 500cycles)
Mon May 19 23:27:21 CEST 2014: 15: No solution found.
Mon May 19 23:27:21 CEST 2014: 16: finished (382ms, 500cycles)
Mon May 19 23:27:21 CEST 2014: 16: No solution found.
Mon May 19 23:27:22 CEST 2014: 17: finished (378ms, 500cycles)
Mon May 19 23:27:22 CEST 2014: 17: No solution found.
Mon May 19 23:27:22 CEST 2014: 18: finished (313ms, 500cycles)
Mon May 19 23:27:22 CEST 2014: 18: No solution found.
Mon May 19 23:27:22 CEST 2014: 19: finished (327ms, 500cycles)
Mon May 19 23:27:22 CEST 2014: 19: No solution found.
Mon May 19 23:27:23 CEST 2014: 20: finished (376ms, 500cycles)
Mon May 19 23:27:23 CEST 2014: 20: No solution found.
Mon May 19 23:27:23 CEST 2014: 21: finished (373ms, 500cycles)
Mon May 19 23:27:23 CEST 2014: 21: No solution found.
Mon May 19 23:27:23 CEST 2014: 22: finished (354ms, 500cycles)
Mon May 19 23:27:23 CEST 2014: 22: No solution found.
Mon May 19 23:27:23 CEST 2014: 23: finished (42ms, 53cycles)
Mon May 19 23:27:23 CEST 2014: 23: Solution found.
Mon May 19 23:27:24 CEST 2014: 24: finished (363ms, 500cycles)
Mon May 19 23:27:24 CEST 2014: 24: No solution found.
Mon May 19 23:27:24 CEST 2014: 25: finished (365ms, 500cycles)
Mon May 19 23:27:24 CEST 2014: 25: No solution found.
Mon May 19 23:27:24 CEST 2014: 26: finished (321ms, 500cycles)
Mon May 19 23:27:24 CEST 2014: 26: No solution found.
Mon May 19 23:27:25 CEST 2014: 27: finished (343ms, 500cycles)
Mon May 19 23:27:25 CEST 2014: 27: No solution found.
Mon May 19 23:27:25 CEST 2014: 28: finished (339ms, 500cycles)
Mon May 19 23:27:25 CEST 2014: 28: No solution found.
