Tue May 20 16:46:10 CEST 2014: Problem Count: 100
Tue May 20 16:46:10 CEST 2014: CandidatesCount: 3
Tue May 20 16:46:10 CEST 2014: Max Cycles: 500
Tue May 20 16:46:11 CEST 2014: 0: finished (1451ms, 500cycles)
Tue May 20 16:46:11 CEST 2014: 0: No solution found.
Tue May 20 16:46:12 CEST 2014: 1: finished (665ms, 500cycles)
Tue May 20 16:46:12 CEST 2014: 1: No solution found.
Tue May 20 16:46:13 CEST 2014: 2: finished (588ms, 500cycles)
Tue May 20 16:46:13 CEST 2014: 2: No solution found.
Tue May 20 16:46:13 CEST 2014: 3: finished (662ms, 500cycles)
Tue May 20 16:46:13 CEST 2014: 3: No solution found.
Tue May 20 16:46:14 CEST 2014: 4: finished (561ms, 500cycles)
Tue May 20 16:46:14 CEST 2014: 4: No solution found.
Tue May 20 16:46:14 CEST 2014: 5: finished (456ms, 500cycles)
Tue May 20 16:46:14 CEST 2014: 5: No solution found.
Tue May 20 16:46:15 CEST 2014: 6: finished (383ms, 500cycles)
Tue May 20 16:46:15 CEST 2014: 6: No solution found.
Tue May 20 16:46:15 CEST 2014: 7: finished (303ms, 500cycles)
Tue May 20 16:46:15 CEST 2014: 7: No solution found.
Tue May 20 16:46:15 CEST 2014: 8: finished (295ms, 500cycles)
Tue May 20 16:46:15 CEST 2014: 8: No solution found.
Tue May 20 16:46:16 CEST 2014: 9: finished (379ms, 500cycles)
Tue May 20 16:46:16 CEST 2014: 9: No solution found.
Tue May 20 16:46:16 CEST 2014: 10: finished (352ms, 500cycles)
Tue May 20 16:46:16 CEST 2014: 10: No solution found.
Tue May 20 16:46:17 CEST 2014: 11: finished (455ms, 500cycles)
Tue May 20 16:46:17 CEST 2014: 11: No solution found.
Tue May 20 16:46:17 CEST 2014: 12: finished (321ms, 500cycles)
Tue May 20 16:46:17 CEST 2014: 12: No solution found.
Tue May 20 16:46:17 CEST 2014: 13: finished (320ms, 500cycles)
Tue May 20 16:46:17 CEST 2014: 13: No solution found.
Tue May 20 16:46:18 CEST 2014: 14: finished (376ms, 500cycles)
Tue May 20 16:46:18 CEST 2014: 14: No solution found.
Tue May 20 16:46:18 CEST 2014: 15: finished (367ms, 500cycles)
Tue May 20 16:46:18 CEST 2014: 15: No solution found.
Tue May 20 16:46:18 CEST 2014: 16: finished (266ms, 500cycles)
Tue May 20 16:46:18 CEST 2014: 16: No solution found.
Tue May 20 16:46:19 CEST 2014: 17: finished (323ms, 500cycles)
Tue May 20 16:46:19 CEST 2014: 17: No solution found.
Tue May 20 16:46:19 CEST 2014: 18: finished (321ms, 500cycles)
Tue May 20 16:46:19 CEST 2014: 18: No solution found.
Tue May 20 16:46:20 CEST 2014: 19: finished (1089ms, 500cycles)
Tue May 20 16:46:20 CEST 2014: 19: No solution found.
Tue May 20 16:46:20 CEST 2014: 20: finished (364ms, 500cycles)
Tue May 20 16:46:20 CEST 2014: 20: No solution found.
Tue May 20 16:46:21 CEST 2014: 21: finished (416ms, 500cycles)
Tue May 20 16:46:21 CEST 2014: 21: No solution found.
Tue May 20 16:46:21 CEST 2014: 22: finished (267ms, 500cycles)
Tue May 20 16:46:21 CEST 2014: 22: No solution found.
Tue May 20 16:46:22 CEST 2014: 23: finished (319ms, 500cycles)
Tue May 20 16:46:22 CEST 2014: 23: No solution found.
Tue May 20 16:46:22 CEST 2014: 24: finished (316ms, 500cycles)
Tue May 20 16:46:22 CEST 2014: 24: No solution found.
Tue May 20 16:46:22 CEST 2014: 25: finished (331ms, 500cycles)
Tue May 20 16:46:22 CEST 2014: 25: No solution found.
Tue May 20 16:46:23 CEST 2014: 26: finished (323ms, 500cycles)
Tue May 20 16:46:23 CEST 2014: 26: No solution found.
Tue May 20 16:46:23 CEST 2014: 27: finished (338ms, 500cycles)
Tue May 20 16:46:23 CEST 2014: 27: No solution found.
Tue May 20 16:46:23 CEST 2014: 28: finished (369ms, 500cycles)
Tue May 20 16:46:23 CEST 2014: 28: No solution found.
Tue May 20 16:46:24 CEST 2014: 29: finished (231ms, 500cycles)
Tue May 20 16:46:24 CEST 2014: 29: No solution found.
Tue May 20 16:46:24 CEST 2014: 30: finished (342ms, 500cycles)
Tue May 20 16:46:24 CEST 2014: 30: No solution found.
Tue May 20 16:46:24 CEST 2014: 31: finished (247ms, 500cycles)
Tue May 20 16:46:24 CEST 2014: 31: No solution found.
Tue May 20 16:46:24 CEST 2014: 32: finished (264ms, 500cycles)
Tue May 20 16:46:25 CEST 2014: 32: No solution found.
Tue May 20 16:46:25 CEST 2014: 33: finished (279ms, 500cycles)
Tue May 20 16:46:25 CEST 2014: 33: No solution found.
Tue May 20 16:46:25 CEST 2014: 34: finished (329ms, 500cycles)
Tue May 20 16:46:25 CEST 2014: 34: No solution found.
Tue May 20 16:46:25 CEST 2014: 35: finished (263ms, 500cycles)
Tue May 20 16:46:25 CEST 2014: 35: No solution found.
Tue May 20 16:46:26 CEST 2014: 36: finished (358ms, 500cycles)
Tue May 20 16:46:26 CEST 2014: 36: No solution found.
Tue May 20 16:46:26 CEST 2014: 37: finished (315ms, 500cycles)
Tue May 20 16:46:26 CEST 2014: 37: No solution found.
Tue May 20 16:46:26 CEST 2014: 38: finished (155ms, 232cycles)
Tue May 20 16:46:27 CEST 2014: 38: Solution found.
Tue May 20 16:46:27 CEST 2014: 39: finished (321ms, 500cycles)
Tue May 20 16:46:27 CEST 2014: 39: No solution found.
Tue May 20 16:46:27 CEST 2014: 40: finished (344ms, 500cycles)
Tue May 20 16:46:27 CEST 2014: 40: No solution found.
Tue May 20 16:46:28 CEST 2014: 41: finished (283ms, 500cycles)
Tue May 20 16:46:28 CEST 2014: 41: No solution found.
Tue May 20 16:46:28 CEST 2014: 42: finished (366ms, 500cycles)
Tue May 20 16:46:28 CEST 2014: 42: No solution found.
Tue May 20 16:46:28 CEST 2014: 43: finished (321ms, 500cycles)
Tue May 20 16:46:28 CEST 2014: 43: No solution found.
Tue May 20 16:46:29 CEST 2014: 44: finished (323ms, 500cycles)
Tue May 20 16:46:29 CEST 2014: 44: No solution found.
Tue May 20 16:46:29 CEST 2014: 45: finished (371ms, 500cycles)
Tue May 20 16:46:29 CEST 2014: 45: No solution found.
Tue May 20 16:46:29 CEST 2014: 46: finished (230ms, 500cycles)
Tue May 20 16:46:29 CEST 2014: 46: No solution found.
Tue May 20 16:46:30 CEST 2014: 47: finished (243ms, 500cycles)
Tue May 20 16:46:30 CEST 2014: 47: No solution found.
Tue May 20 16:46:30 CEST 2014: 48: finished (250ms, 500cycles)
Tue May 20 16:46:30 CEST 2014: 48: No solution found.
Tue May 20 16:46:30 CEST 2014: 49: finished (245ms, 500cycles)
Tue May 20 16:46:30 CEST 2014: 49: No solution found.
Tue May 20 16:46:30 CEST 2014: 50: finished (253ms, 500cycles)
Tue May 20 16:46:30 CEST 2014: 50: No solution found.
Tue May 20 16:46:30 CEST 2014: 51: finished (157ms, 250cycles)
Tue May 20 16:46:31 CEST 2014: 51: Solution found.
Tue May 20 16:46:31 CEST 2014: 52: finished (262ms, 500cycles)
Tue May 20 16:46:31 CEST 2014: 52: No solution found.
Tue May 20 16:46:31 CEST 2014: 53: finished (203ms, 362cycles)
Tue May 20 16:46:31 CEST 2014: 53: Solution found.
Tue May 20 16:46:31 CEST 2014: 54: finished (223ms, 500cycles)
Tue May 20 16:46:31 CEST 2014: 54: No solution found.
Tue May 20 16:46:32 CEST 2014: 55: finished (333ms, 500cycles)
Tue May 20 16:46:32 CEST 2014: 55: No solution found.
Tue May 20 16:46:32 CEST 2014: 56: finished (359ms, 500cycles)
Tue May 20 16:46:32 CEST 2014: 56: No solution found.
Tue May 20 16:46:32 CEST 2014: 57: finished (308ms, 500cycles)
Tue May 20 16:46:32 CEST 2014: 57: No solution found.
Tue May 20 16:46:33 CEST 2014: 58: finished (326ms, 500cycles)
Tue May 20 16:46:33 CEST 2014: 58: No solution found.
Tue May 20 16:46:33 CEST 2014: 59: finished (299ms, 500cycles)
Tue May 20 16:46:33 CEST 2014: 59: No solution found.
Tue May 20 16:46:33 CEST 2014: 60: finished (287ms, 500cycles)
Tue May 20 16:46:33 CEST 2014: 60: No solution found.
Tue May 20 16:46:34 CEST 2014: 61: finished (235ms, 500cycles)
Tue May 20 16:46:34 CEST 2014: 61: No solution found.
Tue May 20 16:46:34 CEST 2014: 62: finished (278ms, 500cycles)
Tue May 20 16:46:34 CEST 2014: 62: No solution found.
Tue May 20 16:46:34 CEST 2014: 63: finished (272ms, 500cycles)
Tue May 20 16:46:34 CEST 2014: 63: No solution found.
Tue May 20 16:46:34 CEST 2014: 64: finished (205ms, 500cycles)
Tue May 20 16:46:34 CEST 2014: 64: No solution found.
Tue May 20 16:46:35 CEST 2014: 65: finished (267ms, 500cycles)
Tue May 20 16:46:35 CEST 2014: 65: No solution found.
Tue May 20 16:46:35 CEST 2014: 66: finished (240ms, 500cycles)
Tue May 20 16:46:35 CEST 2014: 66: No solution found.
Tue May 20 16:46:35 CEST 2014: 67: finished (252ms, 500cycles)
Tue May 20 16:46:35 CEST 2014: 67: No solution found.
Tue May 20 16:46:36 CEST 2014: 68: finished (235ms, 500cycles)
Tue May 20 16:46:36 CEST 2014: 68: No solution found.
Tue May 20 16:46:36 CEST 2014: 69: finished (306ms, 500cycles)
Tue May 20 16:46:36 CEST 2014: 69: No solution found.
Tue May 20 16:46:36 CEST 2014: 70: finished (273ms, 500cycles)
Tue May 20 16:46:36 CEST 2014: 70: No solution found.
Tue May 20 16:46:36 CEST 2014: 71: finished (254ms, 500cycles)
Tue May 20 16:46:36 CEST 2014: 71: No solution found.
Tue May 20 16:46:37 CEST 2014: 72: finished (221ms, 500cycles)
Tue May 20 16:46:37 CEST 2014: 72: No solution found.
Tue May 20 16:46:37 CEST 2014: 73: finished (258ms, 394cycles)
Tue May 20 16:46:37 CEST 2014: 73: Solution found.
