Thu Jan 02 01:46:47 CET 2014: Problem Count: 50
Thu Jan 02 01:46:47 CET 2014: CandidatesCount: 100
Thu Jan 02 01:46:47 CET 2014: Max Cycles: 500
Thu Jan 02 01:46:48 CET 2014: 0: finished (1391ms, 500cycles)
Thu Jan 02 01:46:48 CET 2014: 0: No solution found.
Thu Jan 02 01:46:49 CET 2014: 1: finished (1094ms, 500cycles)
Thu Jan 02 01:46:49 CET 2014: 1: No solution found.
Thu Jan 02 01:46:50 CET 2014: 2: finished (997ms, 500cycles)
Thu Jan 02 01:46:50 CET 2014: 2: No solution found.
Thu Jan 02 01:46:51 CET 2014: 3: finished (990ms, 500cycles)
Thu Jan 02 01:46:51 CET 2014: 3: No solution found.
Thu Jan 02 01:46:52 CET 2014: 4: finished (952ms, 500cycles)
Thu Jan 02 01:46:52 CET 2014: 4: No solution found.
Thu Jan 02 01:46:53 CET 2014: 5: finished (969ms, 500cycles)
Thu Jan 02 01:46:53 CET 2014: 5: No solution found.
Thu Jan 02 01:46:55 CET 2014: 6: finished (1315ms, 500cycles)
Thu Jan 02 01:46:55 CET 2014: 6: No solution found.
Thu Jan 02 01:46:56 CET 2014: 7: finished (1378ms, 500cycles)
Thu Jan 02 01:46:56 CET 2014: 7: No solution found.
Thu Jan 02 01:46:58 CET 2014: 8: finished (1628ms, 500cycles)
Thu Jan 02 01:46:58 CET 2014: 8: No solution found.
Thu Jan 02 01:47:01 CET 2014: 9: finished (3323ms, 500cycles)
Thu Jan 02 01:47:01 CET 2014: 9: No solution found.
Thu Jan 02 01:47:02 CET 2014: 10: finished (1296ms, 500cycles)
Thu Jan 02 01:47:02 CET 2014: 10: No solution found.
Thu Jan 02 01:47:03 CET 2014: 11: finished (1066ms, 500cycles)
Thu Jan 02 01:47:03 CET 2014: 11: No solution found.
Thu Jan 02 01:47:04 CET 2014: 12: finished (981ms, 500cycles)
Thu Jan 02 01:47:04 CET 2014: 12: No solution found.
Thu Jan 02 01:47:05 CET 2014: 13: finished (1049ms, 500cycles)
Thu Jan 02 01:47:05 CET 2014: 13: No solution found.
Thu Jan 02 01:47:06 CET 2014: 14: finished (969ms, 500cycles)
Thu Jan 02 01:47:06 CET 2014: 14: No solution found.
Thu Jan 02 01:47:07 CET 2014: 15: finished (1127ms, 500cycles)
Thu Jan 02 01:47:07 CET 2014: 15: No solution found.
Thu Jan 02 01:47:09 CET 2014: 16: finished (1133ms, 500cycles)
Thu Jan 02 01:47:09 CET 2014: 16: No solution found.
