Sun Mar 23 12:19:41 CET 2014: Problem Count: 150
Sun Mar 23 12:19:41 CET 2014: CandidatesCount: 50
Sun Mar 23 12:19:41 CET 2014: Max Cycles: 500
Sun Mar 23 12:19:43 CET 2014: 0: finished (2033ms, 500cycles)
Sun Mar 23 12:19:43 CET 2014: 0: No solution found.
Sun Mar 23 12:19:45 CET 2014: 1: finished (2183ms, 500cycles)
Sun Mar 23 12:19:45 CET 2014: 1: No solution found.
Sun Mar 23 12:19:47 CET 2014: 2: finished (1913ms, 500cycles)
Sun Mar 23 12:19:47 CET 2014: 2: No solution found.
Sun Mar 23 12:19:49 CET 2014: 3: finished (2043ms, 500cycles)
Sun Mar 23 12:19:49 CET 2014: 3: No solution found.
Sun Mar 23 12:19:51 CET 2014: 4: finished (2070ms, 500cycles)
Sun Mar 23 12:19:51 CET 2014: 4: No solution found.
Sun Mar 23 12:19:53 CET 2014: 5: finished (2164ms, 500cycles)
Sun Mar 23 12:19:53 CET 2014: 5: No solution found.
Sun Mar 23 12:19:55 CET 2014: 6: finished (2107ms, 500cycles)
Sun Mar 23 12:19:55 CET 2014: 6: No solution found.
Sun Mar 23 12:19:57 CET 2014: 7: finished (1757ms, 500cycles)
Sun Mar 23 12:19:57 CET 2014: 7: No solution found.
Sun Mar 23 12:19:58 CET 2014: 8: finished (1647ms, 500cycles)
Sun Mar 23 12:19:58 CET 2014: 8: No solution found.
Sun Mar 23 12:20:01 CET 2014: 9: finished (2144ms, 500cycles)
Sun Mar 23 12:20:01 CET 2014: 9: No solution found.
Sun Mar 23 12:20:02 CET 2014: 10: finished (1813ms, 500cycles)
Sun Mar 23 12:20:02 CET 2014: 10: No solution found.
Sun Mar 23 12:20:04 CET 2014: 11: finished (1656ms, 500cycles)
Sun Mar 23 12:20:04 CET 2014: 11: No solution found.
Sun Mar 23 12:20:06 CET 2014: 12: finished (1779ms, 500cycles)
Sun Mar 23 12:20:06 CET 2014: 12: No solution found.
Sun Mar 23 12:20:08 CET 2014: 13: finished (2033ms, 500cycles)
Sun Mar 23 12:20:08 CET 2014: 13: No solution found.
Sun Mar 23 12:20:10 CET 2014: 14: finished (1986ms, 500cycles)
Sun Mar 23 12:20:10 CET 2014: 14: No solution found.
Sun Mar 23 12:20:12 CET 2014: 15: finished (2031ms, 500cycles)
Sun Mar 23 12:20:12 CET 2014: 15: No solution found.
Sun Mar 23 12:20:14 CET 2014: 16: finished (2074ms, 500cycles)
Sun Mar 23 12:20:14 CET 2014: 16: No solution found.
Sun Mar 23 12:20:16 CET 2014: 17: finished (2134ms, 500cycles)
Sun Mar 23 12:20:16 CET 2014: 17: No solution found.
Sun Mar 23 12:20:18 CET 2014: 18: finished (1944ms, 500cycles)
