Sun Jan 12 00:46:11 CET 2014: Problem Count: 30
Sun Jan 12 00:46:11 CET 2014: CandidatesCount: 50
Sun Jan 12 00:46:11 CET 2014: Max Cycles: 500
Sun Jan 12 00:46:12 CET 2014: 0: finished (442ms, 500cycles)
Sun Jan 12 00:46:12 CET 2014: 0: No solution found.
Sun Jan 12 00:46:12 CET 2014: 1: finished (365ms, 500cycles)
Sun Jan 12 00:46:12 CET 2014: 1: No solution found.
Sun Jan 12 00:46:12 CET 2014: 2: finished (309ms, 500cycles)
Sun Jan 12 00:46:12 CET 2014: 2: No solution found.
Sun Jan 12 00:46:13 CET 2014: 3: finished (326ms, 500cycles)
Sun Jan 12 00:46:13 CET 2014: 3: No solution found.
Sun Jan 12 00:46:13 CET 2014: 4: finished (257ms, 500cycles)
Sun Jan 12 00:46:13 CET 2014: 4: No solution found.
Sun Jan 12 00:46:13 CET 2014: 5: finished (385ms, 500cycles)
Sun Jan 12 00:46:13 CET 2014: 5: No solution found.
Sun Jan 12 00:46:14 CET 2014: 6: finished (337ms, 500cycles)
Sun Jan 12 00:46:14 CET 2014: 6: No solution found.
Sun Jan 12 00:46:14 CET 2014: 7: finished (249ms, 500cycles)
Sun Jan 12 00:46:14 CET 2014: 7: No solution found.
Sun Jan 12 00:46:14 CET 2014: 8: finished (419ms, 500cycles)
Sun Jan 12 00:46:14 CET 2014: 8: No solution found.
Sun Jan 12 00:46:15 CET 2014: 9: finished (376ms, 500cycles)
Sun Jan 12 00:46:15 CET 2014: 9: No solution found.
Sun Jan 12 00:46:15 CET 2014: 10: finished (289ms, 500cycles)
Sun Jan 12 00:46:15 CET 2014: 10: No solution found.
Sun Jan 12 00:46:15 CET 2014: 11: finished (295ms, 500cycles)
Sun Jan 12 00:46:15 CET 2014: 11: No solution found.
Sun Jan 12 00:46:16 CET 2014: 12: finished (344ms, 500cycles)
Sun Jan 12 00:46:16 CET 2014: 12: No solution found.
Sun Jan 12 00:46:16 CET 2014: 13: finished (391ms, 500cycles)
Sun Jan 12 00:46:16 CET 2014: 13: No solution found.
Sun Jan 12 00:46:16 CET 2014: 14: finished (279ms, 500cycles)
Sun Jan 12 00:46:16 CET 2014: 14: No solution found.
Sun Jan 12 00:46:17 CET 2014: 15: finished (397ms, 500cycles)
