Sat Jan 11 16:31:36 CET 2014: Problem Count: 10
Sat Jan 11 16:31:36 CET 2014: CandidatesCount: 40
Sat Jan 11 16:31:36 CET 2014: Max Cycles: 500
Sat Jan 11 16:31:36 CET 2014: 0: finished (52ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 0: No solution found.
Sat Jan 11 16:31:36 CET 2014: 1: finished (61ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 1: No solution found.
Sat Jan 11 16:31:36 CET 2014: 2: finished (55ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 2: No solution found.
Sat Jan 11 16:31:36 CET 2014: 3: finished (52ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 3: No solution found.
Sat Jan 11 16:31:36 CET 2014: 4: finished (2ms, 13cycles)
Sat Jan 11 16:31:36 CET 2014: 4: Solution found.
Sat Jan 11 16:31:36 CET 2014: 5: finished (57ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 5: No solution found.
Sat Jan 11 16:31:36 CET 2014: 6: finished (50ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 6: No solution found.
Sat Jan 11 16:31:36 CET 2014: 7: finished (5ms, 21cycles)
Sat Jan 11 16:31:36 CET 2014: 7: Solution found.
Sat Jan 11 16:31:36 CET 2014: 8: finished (4ms, 16cycles)
Sat Jan 11 16:31:36 CET 2014: 8: Solution found.
Sat Jan 11 16:31:36 CET 2014: 9: finished (54ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 9: No solution found.
Sat Jan 11 16:31:36 CET 2014: 10: finished (59ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 10: No solution found.
Sat Jan 11 16:31:36 CET 2014: 11: finished (61ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 11: No solution found.
Sat Jan 11 16:31:36 CET 2014: 12: finished (66ms, 500cycles)
Sat Jan 11 16:31:36 CET 2014: 12: No solution found.
Sat Jan 11 16:31:37 CET 2014: 13: finished (52ms, 500cycles)
Sat Jan 11 16:31:37 CET 2014: 13: No solution found.
Sat Jan 11 16:31:37 CET 2014: 14: finished (62ms, 500cycles)
Sat Jan 11 16:31:37 CET 2014: 14: No solution found.
Sat Jan 11 16:31:37 CET 2014: 15: finished (52ms, 500cycles)
Sat Jan 11 16:31:37 CET 2014: 15: No solution found.
Sat Jan 11 16:31:37 CET 2014: 16: finished (54ms, 500cycles)
Sat Jan 11 16:31:37 CET 2014: 16: No solution found.
Sat Jan 11 16:31:37 CET 2014: 17: finished (58ms, 500cycles)
Sat Jan 11 16:31:37 CET 2014: 17: No solution found.
Sat Jan 11 16:31:37 CET 2014: 18: finished (50ms, 500cycles)
