Tue May 06 11:50:11 CEST 2014: Problem Count: 10
Tue May 06 11:50:11 CEST 2014: CandidatesCount: 10
Tue May 06 11:50:11 CEST 2014: Max Cycles: 500
Tue May 06 11:50:11 CEST 2014: 0: finished (8ms, 500cycles)
Tue May 06 11:50:11 CEST 2014: 0: No solution found.
Tue May 06 11:50:11 CEST 2014: 1: finished (54ms, 500cycles)
Tue May 06 11:50:11 CEST 2014: 1: No solution found.
Tue May 06 11:50:11 CEST 2014: 2: finished (46ms, 500cycles)
Tue May 06 11:50:11 CEST 2014: 2: No solution found.
Tue May 06 11:50:11 CEST 2014: 3: finished (10ms, 500cycles)
Tue May 06 11:50:11 CEST 2014: 3: No solution found.
Tue May 06 11:50:11 CEST 2014: 4: finished (66ms, 500cycles)
Tue May 06 11:50:11 CEST 2014: 4: No solution found.
Tue May 06 11:50:11 CEST 2014: 5: finished (44ms, 500cycles)
Tue May 06 11:50:11 CEST 2014: 5: No solution found.
Tue May 06 11:50:11 CEST 2014: 6: finished (10ms, 500cycles)
Tue May 06 11:50:11 CEST 2014: 6: No solution found.
Tue May 06 11:50:11 CEST 2014: 7: finished (8ms, 500cycles)
Tue May 06 11:50:11 CEST 2014: 7: No solution found.
Tue May 06 11:50:11 CEST 2014: 8: finished (9ms, 500cycles)
Tue May 06 11:50:11 CEST 2014: 8: No solution found.
Tue May 06 11:50:12 CEST 2014: 9: finished (85ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 9: No solution found.
Tue May 06 11:50:12 CEST 2014: 10: finished (34ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 10: No solution found.
Tue May 06 11:50:12 CEST 2014: 11: finished (9ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 11: No solution found.
Tue May 06 11:50:12 CEST 2014: 12: finished (29ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 12: No solution found.
Tue May 06 11:50:12 CEST 2014: 13: finished (51ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 13: No solution found.
Tue May 06 11:50:12 CEST 2014: 14: finished (11ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 14: No solution found.
Tue May 06 11:50:12 CEST 2014: 15: finished (51ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 15: No solution found.
Tue May 06 11:50:12 CEST 2014: 16: finished (9ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 16: No solution found.
Tue May 06 11:50:12 CEST 2014: 17: finished (11ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 17: No solution found.
Tue May 06 11:50:12 CEST 2014: 18: finished (38ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 18: No solution found.
Tue May 06 11:50:12 CEST 2014: 19: finished (21ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 19: No solution found.
Tue May 06 11:50:12 CEST 2014: 20: finished (45ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 20: No solution found.
Tue May 06 11:50:12 CEST 2014: 21: finished (31ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 21: No solution found.
Tue May 06 11:50:12 CEST 2014: 22: finished (107ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 22: No solution found.
Tue May 06 11:50:12 CEST 2014: 23: finished (9ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 23: No solution found.
Tue May 06 11:50:12 CEST 2014: 24: finished (9ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 24: No solution found.
Tue May 06 11:50:12 CEST 2014: 25: finished (89ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 25: No solution found.
Tue May 06 11:50:12 CEST 2014: 26: finished (10ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 26: No solution found.
Tue May 06 11:50:12 CEST 2014: 27: finished (7ms, 103cycles)
Tue May 06 11:50:12 CEST 2014: 27: Solution found.
Tue May 06 11:50:12 CEST 2014: 28: finished (26ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 28: No solution found.
Tue May 06 11:50:12 CEST 2014: 29: finished (65ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 29: No solution found.
Tue May 06 11:50:12 CEST 2014: 30: finished (1ms, 18cycles)
Tue May 06 11:50:12 CEST 2014: 30: Solution found.
Tue May 06 11:50:12 CEST 2014: 31: finished (9ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 31: No solution found.
Tue May 06 11:50:12 CEST 2014: 32: finished (44ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 32: No solution found.
Tue May 06 11:50:12 CEST 2014: 33: finished (9ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 33: No solution found.
Tue May 06 11:50:12 CEST 2014: 34: finished (0ms, 8cycles)
Tue May 06 11:50:12 CEST 2014: 34: Solution found.
Tue May 06 11:50:12 CEST 2014: 35: finished (73ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 35: No solution found.
Tue May 06 11:50:12 CEST 2014: 36: finished (9ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 36: No solution found.
Tue May 06 11:50:12 CEST 2014: 37: finished (11ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 37: No solution found.
Tue May 06 11:50:12 CEST 2014: 38: finished (1ms, 11cycles)
Tue May 06 11:50:12 CEST 2014: 38: Solution found.
Tue May 06 11:50:12 CEST 2014: 39: finished (52ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 39: No solution found.
Tue May 06 11:50:12 CEST 2014: 40: finished (9ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 40: No solution found.
Tue May 06 11:50:12 CEST 2014: 41: finished (83ms, 500cycles)
Tue May 06 11:50:12 CEST 2014: 41: No solution found.
Tue May 06 11:50:13 CEST 2014: 42: finished (59ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 42: No solution found.
Tue May 06 11:50:13 CEST 2014: 43: finished (42ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 43: No solution found.
Tue May 06 11:50:13 CEST 2014: 44: finished (74ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 44: No solution found.
Tue May 06 11:50:13 CEST 2014: 45: finished (52ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 45: No solution found.
Tue May 06 11:50:13 CEST 2014: 46: finished (8ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 46: No solution found.
Tue May 06 11:50:13 CEST 2014: 47: finished (11ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 47: No solution found.
Tue May 06 11:50:13 CEST 2014: 48: finished (31ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 48: No solution found.
Tue May 06 11:50:13 CEST 2014: 49: finished (115ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 49: No solution found.
Tue May 06 11:50:13 CEST 2014: 50: finished (38ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 50: No solution found.
Tue May 06 11:50:13 CEST 2014: 51: finished (9ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 51: No solution found.
Tue May 06 11:50:13 CEST 2014: 52: finished (11ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 52: No solution found.
Tue May 06 11:50:13 CEST 2014: 53: finished (11ms, 376cycles)
Tue May 06 11:50:13 CEST 2014: 53: Solution found.
Tue May 06 11:50:13 CEST 2014: 54: finished (7ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 54: No solution found.
Tue May 06 11:50:13 CEST 2014: 55: finished (35ms, 255cycles)
Tue May 06 11:50:13 CEST 2014: 55: Solution found.
Tue May 06 11:50:13 CEST 2014: 56: finished (9ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 56: No solution found.
Tue May 06 11:50:13 CEST 2014: 57: finished (9ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 57: No solution found.
Tue May 06 11:50:13 CEST 2014: 58: finished (8ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 58: No solution found.
Tue May 06 11:50:13 CEST 2014: 59: finished (41ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 59: No solution found.
Tue May 06 11:50:13 CEST 2014: 60: finished (10ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 60: No solution found.
Tue May 06 11:50:13 CEST 2014: 61: finished (53ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 61: No solution found.
Tue May 06 11:50:13 CEST 2014: 62: finished (14ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 62: No solution found.
Tue May 06 11:50:13 CEST 2014: 63: finished (90ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 63: No solution found.
Tue May 06 11:50:13 CEST 2014: 64: finished (3ms, 69cycles)
Tue May 06 11:50:13 CEST 2014: 64: Solution found.
Tue May 06 11:50:13 CEST 2014: 65: finished (10ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 65: No solution found.
Tue May 06 11:50:13 CEST 2014: 66: finished (3ms, 121cycles)
Tue May 06 11:50:13 CEST 2014: 66: Solution found.
Tue May 06 11:50:13 CEST 2014: 67: finished (11ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 67: No solution found.
Tue May 06 11:50:13 CEST 2014: 68: finished (9ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 68: No solution found.
Tue May 06 11:50:13 CEST 2014: 69: finished (43ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 69: No solution found.
Tue May 06 11:50:13 CEST 2014: 70: finished (13ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 70: No solution found.
Tue May 06 11:50:13 CEST 2014: 71: finished (13ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 71: No solution found.
Tue May 06 11:50:13 CEST 2014: 72: finished (102ms, 500cycles)
Tue May 06 11:50:13 CEST 2014: 72: No solution found.
Tue May 06 11:50:13 CEST 2014: 73: finished (1ms, 35cycles)
