Sat May 17 22:32:25 CEST 2014: Problem Count: 10
Sat May 17 22:32:25 CEST 2014: CandidatesCount: 20
Sat May 17 22:32:25 CEST 2014: Max Cycles: 500
Sat May 17 22:32:25 CEST 2014: 0: finished (67ms, 500cycles)
Sat May 17 22:32:25 CEST 2014: 0: No solution found.
Sat May 17 22:32:25 CEST 2014: 1: finished (7ms, 35cycles)
Sat May 17 22:32:25 CEST 2014: 1: Solution found.
Sat May 17 22:32:25 CEST 2014: 2: finished (169ms, 500cycles)
Sat May 17 22:32:25 CEST 2014: 2: No solution found.
Sat May 17 22:32:25 CEST 2014: 3: finished (3ms, 44cycles)
Sat May 17 22:32:25 CEST 2014: 3: Solution found.
Sat May 17 22:32:26 CEST 2014: 4: finished (52ms, 185cycles)
Sat May 17 22:32:26 CEST 2014: 4: Solution found.
Sat May 17 22:32:26 CEST 2014: 5: finished (112ms, 500cycles)
Sat May 17 22:32:26 CEST 2014: 5: No solution found.
Sat May 17 22:32:26 CEST 2014: 6: finished (2ms, 24cycles)
Sat May 17 22:32:26 CEST 2014: 6: Solution found.
Sat May 17 22:32:26 CEST 2014: 7: finished (83ms, 500cycles)
Sat May 17 22:32:26 CEST 2014: 7: No solution found.
Sat May 17 22:32:26 CEST 2014: 8: finished (86ms, 500cycles)
Sat May 17 22:32:26 CEST 2014: 8: No solution found.
Sat May 17 22:32:26 CEST 2014: 9: finished (29ms, 500cycles)
Sat May 17 22:32:26 CEST 2014: 9: No solution found.
Sat May 17 22:32:26 CEST 2014: 10: finished (20ms, 500cycles)
Sat May 17 22:32:26 CEST 2014: 10: No solution found.
Sat May 17 22:32:26 CEST 2014: 11: finished (18ms, 500cycles)
Sat May 17 22:32:26 CEST 2014: 11: No solution found.
Sat May 17 22:32:26 CEST 2014: 12: finished (74ms, 500cycles)
Sat May 17 22:32:26 CEST 2014: 12: No solution found.
Sat May 17 22:32:26 CEST 2014: 13: finished (20ms, 500cycles)
Sat May 17 22:32:26 CEST 2014: 13: No solution found.
Sat May 17 22:32:26 CEST 2014: 14: finished (107ms, 500cycles)
