Sun May 18 21:55:52 CEST 2014: Problem Count: 10
Sun May 18 21:55:52 CEST 2014: CandidatesCount: 10
Sun May 18 21:55:52 CEST 2014: Max Cycles: 500
Sun May 18 21:55:52 CEST 2014: 0: finished (28ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 0: No solution found.
Sun May 18 21:55:52 CEST 2014: 1: finished (9ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 1: No solution found.
Sun May 18 21:55:52 CEST 2014: 2: finished (10ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 2: No solution found.
Sun May 18 21:55:52 CEST 2014: 3: finished (10ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 3: No solution found.
Sun May 18 21:55:52 CEST 2014: 4: finished (9ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 4: No solution found.
Sun May 18 21:55:52 CEST 2014: 5: finished (25ms, 292cycles)
Sun May 18 21:55:52 CEST 2014: 5: Solution found.
Sun May 18 21:55:52 CEST 2014: 6: finished (54ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 6: No solution found.
Sun May 18 21:55:52 CEST 2014: 7: finished (105ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 7: No solution found.
Sun May 18 21:55:52 CEST 2014: 8: finished (81ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 8: No solution found.
Sun May 18 21:55:52 CEST 2014: 9: finished (42ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 9: No solution found.
Sun May 18 21:55:52 CEST 2014: 10: finished (10ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 10: No solution found.
Sun May 18 21:55:52 CEST 2014: 11: finished (10ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 11: No solution found.
Sun May 18 21:55:52 CEST 2014: 12: finished (1ms, 13cycles)
Sun May 18 21:55:52 CEST 2014: 12: Solution found.
Sun May 18 21:55:52 CEST 2014: 13: finished (10ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 13: No solution found.
Sun May 18 21:55:52 CEST 2014: 14: finished (10ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 14: No solution found.
Sun May 18 21:55:52 CEST 2014: 15: finished (12ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 15: No solution found.
Sun May 18 21:55:52 CEST 2014: 16: finished (42ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 16: No solution found.
Sun May 18 21:55:52 CEST 2014: 17: finished (8ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 17: No solution found.
Sun May 18 21:55:52 CEST 2014: 18: finished (0ms, 8cycles)
Sun May 18 21:55:52 CEST 2014: 18: Solution found.
Sun May 18 21:55:52 CEST 2014: 19: finished (46ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 19: No solution found.
Sun May 18 21:55:52 CEST 2014: 20: finished (2ms, 113cycles)
Sun May 18 21:55:52 CEST 2014: 20: Solution found.
Sun May 18 21:55:52 CEST 2014: 21: finished (8ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 21: No solution found.
Sun May 18 21:55:52 CEST 2014: 22: finished (9ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 22: No solution found.
Sun May 18 21:55:52 CEST 2014: 23: finished (9ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 23: No solution found.
Sun May 18 21:55:52 CEST 2014: 24: finished (10ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 24: No solution found.
Sun May 18 21:55:52 CEST 2014: 25: finished (9ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 25: No solution found.
Sun May 18 21:55:52 CEST 2014: 26: finished (2ms, 16cycles)
Sun May 18 21:55:52 CEST 2014: 26: Solution found.
Sun May 18 21:55:52 CEST 2014: 27: finished (9ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 27: No solution found.
Sun May 18 21:55:52 CEST 2014: 28: finished (10ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 28: No solution found.
Sun May 18 21:55:52 CEST 2014: 29: finished (9ms, 500cycles)
Sun May 18 21:55:52 CEST 2014: 29: No solution found.
