Wed May 07 01:51:15 CEST 2014: Problem Count: 10
Wed May 07 01:51:15 CEST 2014: CandidatesCount: 50
Wed May 07 01:51:15 CEST 2014: Max Cycles: 500
Wed May 07 01:51:16 CEST 2014: 0: finished (72ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 0: No solution found.
Wed May 07 01:51:16 CEST 2014: 1: finished (85ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 1: No solution found.
Wed May 07 01:51:16 CEST 2014: 2: finished (67ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 2: No solution found.
Wed May 07 01:51:16 CEST 2014: 3: finished (1ms, 3cycles)
Wed May 07 01:51:16 CEST 2014: 3: Solution found.
Wed May 07 01:51:16 CEST 2014: 4: finished (71ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 4: No solution found.
Wed May 07 01:51:16 CEST 2014: 5: finished (2ms, 6cycles)
Wed May 07 01:51:16 CEST 2014: 5: Solution found.
Wed May 07 01:51:16 CEST 2014: 6: finished (66ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 6: No solution found.
Wed May 07 01:51:16 CEST 2014: 7: finished (68ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 7: No solution found.
Wed May 07 01:51:16 CEST 2014: 8: finished (66ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 8: No solution found.
Wed May 07 01:51:16 CEST 2014: 9: finished (3ms, 12cycles)
Wed May 07 01:51:16 CEST 2014: 9: Solution found.
Wed May 07 01:51:16 CEST 2014: 10: finished (1ms, 8cycles)
Wed May 07 01:51:16 CEST 2014: 10: Solution found.
Wed May 07 01:51:16 CEST 2014: 11: finished (3ms, 16cycles)
Wed May 07 01:51:16 CEST 2014: 11: Solution found.
Wed May 07 01:51:16 CEST 2014: 12: finished (69ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 12: No solution found.
Wed May 07 01:51:16 CEST 2014: 13: finished (4ms, 19cycles)
Wed May 07 01:51:16 CEST 2014: 13: Solution found.
Wed May 07 01:51:16 CEST 2014: 14: finished (72ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 14: No solution found.
Wed May 07 01:51:16 CEST 2014: 15: finished (1ms, 4cycles)
Wed May 07 01:51:16 CEST 2014: 15: Solution found.
Wed May 07 01:51:16 CEST 2014: 16: finished (67ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 16: No solution found.
Wed May 07 01:51:16 CEST 2014: 17: finished (69ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 17: No solution found.
Wed May 07 01:51:16 CEST 2014: 18: finished (77ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 18: No solution found.
Wed May 07 01:51:16 CEST 2014: 19: finished (68ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 19: No solution found.
Wed May 07 01:51:16 CEST 2014: 20: finished (69ms, 500cycles)
Wed May 07 01:51:16 CEST 2014: 20: No solution found.
Wed May 07 01:51:17 CEST 2014: 21: finished (71ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 21: No solution found.
Wed May 07 01:51:17 CEST 2014: 22: finished (2ms, 9cycles)
Wed May 07 01:51:17 CEST 2014: 22: Solution found.
Wed May 07 01:51:17 CEST 2014: 23: finished (3ms, 19cycles)
Wed May 07 01:51:17 CEST 2014: 23: Solution found.
Wed May 07 01:51:17 CEST 2014: 24: finished (66ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 24: No solution found.
Wed May 07 01:51:17 CEST 2014: 25: finished (68ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 25: No solution found.
Wed May 07 01:51:17 CEST 2014: 26: finished (67ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 26: No solution found.
Wed May 07 01:51:17 CEST 2014: 27: finished (69ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 27: No solution found.
Wed May 07 01:51:17 CEST 2014: 28: finished (63ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 28: No solution found.
Wed May 07 01:51:17 CEST 2014: 29: finished (66ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 29: No solution found.
Wed May 07 01:51:17 CEST 2014: 30: finished (67ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 30: No solution found.
Wed May 07 01:51:17 CEST 2014: 31: finished (67ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 31: No solution found.
Wed May 07 01:51:17 CEST 2014: 32: finished (4ms, 18cycles)
Wed May 07 01:51:17 CEST 2014: 32: Solution found.
Wed May 07 01:51:17 CEST 2014: 33: finished (65ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 33: No solution found.
Wed May 07 01:51:17 CEST 2014: 34: finished (67ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 34: No solution found.
Wed May 07 01:51:17 CEST 2014: 35: finished (68ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 35: No solution found.
Wed May 07 01:51:17 CEST 2014: 36: finished (67ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 36: No solution found.
Wed May 07 01:51:17 CEST 2014: 37: finished (67ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 37: No solution found.
Wed May 07 01:51:17 CEST 2014: 38: finished (74ms, 500cycles)
Wed May 07 01:51:17 CEST 2014: 38: No solution found.
Wed May 07 01:51:18 CEST 2014: 39: finished (74ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 39: No solution found.
Wed May 07 01:51:18 CEST 2014: 40: finished (63ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 40: No solution found.
Wed May 07 01:51:18 CEST 2014: 41: finished (67ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 41: No solution found.
Wed May 07 01:51:18 CEST 2014: 42: finished (68ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 42: No solution found.
Wed May 07 01:51:18 CEST 2014: 43: finished (70ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 43: No solution found.
Wed May 07 01:51:18 CEST 2014: 44: finished (63ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 44: No solution found.
Wed May 07 01:51:18 CEST 2014: 45: finished (66ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 45: No solution found.
Wed May 07 01:51:18 CEST 2014: 46: finished (2ms, 5cycles)
Wed May 07 01:51:18 CEST 2014: 46: Solution found.
Wed May 07 01:51:18 CEST 2014: 47: finished (69ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 47: No solution found.
Wed May 07 01:51:18 CEST 2014: 48: finished (63ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 48: No solution found.
Wed May 07 01:51:18 CEST 2014: 49: finished (68ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 49: No solution found.
Wed May 07 01:51:18 CEST 2014: 50: finished (68ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 50: No solution found.
Wed May 07 01:51:18 CEST 2014: 51: finished (67ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 51: No solution found.
Wed May 07 01:51:18 CEST 2014: 52: finished (66ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 52: No solution found.
Wed May 07 01:51:18 CEST 2014: 53: finished (66ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 53: No solution found.
Wed May 07 01:51:18 CEST 2014: 54: finished (69ms, 500cycles)
Wed May 07 01:51:18 CEST 2014: 54: No solution found.
Wed May 07 01:51:19 CEST 2014: 55: finished (65ms, 500cycles)
Wed May 07 01:51:19 CEST 2014: 55: No solution found.
Wed May 07 01:51:19 CEST 2014: 56: finished (66ms, 500cycles)
Wed May 07 01:51:19 CEST 2014: 56: No solution found.
Wed May 07 01:51:19 CEST 2014: 57: finished (17ms, 66cycles)
Wed May 07 01:51:19 CEST 2014: 57: Solution found.
Wed May 07 01:51:19 CEST 2014: 58: finished (65ms, 500cycles)
Wed May 07 01:51:19 CEST 2014: 58: No solution found.
Wed May 07 01:51:19 CEST 2014: 59: finished (68ms, 500cycles)
Wed May 07 01:51:19 CEST 2014: 59: No solution found.
Wed May 07 01:51:19 CEST 2014: 60: finished (69ms, 500cycles)
Wed May 07 01:51:19 CEST 2014: 60: No solution found.
Wed May 07 01:51:19 CEST 2014: 61: finished (65ms, 500cycles)
Wed May 07 01:51:19 CEST 2014: 61: No solution found.
Wed May 07 01:51:19 CEST 2014: 62: finished (66ms, 500cycles)
Wed May 07 01:51:19 CEST 2014: 62: No solution found.
Wed May 07 01:51:19 CEST 2014: 63: finished (64ms, 500cycles)
Wed May 07 01:51:19 CEST 2014: 63: No solution found.
Wed May 07 01:51:19 CEST 2014: 64: finished (68ms, 500cycles)
Wed May 07 01:51:19 CEST 2014: 64: No solution found.
