Thu Jan 02 01:49:06 CET 2014: Problem Count: 100
Thu Jan 02 01:49:06 CET 2014: CandidatesCount: 100
Thu Jan 02 01:49:06 CET 2014: Max Cycles: 500
Thu Jan 02 01:49:10 CET 2014: 0: finished (3978ms, 500cycles)
Thu Jan 02 01:49:10 CET 2014: 0: No solution found.
Thu Jan 02 01:49:14 CET 2014: 1: finished (4634ms, 500cycles)
Thu Jan 02 01:49:14 CET 2014: 1: No solution found.
Thu Jan 02 01:49:17 CET 2014: 2: finished (2578ms, 500cycles)
Thu Jan 02 01:49:17 CET 2014: 2: No solution found.
Thu Jan 02 01:49:19 CET 2014: 3: finished (2386ms, 500cycles)
Thu Jan 02 01:49:19 CET 2014: 3: No solution found.
Thu Jan 02 01:49:22 CET 2014: 4: finished (2462ms, 500cycles)
Thu Jan 02 01:49:22 CET 2014: 4: No solution found.
Thu Jan 02 01:49:26 CET 2014: 5: finished (4511ms, 500cycles)
Thu Jan 02 01:49:26 CET 2014: 5: No solution found.
Thu Jan 02 01:49:30 CET 2014: 6: finished (3977ms, 500cycles)
Thu Jan 02 01:49:30 CET 2014: 6: No solution found.
Thu Jan 02 01:49:33 CET 2014: 7: finished (2526ms, 500cycles)
Thu Jan 02 01:49:33 CET 2014: 7: No solution found.
Thu Jan 02 01:49:35 CET 2014: 8: finished (2372ms, 500cycles)
Thu Jan 02 01:49:35 CET 2014: 8: No solution found.
Thu Jan 02 01:49:37 CET 2014: 9: finished (2294ms, 500cycles)
Thu Jan 02 01:49:37 CET 2014: 9: No solution found.
Thu Jan 02 01:49:41 CET 2014: 10: finished (3825ms, 500cycles)
Thu Jan 02 01:49:41 CET 2014: 10: No solution found.
Thu Jan 02 01:49:46 CET 2014: 11: finished (5133ms, 500cycles)
Thu Jan 02 01:49:46 CET 2014: 11: No solution found.
Thu Jan 02 01:49:49 CET 2014: 12: finished (2117ms, 500cycles)
Thu Jan 02 01:49:49 CET 2014: 12: No solution found.
Thu Jan 02 01:49:51 CET 2014: 13: finished (2328ms, 500cycles)
Thu Jan 02 01:49:51 CET 2014: 13: No solution found.
Thu Jan 02 01:49:53 CET 2014: 14: finished (2434ms, 500cycles)
Thu Jan 02 01:49:53 CET 2014: 14: No solution found.
Thu Jan 02 01:49:57 CET 2014: 15: finished (3576ms, 500cycles)
Thu Jan 02 01:49:57 CET 2014: 15: No solution found.
Thu Jan 02 01:50:02 CET 2014: 16: finished (5214ms, 500cycles)
