Sun Mar 23 12:28:02 CET 2014: Problem Count: 250
Sun Mar 23 12:28:02 CET 2014: CandidatesCount: 50
Sun Mar 23 12:28:02 CET 2014: Max Cycles: 500
Sun Mar 23 12:28:08 CET 2014: 0: finished (5951ms, 500cycles)
Sun Mar 23 12:28:08 CET 2014: 0: No solution found.
Sun Mar 23 12:28:13 CET 2014: 1: finished (5799ms, 500cycles)
Sun Mar 23 12:28:13 CET 2014: 1: No solution found.
Sun Mar 23 12:28:19 CET 2014: 2: finished (5180ms, 500cycles)
Sun Mar 23 12:28:19 CET 2014: 2: No solution found.
Sun Mar 23 12:28:24 CET 2014: 3: finished (5656ms, 500cycles)
Sun Mar 23 12:28:24 CET 2014: 3: No solution found.
Sun Mar 23 12:28:30 CET 2014: 4: finished (5626ms, 500cycles)
Sun Mar 23 12:28:30 CET 2014: 4: No solution found.
Sun Mar 23 12:28:35 CET 2014: 5: finished (5407ms, 500cycles)
Sun Mar 23 12:28:35 CET 2014: 5: No solution found.
Sun Mar 23 12:28:41 CET 2014: 6: finished (5756ms, 500cycles)
Sun Mar 23 12:28:41 CET 2014: 6: No solution found.
Sun Mar 23 12:28:46 CET 2014: 7: finished (4972ms, 500cycles)
Sun Mar 23 12:28:46 CET 2014: 7: No solution found.
Sun Mar 23 12:28:51 CET 2014: 8: finished (4820ms, 500cycles)
Sun Mar 23 12:28:51 CET 2014: 8: No solution found.
Sun Mar 23 12:28:56 CET 2014: 9: finished (5685ms, 500cycles)
Sun Mar 23 12:28:56 CET 2014: 9: No solution found.
Sun Mar 23 12:29:02 CET 2014: 10: finished (5919ms, 500cycles)
Sun Mar 23 12:29:02 CET 2014: 10: No solution found.
Sun Mar 23 12:29:08 CET 2014: 11: finished (5897ms, 500cycles)
Sun Mar 23 12:29:08 CET 2014: 11: No solution found.
Sun Mar 23 12:29:09 CET 2014: 12: finished (554ms, 47cycles)
Sun Mar 23 12:29:09 CET 2014: 12: Solution found.
Sun Mar 23 12:29:14 CET 2014: 13: finished (5327ms, 500cycles)
Sun Mar 23 12:29:14 CET 2014: 13: No solution found.
Sun Mar 23 12:29:20 CET 2014: 14: finished (6043ms, 500cycles)
Sun Mar 23 12:29:20 CET 2014: 14: No solution found.
Sun Mar 23 12:29:25 CET 2014: 15: finished (5119ms, 500cycles)
Sun Mar 23 12:29:25 CET 2014: 15: No solution found.
Sun Mar 23 12:29:30 CET 2014: 16: finished (4980ms, 500cycles)
Sun Mar 23 12:29:30 CET 2014: 16: No solution found.
Sun Mar 23 12:29:36 CET 2014: 17: finished (5232ms, 500cycles)
Sun Mar 23 12:29:36 CET 2014: 17: No solution found.
Sun Mar 23 12:29:41 CET 2014: 18: finished (5665ms, 500cycles)
Sun Mar 23 12:29:41 CET 2014: 18: No solution found.
Sun Mar 23 12:29:47 CET 2014: 19: finished (5464ms, 500cycles)
Sun Mar 23 12:29:47 CET 2014: 19: No solution found.
Sun Mar 23 12:29:53 CET 2014: 20: finished (5999ms, 500cycles)
Sun Mar 23 12:29:53 CET 2014: 20: No solution found.
Sun Mar 23 12:29:58 CET 2014: 21: finished (5453ms, 500cycles)
Sun Mar 23 12:29:58 CET 2014: 21: No solution found.
Sun Mar 23 12:30:04 CET 2014: 22: finished (5619ms, 500cycles)
Sun Mar 23 12:30:04 CET 2014: 22: No solution found.
Sun Mar 23 12:30:09 CET 2014: 23: finished (5314ms, 500cycles)
Sun Mar 23 12:30:09 CET 2014: 23: No solution found.
Sun Mar 23 12:30:15 CET 2014: 24: finished (5563ms, 500cycles)
Sun Mar 23 12:30:15 CET 2014: 24: No solution found.
Sun Mar 23 12:30:20 CET 2014: 25: finished (5210ms, 500cycles)
Sun Mar 23 12:30:20 CET 2014: 25: No solution found.
Sun Mar 23 12:30:26 CET 2014: 26: finished (5914ms, 500cycles)
Sun Mar 23 12:30:26 CET 2014: 26: No solution found.
Sun Mar 23 12:30:28 CET 2014: 27: finished (2426ms, 206cycles)
Sun Mar 23 12:30:28 CET 2014: 27: Solution found.
Sun Mar 23 12:30:33 CET 2014: 28: finished (5243ms, 500cycles)
Sun Mar 23 12:30:33 CET 2014: 28: No solution found.
Sun Mar 23 12:30:39 CET 2014: 29: finished (5851ms, 500cycles)
Sun Mar 23 12:30:39 CET 2014: 29: No solution found.
Sun Mar 23 12:30:44 CET 2014: 30: finished (4949ms, 500cycles)
Sun Mar 23 12:30:44 CET 2014: 30: No solution found.
Sun Mar 23 12:30:50 CET 2014: 31: finished (5646ms, 500cycles)
Sun Mar 23 12:30:50 CET 2014: 31: No solution found.
Sun Mar 23 12:30:56 CET 2014: 32: finished (5919ms, 500cycles)
Sun Mar 23 12:30:56 CET 2014: 32: No solution found.
Sun Mar 23 12:31:02 CET 2014: 33: finished (5783ms, 500cycles)
Sun Mar 23 12:31:02 CET 2014: 33: No solution found.
Sun Mar 23 12:31:07 CET 2014: 34: finished (5086ms, 500cycles)
Sun Mar 23 12:31:07 CET 2014: 34: No solution found.
Sun Mar 23 12:31:12 CET 2014: 35: finished (5699ms, 500cycles)
Sun Mar 23 12:31:12 CET 2014: 35: No solution found.
Sun Mar 23 12:31:18 CET 2014: 36: finished (5912ms, 500cycles)
Sun Mar 23 12:31:18 CET 2014: 36: No solution found.
Sun Mar 23 12:31:24 CET 2014: 37: finished (5628ms, 500cycles)
Sun Mar 23 12:31:24 CET 2014: 37: No solution found.
Sun Mar 23 12:31:29 CET 2014: 38: finished (5068ms, 500cycles)
Sun Mar 23 12:31:29 CET 2014: 38: No solution found.
Sun Mar 23 12:31:34 CET 2014: 39: finished (5484ms, 500cycles)
Sun Mar 23 12:31:34 CET 2014: 39: No solution found.
Sun Mar 23 12:31:40 CET 2014: 40: finished (5481ms, 500cycles)
Sun Mar 23 12:31:40 CET 2014: 40: No solution found.
Sun Mar 23 12:31:46 CET 2014: 41: finished (5757ms, 500cycles)
Sun Mar 23 12:31:46 CET 2014: 41: No solution found.
Sun Mar 23 12:31:51 CET 2014: 42: finished (5539ms, 500cycles)
Sun Mar 23 12:31:51 CET 2014: 42: No solution found.
Sun Mar 23 12:31:57 CET 2014: 43: finished (6027ms, 500cycles)
Sun Mar 23 12:31:57 CET 2014: 43: No solution found.
Sun Mar 23 12:32:03 CET 2014: 44: finished (5411ms, 500cycles)
Sun Mar 23 12:32:03 CET 2014: 44: No solution found.
Sun Mar 23 12:32:09 CET 2014: 45: finished (5961ms, 500cycles)
Sun Mar 23 12:32:09 CET 2014: 45: No solution found.
Sun Mar 23 12:32:14 CET 2014: 46: finished (5778ms, 500cycles)
Sun Mar 23 12:32:14 CET 2014: 46: No solution found.
Sun Mar 23 12:32:20 CET 2014: 47: finished (5204ms, 500cycles)
Sun Mar 23 12:32:20 CET 2014: 47: No solution found.
Sun Mar 23 12:32:25 CET 2014: 48: finished (5554ms, 500cycles)
Sun Mar 23 12:32:25 CET 2014: 48: No solution found.
Sun Mar 23 12:32:31 CET 2014: 49: finished (5551ms, 500cycles)
Sun Mar 23 12:32:31 CET 2014: 49: No solution found.
Sun Mar 23 12:32:36 CET 2014: 50: finished (5682ms, 500cycles)
Sun Mar 23 12:32:36 CET 2014: 50: No solution found.
Sun Mar 23 12:32:42 CET 2014: 51: finished (5683ms, 500cycles)
Sun Mar 23 12:32:42 CET 2014: 51: No solution found.
Sun Mar 23 12:32:48 CET 2014: 52: finished (5666ms, 500cycles)
Sun Mar 23 12:32:48 CET 2014: 52: No solution found.
Sun Mar 23 12:32:53 CET 2014: 53: finished (4780ms, 500cycles)
Sun Mar 23 12:32:53 CET 2014: 53: No solution found.
Sun Mar 23 12:32:58 CET 2014: 54: finished (5884ms, 500cycles)
Sun Mar 23 12:32:58 CET 2014: 54: No solution found.
Sun Mar 23 12:33:04 CET 2014: 55: finished (5250ms, 500cycles)
Sun Mar 23 12:33:04 CET 2014: 55: No solution found.
Sun Mar 23 12:33:05 CET 2014: 56: finished (891ms, 77cycles)
Sun Mar 23 12:33:05 CET 2014: 56: Solution found.
Sun Mar 23 12:33:10 CET 2014: 57: finished (5380ms, 500cycles)
Sun Mar 23 12:33:10 CET 2014: 57: No solution found.
Sun Mar 23 12:33:16 CET 2014: 58: finished (5936ms, 500cycles)
Sun Mar 23 12:33:16 CET 2014: 58: No solution found.
Sun Mar 23 12:33:22 CET 2014: 59: finished (5762ms, 500cycles)
Sun Mar 23 12:33:22 CET 2014: 59: No solution found.
Sun Mar 23 12:33:27 CET 2014: 60: finished (5734ms, 500cycles)
Sun Mar 23 12:33:27 CET 2014: 60: No solution found.
Sun Mar 23 12:33:33 CET 2014: 61: finished (5716ms, 500cycles)
Sun Mar 23 12:33:33 CET 2014: 61: No solution found.
Sun Mar 23 12:33:38 CET 2014: 62: finished (5236ms, 500cycles)
Sun Mar 23 12:33:38 CET 2014: 62: No solution found.
Sun Mar 23 12:33:44 CET 2014: 63: finished (5740ms, 500cycles)
Sun Mar 23 12:33:44 CET 2014: 63: No solution found.
Sun Mar 23 12:33:45 CET 2014: 64: finished (792ms, 67cycles)
Sun Mar 23 12:33:45 CET 2014: 64: Solution found.
Sun Mar 23 12:33:51 CET 2014: 65: finished (5836ms, 500cycles)
Sun Mar 23 12:33:51 CET 2014: 65: No solution found.
Sun Mar 23 12:33:56 CET 2014: 66: finished (5481ms, 500cycles)
Sun Mar 23 12:33:56 CET 2014: 66: No solution found.
Sun Mar 23 12:34:01 CET 2014: 67: finished (5204ms, 500cycles)
Sun Mar 23 12:34:01 CET 2014: 67: No solution found.
Sun Mar 23 12:34:07 CET 2014: 68: finished (5817ms, 500cycles)
Sun Mar 23 12:34:07 CET 2014: 68: No solution found.
Sun Mar 23 12:34:13 CET 2014: 69: finished (5691ms, 500cycles)
Sun Mar 23 12:34:13 CET 2014: 69: No solution found.
Sun Mar 23 12:34:18 CET 2014: 70: finished (4890ms, 500cycles)
Sun Mar 23 12:34:18 CET 2014: 70: No solution found.
Sun Mar 23 12:34:24 CET 2014: 71: finished (6113ms, 500cycles)
Sun Mar 23 12:34:24 CET 2014: 71: No solution found.
Sun Mar 23 12:34:29 CET 2014: 72: finished (5080ms, 500cycles)
Sun Mar 23 12:34:29 CET 2014: 72: No solution found.
Sun Mar 23 12:34:34 CET 2014: 73: finished (4754ms, 500cycles)
Sun Mar 23 12:34:34 CET 2014: 73: No solution found.
Sun Mar 23 12:34:39 CET 2014: 74: finished (5065ms, 500cycles)
Sun Mar 23 12:34:39 CET 2014: 74: No solution found.
Sun Mar 23 12:34:45 CET 2014: 75: finished (5757ms, 500cycles)
Sun Mar 23 12:34:45 CET 2014: 75: No solution found.
Sun Mar 23 12:34:51 CET 2014: 76: finished (6039ms, 500cycles)
Sun Mar 23 12:34:51 CET 2014: 76: No solution found.
Sun Mar 23 12:34:57 CET 2014: 77: finished (6068ms, 500cycles)
Sun Mar 23 12:34:57 CET 2014: 77: No solution found.
Sun Mar 23 12:35:02 CET 2014: 78: finished (5831ms, 500cycles)
Sun Mar 23 12:35:02 CET 2014: 78: No solution found.
Sun Mar 23 12:35:08 CET 2014: 79: finished (5301ms, 500cycles)
Sun Mar 23 12:35:08 CET 2014: 79: No solution found.
Sun Mar 23 12:35:13 CET 2014: 80: finished (4736ms, 500cycles)
Sun Mar 23 12:35:13 CET 2014: 80: No solution found.
Sun Mar 23 12:35:19 CET 2014: 81: finished (6152ms, 500cycles)
Sun Mar 23 12:35:19 CET 2014: 81: No solution found.
Sun Mar 23 12:35:24 CET 2014: 82: finished (5571ms, 500cycles)
Sun Mar 23 12:35:24 CET 2014: 82: No solution found.
Sun Mar 23 12:35:30 CET 2014: 83: finished (5979ms, 500cycles)
Sun Mar 23 12:35:30 CET 2014: 83: No solution found.
Sun Mar 23 12:35:36 CET 2014: 84: finished (5850ms, 500cycles)
Sun Mar 23 12:35:36 CET 2014: 84: No solution found.
Sun Mar 23 12:35:42 CET 2014: 85: finished (5905ms, 500cycles)
Sun Mar 23 12:35:42 CET 2014: 85: No solution found.
Sun Mar 23 12:35:48 CET 2014: 86: finished (5735ms, 500cycles)
Sun Mar 23 12:35:48 CET 2014: 86: No solution found.
Sun Mar 23 12:35:54 CET 2014: 87: finished (6043ms, 500cycles)
Sun Mar 23 12:35:54 CET 2014: 87: No solution found.
Sun Mar 23 12:36:00 CET 2014: 88: finished (5893ms, 500cycles)
Sun Mar 23 12:36:00 CET 2014: 88: No solution found.
Sun Mar 23 12:36:04 CET 2014: 89: finished (4837ms, 500cycles)
Sun Mar 23 12:36:04 CET 2014: 89: No solution found.
Sun Mar 23 12:36:10 CET 2014: 90: finished (5508ms, 500cycles)
Sun Mar 23 12:36:10 CET 2014: 90: No solution found.
Sun Mar 23 12:36:15 CET 2014: 91: finished (5258ms, 500cycles)
Sun Mar 23 12:36:15 CET 2014: 91: No solution found.
Sun Mar 23 12:36:21 CET 2014: 92: finished (5899ms, 500cycles)
Sun Mar 23 12:36:21 CET 2014: 92: No solution found.
Sun Mar 23 12:36:26 CET 2014: 93: finished (4782ms, 500cycles)
Sun Mar 23 12:36:26 CET 2014: 93: No solution found.
Sun Mar 23 12:36:31 CET 2014: 94: finished (5256ms, 500cycles)
Sun Mar 23 12:36:31 CET 2014: 94: No solution found.
Sun Mar 23 12:36:32 CET 2014: 95: finished (596ms, 51cycles)
Sun Mar 23 12:36:32 CET 2014: 95: Solution found.
Sun Mar 23 12:36:37 CET 2014: 96: finished (5280ms, 500cycles)
Sun Mar 23 12:36:37 CET 2014: 96: No solution found.
Sun Mar 23 12:36:42 CET 2014: 97: finished (4727ms, 500cycles)
Sun Mar 23 12:36:42 CET 2014: 97: No solution found.
Sun Mar 23 12:36:47 CET 2014: 98: finished (4732ms, 500cycles)
Sun Mar 23 12:36:47 CET 2014: 98: No solution found.
Sun Mar 23 12:36:52 CET 2014: 99: finished (5660ms, 500cycles)
Sun Mar 23 12:36:52 CET 2014: 99: No solution found.
Sun Mar 23 12:36:52 CET 2014: Solution Found: 5
Sun Mar 23 12:36:52 CET 2014: Avg cycles: 89
Sun Mar 23 12:36:52 CET 2014: Max cycles: 206
Sun Mar 23 12:36:52 CET 2014: Min cycles: 47
Sun Mar 23 12:36:52 CET 2014: No solution found: 95
Sun Mar 23 12:36:52 CET 2014: logging finished. (runtime: 530566ms)
