Sat Mar 29 17:29:39 CET 2014: Problem Count: 200
Sat Mar 29 17:29:39 CET 2014: CandidatesCount: 100
Sat Mar 29 17:29:39 CET 2014: Max Cycles: 500
Sat Mar 29 17:29:46 CET 2014: 0: finished (7166ms, 500cycles)
Sat Mar 29 17:29:46 CET 2014: 0: No solution found.
Sat Mar 29 17:29:53 CET 2014: 1: finished (6983ms, 500cycles)
Sat Mar 29 17:29:53 CET 2014: 1: No solution found.
Sat Mar 29 17:29:53 CET 2014: 2: finished (417ms, 28cycles)
Sat Mar 29 17:29:53 CET 2014: 2: Solution found.
Sat Mar 29 17:30:01 CET 2014: 3: finished (7241ms, 500cycles)
Sat Mar 29 17:30:01 CET 2014: 3: No solution found.
Sat Mar 29 17:30:08 CET 2014: 4: finished (7118ms, 500cycles)
Sat Mar 29 17:30:08 CET 2014: 4: No solution found.
Sat Mar 29 17:30:15 CET 2014: 5: finished (7247ms, 500cycles)
Sat Mar 29 17:30:15 CET 2014: 5: No solution found.
Sat Mar 29 17:30:22 CET 2014: 6: finished (7084ms, 500cycles)
Sat Mar 29 17:30:22 CET 2014: 6: No solution found.
Sat Mar 29 17:30:29 CET 2014: 7: finished (7256ms, 500cycles)
Sat Mar 29 17:30:29 CET 2014: 7: No solution found.
Sat Mar 29 17:30:37 CET 2014: 8: finished (7297ms, 500cycles)
Sat Mar 29 17:30:37 CET 2014: 8: No solution found.
Sat Mar 29 17:30:37 CET 2014: 9: finished (876ms, 60cycles)
Sat Mar 29 17:30:37 CET 2014: 9: Solution found.
Sat Mar 29 17:30:45 CET 2014: 10: finished (7137ms, 500cycles)
Sat Mar 29 17:30:45 CET 2014: 10: No solution found.
Sat Mar 29 17:30:52 CET 2014: 11: finished (7235ms, 500cycles)
Sat Mar 29 17:30:52 CET 2014: 11: No solution found.
Sat Mar 29 17:30:53 CET 2014: 12: finished (1026ms, 71cycles)
Sat Mar 29 17:30:53 CET 2014: 12: Solution found.
Sat Mar 29 17:31:00 CET 2014: 13: finished (6861ms, 500cycles)
Sat Mar 29 17:31:00 CET 2014: 13: No solution found.
Sat Mar 29 17:31:08 CET 2014: 14: finished (8631ms, 441cycles)
Sat Mar 29 17:31:08 CET 2014: 14: Solution found.
Sat Mar 29 17:31:16 CET 2014: 15: finished (8096ms, 500cycles)
Sat Mar 29 17:31:16 CET 2014: 15: No solution found.
Sat Mar 29 17:31:24 CET 2014: 16: finished (7154ms, 500cycles)
Sat Mar 29 17:31:24 CET 2014: 16: No solution found.
Sat Mar 29 17:31:31 CET 2014: 17: finished (7105ms, 500cycles)
Sat Mar 29 17:31:31 CET 2014: 17: No solution found.
Sat Mar 29 17:31:38 CET 2014: 18: finished (7341ms, 500cycles)
Sat Mar 29 17:31:38 CET 2014: 18: No solution found.
Sat Mar 29 17:31:45 CET 2014: 19: finished (7205ms, 500cycles)
Sat Mar 29 17:31:45 CET 2014: 19: No solution found.
Sat Mar 29 17:31:52 CET 2014: 20: finished (6950ms, 500cycles)
Sat Mar 29 17:31:52 CET 2014: 20: No solution found.
Sat Mar 29 17:31:59 CET 2014: 21: finished (6953ms, 500cycles)
Sat Mar 29 17:31:59 CET 2014: 21: No solution found.
Sat Mar 29 17:32:05 CET 2014: 22: finished (6393ms, 500cycles)
Sat Mar 29 17:32:05 CET 2014: 22: No solution found.
Sat Mar 29 17:32:06 CET 2014: 23: finished (804ms, 58cycles)
Sat Mar 29 17:32:06 CET 2014: 23: Solution found.
Sat Mar 29 17:32:14 CET 2014: 24: finished (7348ms, 500cycles)
Sat Mar 29 17:32:14 CET 2014: 24: No solution found.
Sat Mar 29 17:32:21 CET 2014: 25: finished (7381ms, 500cycles)
Sat Mar 29 17:32:21 CET 2014: 25: No solution found.
Sat Mar 29 17:32:28 CET 2014: 26: finished (6643ms, 500cycles)
Sat Mar 29 17:32:28 CET 2014: 26: No solution found.
Sat Mar 29 17:32:35 CET 2014: 27: finished (7078ms, 500cycles)
Sat Mar 29 17:32:35 CET 2014: 27: No solution found.
Sat Mar 29 17:32:41 CET 2014: 28: finished (6691ms, 500cycles)
Sat Mar 29 17:32:41 CET 2014: 28: No solution found.
Sat Mar 29 17:32:48 CET 2014: 29: finished (6844ms, 500cycles)
Sat Mar 29 17:32:48 CET 2014: 29: No solution found.
Sat Mar 29 17:32:55 CET 2014: 30: finished (7175ms, 500cycles)
Sat Mar 29 17:32:55 CET 2014: 30: No solution found.
Sat Mar 29 17:33:03 CET 2014: 31: finished (7129ms, 500cycles)
Sat Mar 29 17:33:03 CET 2014: 31: No solution found.
Sat Mar 29 17:33:04 CET 2014: 32: finished (987ms, 70cycles)
Sat Mar 29 17:33:04 CET 2014: 32: Solution found.
Sat Mar 29 17:33:11 CET 2014: 33: finished (7071ms, 500cycles)
Sat Mar 29 17:33:11 CET 2014: 33: No solution found.
Sat Mar 29 17:33:17 CET 2014: 34: finished (6641ms, 500cycles)
Sat Mar 29 17:33:17 CET 2014: 34: No solution found.
Sat Mar 29 17:33:25 CET 2014: 35: finished (7481ms, 500cycles)
Sat Mar 29 17:33:25 CET 2014: 35: No solution found.
Sat Mar 29 17:33:31 CET 2014: 36: finished (6323ms, 500cycles)
Sat Mar 29 17:33:31 CET 2014: 36: No solution found.
Sat Mar 29 17:33:38 CET 2014: 37: finished (7152ms, 500cycles)
Sat Mar 29 17:33:38 CET 2014: 37: No solution found.
Sat Mar 29 17:33:45 CET 2014: 38: finished (6718ms, 500cycles)
Sat Mar 29 17:33:45 CET 2014: 38: No solution found.
Sat Mar 29 17:33:52 CET 2014: 39: finished (7082ms, 500cycles)
Sat Mar 29 17:33:52 CET 2014: 39: No solution found.
Sat Mar 29 17:33:59 CET 2014: 40: finished (6960ms, 500cycles)
Sat Mar 29 17:33:59 CET 2014: 40: No solution found.
Sat Mar 29 17:34:06 CET 2014: 41: finished (7341ms, 500cycles)
Sat Mar 29 17:34:06 CET 2014: 41: No solution found.
Sat Mar 29 17:34:13 CET 2014: 42: finished (6745ms, 500cycles)
Sat Mar 29 17:34:13 CET 2014: 42: No solution found.
Sat Mar 29 17:34:20 CET 2014: 43: finished (7190ms, 500cycles)
Sat Mar 29 17:34:20 CET 2014: 43: No solution found.
Sat Mar 29 17:34:27 CET 2014: 44: finished (7182ms, 500cycles)
Sat Mar 29 17:34:27 CET 2014: 44: No solution found.
Sat Mar 29 17:34:29 CET 2014: 45: finished (1728ms, 121cycles)
Sat Mar 29 17:34:29 CET 2014: 45: Solution found.
Sat Mar 29 17:34:36 CET 2014: 46: finished (7188ms, 500cycles)
Sat Mar 29 17:34:36 CET 2014: 46: No solution found.
Sat Mar 29 17:34:44 CET 2014: 47: finished (7309ms, 500cycles)
Sat Mar 29 17:34:44 CET 2014: 47: No solution found.
Sat Mar 29 17:34:50 CET 2014: 48: finished (6769ms, 500cycles)
Sat Mar 29 17:34:50 CET 2014: 48: No solution found.
Sat Mar 29 17:34:51 CET 2014: 49: finished (358ms, 24cycles)
Sat Mar 29 17:34:51 CET 2014: 49: Solution found.
Sat Mar 29 17:34:58 CET 2014: 50: finished (7025ms, 500cycles)
Sat Mar 29 17:34:58 CET 2014: 50: No solution found.
Sat Mar 29 17:35:05 CET 2014: 51: finished (7299ms, 500cycles)
Sat Mar 29 17:35:05 CET 2014: 51: No solution found.
Sat Mar 29 17:35:12 CET 2014: 52: finished (7097ms, 500cycles)
Sat Mar 29 17:35:12 CET 2014: 52: No solution found.
Sat Mar 29 17:35:19 CET 2014: 53: finished (6818ms, 500cycles)
Sat Mar 29 17:35:19 CET 2014: 53: No solution found.
Sat Mar 29 17:35:26 CET 2014: 54: finished (7109ms, 500cycles)
Sat Mar 29 17:35:26 CET 2014: 54: No solution found.
Sat Mar 29 17:35:33 CET 2014: 55: finished (7230ms, 500cycles)
Sat Mar 29 17:35:33 CET 2014: 55: No solution found.
Sat Mar 29 17:35:34 CET 2014: 56: finished (779ms, 56cycles)
Sat Mar 29 17:35:34 CET 2014: 56: Solution found.
Sat Mar 29 17:35:41 CET 2014: 57: finished (6570ms, 500cycles)
Sat Mar 29 17:35:41 CET 2014: 57: No solution found.
Sat Mar 29 17:35:47 CET 2014: 58: finished (6481ms, 500cycles)
Sat Mar 29 17:35:47 CET 2014: 58: No solution found.
Sat Mar 29 17:35:55 CET 2014: 59: finished (7316ms, 500cycles)
Sat Mar 29 17:35:55 CET 2014: 59: No solution found.
Sat Mar 29 17:36:02 CET 2014: 60: finished (7305ms, 500cycles)
Sat Mar 29 17:36:02 CET 2014: 60: No solution found.
Sat Mar 29 17:36:09 CET 2014: 61: finished (7342ms, 500cycles)
Sat Mar 29 17:36:09 CET 2014: 61: No solution found.
Sat Mar 29 17:36:16 CET 2014: 62: finished (6902ms, 500cycles)
Sat Mar 29 17:36:16 CET 2014: 62: No solution found.
Sat Mar 29 17:36:16 CET 2014: 63: finished (231ms, 16cycles)
Sat Mar 29 17:36:16 CET 2014: 63: Solution found.
Sat Mar 29 17:36:23 CET 2014: 64: finished (6925ms, 500cycles)
Sat Mar 29 17:36:23 CET 2014: 64: No solution found.
Sat Mar 29 17:36:30 CET 2014: 65: finished (7196ms, 500cycles)
Sat Mar 29 17:36:30 CET 2014: 65: No solution found.
Sat Mar 29 17:36:37 CET 2014: 66: finished (7046ms, 500cycles)
Sat Mar 29 17:36:37 CET 2014: 66: No solution found.
Sat Mar 29 17:36:44 CET 2014: 67: finished (6834ms, 500cycles)
Sat Mar 29 17:36:44 CET 2014: 67: No solution found.
Sat Mar 29 17:36:51 CET 2014: 68: finished (6553ms, 500cycles)
Sat Mar 29 17:36:51 CET 2014: 68: No solution found.
Sat Mar 29 17:36:58 CET 2014: 69: finished (6763ms, 500cycles)
Sat Mar 29 17:36:58 CET 2014: 69: No solution found.
Sat Mar 29 17:36:58 CET 2014: 70: finished (517ms, 35cycles)
Sat Mar 29 17:36:58 CET 2014: 70: Solution found.
Sat Mar 29 17:37:05 CET 2014: 71: finished (7038ms, 500cycles)
Sat Mar 29 17:37:05 CET 2014: 71: No solution found.
Sat Mar 29 17:37:12 CET 2014: 72: finished (7257ms, 500cycles)
Sat Mar 29 17:37:12 CET 2014: 72: No solution found.
Sat Mar 29 17:37:20 CET 2014: 73: finished (7295ms, 500cycles)
Sat Mar 29 17:37:20 CET 2014: 73: No solution found.
Sat Mar 29 17:37:27 CET 2014: 74: finished (6909ms, 500cycles)
Sat Mar 29 17:37:27 CET 2014: 74: No solution found.
Sat Mar 29 17:37:34 CET 2014: 75: finished (7137ms, 500cycles)
Sat Mar 29 17:37:34 CET 2014: 75: No solution found.
Sat Mar 29 17:37:41 CET 2014: 76: finished (7322ms, 500cycles)
Sat Mar 29 17:37:41 CET 2014: 76: No solution found.
Sat Mar 29 17:37:48 CET 2014: 77: finished (6989ms, 500cycles)
Sat Mar 29 17:37:48 CET 2014: 77: No solution found.
Sat Mar 29 17:37:55 CET 2014: 78: finished (7011ms, 500cycles)
Sat Mar 29 17:37:55 CET 2014: 78: No solution found.
Sat Mar 29 17:38:02 CET 2014: 79: finished (6892ms, 500cycles)
Sat Mar 29 17:38:02 CET 2014: 79: No solution found.
Sat Mar 29 17:38:09 CET 2014: 80: finished (7267ms, 500cycles)
Sat Mar 29 17:38:09 CET 2014: 80: No solution found.
Sat Mar 29 17:38:17 CET 2014: 81: finished (7220ms, 500cycles)
Sat Mar 29 17:38:17 CET 2014: 81: No solution found.
Sat Mar 29 17:38:23 CET 2014: 82: finished (6796ms, 500cycles)
Sat Mar 29 17:38:23 CET 2014: 82: No solution found.
Sat Mar 29 17:38:30 CET 2014: 83: finished (7002ms, 500cycles)
Sat Mar 29 17:38:30 CET 2014: 83: No solution found.
Sat Mar 29 17:38:32 CET 2014: 84: finished (1206ms, 87cycles)
Sat Mar 29 17:38:32 CET 2014: 84: Solution found.
Sat Mar 29 17:38:32 CET 2014: 85: finished (962ms, 66cycles)
Sat Mar 29 17:38:32 CET 2014: 85: Solution found.
Sat Mar 29 17:38:40 CET 2014: 86: finished (7384ms, 500cycles)
Sat Mar 29 17:38:40 CET 2014: 86: No solution found.
Sat Mar 29 17:38:41 CET 2014: 87: finished (875ms, 59cycles)
Sat Mar 29 17:38:41 CET 2014: 87: Solution found.
Sat Mar 29 17:38:47 CET 2014: 88: finished (6109ms, 420cycles)
Sat Mar 29 17:38:47 CET 2014: 88: Solution found.
Sat Mar 29 17:38:48 CET 2014: 89: finished (1084ms, 78cycles)
Sat Mar 29 17:38:48 CET 2014: 89: Solution found.
Sat Mar 29 17:38:55 CET 2014: 90: finished (7216ms, 500cycles)
Sat Mar 29 17:38:55 CET 2014: 90: No solution found.
Sat Mar 29 17:39:02 CET 2014: 91: finished (6930ms, 500cycles)
Sat Mar 29 17:39:02 CET 2014: 91: No solution found.
Sat Mar 29 17:39:09 CET 2014: 92: finished (7048ms, 500cycles)
Sat Mar 29 17:39:09 CET 2014: 92: No solution found.
Sat Mar 29 17:39:16 CET 2014: 93: finished (7151ms, 500cycles)
Sat Mar 29 17:39:16 CET 2014: 93: No solution found.
Sat Mar 29 17:39:24 CET 2014: 94: finished (7373ms, 500cycles)
Sat Mar 29 17:39:24 CET 2014: 94: No solution found.
Sat Mar 29 17:39:24 CET 2014: 95: finished (558ms, 39cycles)
Sat Mar 29 17:39:24 CET 2014: 95: Solution found.
Sat Mar 29 17:39:31 CET 2014: 96: finished (6904ms, 500cycles)
Sat Mar 29 17:39:31 CET 2014: 96: No solution found.
Sat Mar 29 17:39:32 CET 2014: 97: finished (842ms, 58cycles)
Sat Mar 29 17:39:32 CET 2014: 97: Solution found.
Sat Mar 29 17:39:39 CET 2014: 98: finished (6643ms, 500cycles)
Sat Mar 29 17:39:39 CET 2014: 98: No solution found.
Sat Mar 29 17:39:39 CET 2014: 99: finished (823ms, 59cycles)
Sat Mar 29 17:39:39 CET 2014: 99: Solution found.
