Mon May 19 22:40:09 CEST 2014: Problem Count: 10
Mon May 19 22:40:09 CEST 2014: CandidatesCount: 250
Mon May 19 22:40:09 CEST 2014: Max Cycles: 500
Mon May 19 22:40:09 CEST 2014: 0: finished (67ms, 10cycles)
Mon May 19 22:40:09 CEST 2014: 0: Solution found.
Mon May 19 22:40:26 CEST 2014: 1: finished (16400ms, 500cycles)
Mon May 19 22:40:26 CEST 2014: 1: No solution found.
Mon May 19 22:40:43 CEST 2014: 2: finished (17640ms, 500cycles)
Mon May 19 22:40:43 CEST 2014: 2: No solution found.
Mon May 19 22:41:02 CEST 2014: 3: finished (18634ms, 500cycles)
Mon May 19 22:41:02 CEST 2014: 3: No solution found.
Mon May 19 22:41:18 CEST 2014: 4: finished (15791ms, 500cycles)
Mon May 19 22:41:18 CEST 2014: 4: No solution found.
Mon May 19 22:41:31 CEST 2014: 5: finished (13494ms, 500cycles)
Mon May 19 22:41:31 CEST 2014: 5: No solution found.
Mon May 19 22:41:44 CEST 2014: 6: finished (12647ms, 500cycles)
Mon May 19 22:41:44 CEST 2014: 6: No solution found.
Mon May 19 22:41:59 CEST 2014: 7: finished (15652ms, 500cycles)
Mon May 19 22:41:59 CEST 2014: 7: No solution found.
Mon May 19 22:42:11 CEST 2014: 8: finished (11696ms, 500cycles)
Mon May 19 22:42:11 CEST 2014: 8: No solution found.
Mon May 19 22:42:25 CEST 2014: 9: finished (14037ms, 500cycles)
Mon May 19 22:42:25 CEST 2014: 9: No solution found.
Mon May 19 22:42:33 CEST 2014: 10: finished (7694ms, 500cycles)
Mon May 19 22:42:33 CEST 2014: 10: No solution found.
Mon May 19 22:42:46 CEST 2014: 11: finished (12963ms, 500cycles)
Mon May 19 22:42:46 CEST 2014: 11: No solution found.
Mon May 19 22:42:57 CEST 2014: 12: finished (10826ms, 500cycles)
Mon May 19 22:42:57 CEST 2014: 12: No solution found.
Mon May 19 22:43:11 CEST 2014: 13: finished (14415ms, 500cycles)
Mon May 19 22:43:11 CEST 2014: 13: No solution found.
Mon May 19 22:43:24 CEST 2014: 14: finished (12373ms, 500cycles)
Mon May 19 22:43:24 CEST 2014: 14: No solution found.
Mon May 19 22:43:36 CEST 2014: 15: finished (12471ms, 500cycles)
Mon May 19 22:43:36 CEST 2014: 15: No solution found.
Mon May 19 22:43:51 CEST 2014: 16: finished (15047ms, 500cycles)
Mon May 19 22:43:51 CEST 2014: 16: No solution found.
Mon May 19 22:44:05 CEST 2014: 17: finished (13971ms, 500cycles)
Mon May 19 22:44:05 CEST 2014: 17: No solution found.
Mon May 19 22:44:19 CEST 2014: 18: finished (13387ms, 500cycles)
Mon May 19 22:44:19 CEST 2014: 18: No solution found.
Mon May 19 22:44:30 CEST 2014: 19: finished (11456ms, 500cycles)
Mon May 19 22:44:30 CEST 2014: 19: No solution found.
Mon May 19 22:44:30 CEST 2014: 20: finished (48ms, 7cycles)
Mon May 19 22:44:30 CEST 2014: 20: Solution found.
Mon May 19 22:44:43 CEST 2014: 21: finished (12534ms, 500cycles)
Mon May 19 22:44:43 CEST 2014: 21: No solution found.
Mon May 19 22:44:56 CEST 2014: 22: finished (13065ms, 500cycles)
Mon May 19 22:44:56 CEST 2014: 22: No solution found.
Mon May 19 22:44:57 CEST 2014: 23: finished (1402ms, 73cycles)
Mon May 19 22:44:57 CEST 2014: 23: Solution found.
Mon May 19 22:45:17 CEST 2014: 24: finished (20260ms, 500cycles)
Mon May 19 22:45:18 CEST 2014: 24: No solution found.
Mon May 19 22:45:26 CEST 2014: 25: finished (8456ms, 500cycles)
Mon May 19 22:45:26 CEST 2014: 25: No solution found.
Mon May 19 22:45:39 CEST 2014: 26: finished (13481ms, 500cycles)
Mon May 19 22:45:39 CEST 2014: 26: No solution found.
Mon May 19 22:45:47 CEST 2014: 27: finished (7653ms, 500cycles)
Mon May 19 22:45:47 CEST 2014: 27: No solution found.
Mon May 19 22:45:57 CEST 2014: 28: finished (9865ms, 500cycles)
Mon May 19 22:45:57 CEST 2014: 28: No solution found.
Mon May 19 22:46:15 CEST 2014: 29: finished (18461ms, 500cycles)
Mon May 19 22:46:15 CEST 2014: 29: No solution found.
Mon May 19 22:46:27 CEST 2014: 30: finished (11511ms, 500cycles)
Mon May 19 22:46:27 CEST 2014: 30: No solution found.
Mon May 19 22:46:38 CEST 2014: 31: finished (11440ms, 500cycles)
Mon May 19 22:46:38 CEST 2014: 31: No solution found.
Mon May 19 22:46:47 CEST 2014: 32: finished (8919ms, 500cycles)
