Tue May 20 15:06:04 CEST 2014: Problem Count: 10
Tue May 20 15:06:04 CEST 2014: CandidatesCount: 200
Tue May 20 15:06:04 CEST 2014: Max Cycles: 500
Tue May 20 15:06:16 CEST 2014: 0: finished (12189ms, 500cycles)
Tue May 20 15:06:17 CEST 2014: 0: No solution found.
Tue May 20 15:06:36 CEST 2014: 1: finished (19420ms, 500cycles)
Tue May 20 15:06:36 CEST 2014: 1: No solution found.
Tue May 20 15:06:49 CEST 2014: 2: finished (13299ms, 500cycles)
Tue May 20 15:06:49 CEST 2014: 2: No solution found.
Tue May 20 15:06:56 CEST 2014: 3: finished (7147ms, 500cycles)
Tue May 20 15:06:56 CEST 2014: 3: No solution found.
Tue May 20 15:07:08 CEST 2014: 4: finished (11504ms, 500cycles)
Tue May 20 15:07:08 CEST 2014: 4: No solution found.
Tue May 20 15:07:24 CEST 2014: 5: finished (15864ms, 500cycles)
Tue May 20 15:07:24 CEST 2014: 5: No solution found.
Tue May 20 15:07:35 CEST 2014: 6: finished (10973ms, 500cycles)
Tue May 20 15:07:35 CEST 2014: 6: No solution found.
Tue May 20 15:07:46 CEST 2014: 7: finished (11621ms, 500cycles)
Tue May 20 15:07:46 CEST 2014: 7: No solution found.
Tue May 20 15:07:57 CEST 2014: 8: finished (10602ms, 500cycles)
Tue May 20 15:07:57 CEST 2014: 8: No solution found.
Tue May 20 15:08:07 CEST 2014: 9: finished (10361ms, 500cycles)
Tue May 20 15:08:07 CEST 2014: 9: No solution found.
Tue May 20 15:08:19 CEST 2014: 10: finished (11492ms, 500cycles)
Tue May 20 15:08:19 CEST 2014: 10: No solution found.
Tue May 20 15:08:32 CEST 2014: 11: finished (12625ms, 500cycles)
Tue May 20 15:08:32 CEST 2014: 11: No solution found.
Tue May 20 15:08:38 CEST 2014: 12: finished (6651ms, 500cycles)
Tue May 20 15:08:38 CEST 2014: 12: No solution found.
Tue May 20 15:08:50 CEST 2014: 13: finished (12158ms, 500cycles)
Tue May 20 15:08:50 CEST 2014: 13: No solution found.
Tue May 20 15:08:58 CEST 2014: 14: finished (7611ms, 500cycles)
Tue May 20 15:08:58 CEST 2014: 14: No solution found.
