Tue May 20 21:35:37 CEST 2014: Problem Count: 40
Tue May 20 21:35:37 CEST 2014: CandidatesCount: 6
Tue May 20 21:35:37 CEST 2014: Max Cycles: 500
Tue May 20 21:35:37 CEST 2014: 0: finished (105ms, 500cycles)
Tue May 20 21:35:37 CEST 2014: 0: No solution found.
Tue May 20 21:35:37 CEST 2014: 1: finished (92ms, 500cycles)
Tue May 20 21:35:37 CEST 2014: 1: No solution found.
Tue May 20 21:35:37 CEST 2014: 2: finished (99ms, 500cycles)
Tue May 20 21:35:37 CEST 2014: 2: No solution found.
Tue May 20 21:35:37 CEST 2014: 3: finished (71ms, 500cycles)
Tue May 20 21:35:37 CEST 2014: 3: No solution found.
Tue May 20 21:35:37 CEST 2014: 4: finished (104ms, 500cycles)
Tue May 20 21:35:37 CEST 2014: 4: No solution found.
Tue May 20 21:35:37 CEST 2014: 5: finished (128ms, 500cycles)
Tue May 20 21:35:37 CEST 2014: 5: No solution found.
Tue May 20 21:35:37 CEST 2014: 6: finished (117ms, 500cycles)
Tue May 20 21:35:37 CEST 2014: 6: No solution found.
Tue May 20 21:35:37 CEST 2014: 7: finished (108ms, 500cycles)
Tue May 20 21:35:37 CEST 2014: 7: No solution found.
Tue May 20 21:35:37 CEST 2014: 8: finished (26ms, 52cycles)
Tue May 20 21:35:38 CEST 2014: 8: Solution found.
Tue May 20 21:35:38 CEST 2014: 9: finished (70ms, 500cycles)
Tue May 20 21:35:38 CEST 2014: 9: No solution found.
Tue May 20 21:35:38 CEST 2014: 10: finished (86ms, 500cycles)
Tue May 20 21:35:38 CEST 2014: 10: No solution found.
Tue May 20 21:35:38 CEST 2014: 11: finished (107ms, 500cycles)
Tue May 20 21:35:38 CEST 2014: 11: No solution found.
Tue May 20 21:35:38 CEST 2014: 12: finished (82ms, 500cycles)
Tue May 20 21:35:38 CEST 2014: 12: No solution found.
Tue May 20 21:35:38 CEST 2014: 13: finished (83ms, 500cycles)
Tue May 20 21:35:38 CEST 2014: 13: No solution found.
Tue May 20 21:35:38 CEST 2014: 14: finished (104ms, 500cycles)
Tue May 20 21:35:38 CEST 2014: 14: No solution found.
Tue May 20 21:35:38 CEST 2014: 15: finished (40ms, 218cycles)
Tue May 20 21:35:38 CEST 2014: 15: Solution found.
Tue May 20 21:35:38 CEST 2014: 16: finished (88ms, 500cycles)
Tue May 20 21:35:38 CEST 2014: 16: No solution found.
Tue May 20 21:35:38 CEST 2014: 17: finished (118ms, 500cycles)
Tue May 20 21:35:38 CEST 2014: 17: No solution found.
Tue May 20 21:35:38 CEST 2014: 18: finished (16ms, 74cycles)
Tue May 20 21:35:39 CEST 2014: 18: Solution found.
Tue May 20 21:35:39 CEST 2014: 19: finished (99ms, 500cycles)
Tue May 20 21:35:39 CEST 2014: 19: No solution found.
