Tue May 20 17:51:57 CEST 2014: Problem Count: 20
Tue May 20 17:51:57 CEST 2014: CandidatesCount: 9
Tue May 20 17:51:57 CEST 2014: Max Cycles: 500
Tue May 20 17:51:57 CEST 2014: 0: finished (332ms, 500cycles)
Tue May 20 17:51:57 CEST 2014: 0: No solution found.
Tue May 20 17:51:57 CEST 2014: 1: finished (284ms, 500cycles)
Tue May 20 17:51:57 CEST 2014: 1: No solution found.
Tue May 20 17:51:58 CEST 2014: 2: finished (331ms, 500cycles)
Tue May 20 17:51:58 CEST 2014: 2: No solution found.
Tue May 20 17:51:58 CEST 2014: 3: finished (321ms, 500cycles)
Tue May 20 17:51:58 CEST 2014: 3: No solution found.
Tue May 20 17:51:58 CEST 2014: 4: finished (358ms, 500cycles)
Tue May 20 17:51:58 CEST 2014: 4: No solution found.
Tue May 20 17:51:59 CEST 2014: 5: finished (328ms, 500cycles)
Tue May 20 17:51:59 CEST 2014: 5: No solution found.
Tue May 20 17:51:59 CEST 2014: 6: finished (290ms, 500cycles)
Tue May 20 17:51:59 CEST 2014: 6: No solution found.
Tue May 20 17:51:59 CEST 2014: 7: finished (307ms, 500cycles)
Tue May 20 17:51:59 CEST 2014: 7: No solution found.
Tue May 20 17:52:00 CEST 2014: 8: finished (368ms, 500cycles)
Tue May 20 17:52:00 CEST 2014: 8: No solution found.
Tue May 20 17:52:00 CEST 2014: 9: finished (310ms, 500cycles)
Tue May 20 17:52:00 CEST 2014: 9: No solution found.
Tue May 20 17:52:00 CEST 2014: 10: finished (272ms, 500cycles)
Tue May 20 17:52:00 CEST 2014: 10: No solution found.
Tue May 20 17:52:01 CEST 2014: 11: finished (293ms, 500cycles)
Tue May 20 17:52:01 CEST 2014: 11: No solution found.
Tue May 20 17:52:01 CEST 2014: 12: finished (304ms, 500cycles)
Tue May 20 17:52:01 CEST 2014: 12: No solution found.
Tue May 20 17:52:01 CEST 2014: 13: finished (324ms, 500cycles)
Tue May 20 17:52:01 CEST 2014: 13: No solution found.
Tue May 20 17:52:02 CEST 2014: 14: finished (327ms, 500cycles)
Tue May 20 17:52:02 CEST 2014: 14: No solution found.
Tue May 20 17:52:02 CEST 2014: 15: finished (353ms, 500cycles)
Tue May 20 17:52:02 CEST 2014: 15: No solution found.
Tue May 20 17:52:02 CEST 2014: 16: finished (366ms, 500cycles)
Tue May 20 17:52:02 CEST 2014: 16: No solution found.
Tue May 20 17:52:03 CEST 2014: 17: finished (343ms, 500cycles)
Tue May 20 17:52:03 CEST 2014: 17: No solution found.
Tue May 20 17:52:03 CEST 2014: 18: finished (292ms, 500cycles)
Tue May 20 17:52:03 CEST 2014: 18: No solution found.
Tue May 20 17:52:03 CEST 2014: 19: finished (285ms, 500cycles)
Tue May 20 17:52:03 CEST 2014: 19: No solution found.
Tue May 20 17:52:04 CEST 2014: 20: finished (428ms, 500cycles)
Tue May 20 17:52:04 CEST 2014: 20: No solution found.
Tue May 20 17:52:04 CEST 2014: 21: finished (280ms, 500cycles)
Tue May 20 17:52:04 CEST 2014: 21: No solution found.
Tue May 20 17:52:05 CEST 2014: 22: finished (304ms, 500cycles)
Tue May 20 17:52:05 CEST 2014: 22: No solution found.
Tue May 20 17:52:05 CEST 2014: 23: finished (384ms, 500cycles)
Tue May 20 17:52:05 CEST 2014: 23: No solution found.
Tue May 20 17:52:05 CEST 2014: 24: finished (286ms, 500cycles)
Tue May 20 17:52:05 CEST 2014: 24: No solution found.
Tue May 20 17:52:06 CEST 2014: 25: finished (483ms, 500cycles)
Tue May 20 17:52:06 CEST 2014: 25: No solution found.
Tue May 20 17:52:06 CEST 2014: 26: finished (302ms, 500cycles)
Tue May 20 17:52:06 CEST 2014: 26: No solution found.
Tue May 20 17:52:06 CEST 2014: 27: finished (317ms, 500cycles)
Tue May 20 17:52:06 CEST 2014: 27: No solution found.
Tue May 20 17:52:07 CEST 2014: 28: finished (326ms, 500cycles)
Tue May 20 17:52:07 CEST 2014: 28: No solution found.
Tue May 20 17:52:07 CEST 2014: 29: finished (329ms, 500cycles)
Tue May 20 17:52:07 CEST 2014: 29: No solution found.
Tue May 20 17:52:07 CEST 2014: 30: finished (324ms, 500cycles)
Tue May 20 17:52:07 CEST 2014: 30: No solution found.
Tue May 20 17:52:08 CEST 2014: 31: finished (343ms, 500cycles)
