Mon May 19 20:19:45 CEST 2014: Problem Count: 15
Mon May 19 20:19:45 CEST 2014: CandidatesCount: 100
Mon May 19 20:19:45 CEST 2014: Max Cycles: 500
Mon May 19 20:19:53 CEST 2014: 0: finished (7369ms, 500cycles)
Mon May 19 20:19:53 CEST 2014: 0: No solution found.
Mon May 19 20:20:01 CEST 2014: 1: finished (8201ms, 500cycles)
Mon May 19 20:20:01 CEST 2014: 1: No solution found.
Mon May 19 20:20:09 CEST 2014: 2: finished (8200ms, 500cycles)
Mon May 19 20:20:09 CEST 2014: 2: No solution found.
Mon May 19 20:20:13 CEST 2014: 3: finished (3434ms, 500cycles)
Mon May 19 20:20:13 CEST 2014: 3: No solution found.
Mon May 19 20:20:17 CEST 2014: 4: finished (4795ms, 500cycles)
Mon May 19 20:20:18 CEST 2014: 4: No solution found.
Mon May 19 20:20:25 CEST 2014: 5: finished (7011ms, 500cycles)
Mon May 19 20:20:25 CEST 2014: 5: No solution found.
Mon May 19 20:20:31 CEST 2014: 6: finished (6300ms, 500cycles)
Mon May 19 20:20:31 CEST 2014: 6: No solution found.
Mon May 19 20:20:36 CEST 2014: 7: finished (5380ms, 500cycles)
Mon May 19 20:20:36 CEST 2014: 7: No solution found.
Mon May 19 20:20:40 CEST 2014: 8: finished (3286ms, 500cycles)
Mon May 19 20:20:40 CEST 2014: 8: No solution found.
Mon May 19 20:20:45 CEST 2014: 9: finished (5946ms, 500cycles)
Mon May 19 20:20:46 CEST 2014: 9: No solution found.
Mon May 19 20:20:53 CEST 2014: 10: finished (7272ms, 500cycles)
Mon May 19 20:20:53 CEST 2014: 10: No solution found.
Mon May 19 20:20:54 CEST 2014: 11: finished (1146ms, 500cycles)
Mon May 19 20:20:54 CEST 2014: 11: No solution found.
Mon May 19 20:21:00 CEST 2014: 12: finished (6071ms, 500cycles)
Mon May 19 20:21:00 CEST 2014: 12: No solution found.
Mon May 19 20:21:07 CEST 2014: 13: finished (7029ms, 500cycles)
Mon May 19 20:21:07 CEST 2014: 13: No solution found.
Mon May 19 20:21:09 CEST 2014: 14: finished (2079ms, 269cycles)
Mon May 19 20:21:09 CEST 2014: 14: Solution found.
Mon May 19 20:21:14 CEST 2014: 15: finished (4409ms, 500cycles)
Mon May 19 20:21:14 CEST 2014: 15: No solution found.
Mon May 19 20:21:17 CEST 2014: 16: finished (3500ms, 500cycles)
Mon May 19 20:21:17 CEST 2014: 16: No solution found.
Mon May 19 20:21:21 CEST 2014: 17: finished (3540ms, 500cycles)
Mon May 19 20:21:21 CEST 2014: 17: No solution found.
Mon May 19 20:21:27 CEST 2014: 18: finished (6347ms, 500cycles)
Mon May 19 20:21:27 CEST 2014: 18: No solution found.
Mon May 19 20:21:28 CEST 2014: 19: finished (1198ms, 120cycles)
Mon May 19 20:21:28 CEST 2014: 19: Solution found.
Mon May 19 20:21:37 CEST 2014: 20: finished (8174ms, 500cycles)
Mon May 19 20:21:37 CEST 2014: 20: No solution found.
Mon May 19 20:21:43 CEST 2014: 21: finished (6064ms, 500cycles)
Mon May 19 20:21:43 CEST 2014: 21: No solution found.
Mon May 19 20:21:47 CEST 2014: 22: finished (4654ms, 500cycles)
Mon May 19 20:21:47 CEST 2014: 22: No solution found.
Mon May 19 20:21:48 CEST 2014: 23: finished (227ms, 29cycles)
Mon May 19 20:21:48 CEST 2014: 23: Solution found.
Mon May 19 20:21:54 CEST 2014: 24: finished (6321ms, 500cycles)
Mon May 19 20:21:54 CEST 2014: 24: No solution found.
Mon May 19 20:21:59 CEST 2014: 25: finished (5352ms, 500cycles)
Mon May 19 20:21:59 CEST 2014: 25: No solution found.
Mon May 19 20:22:04 CEST 2014: 26: finished (4296ms, 500cycles)
Mon May 19 20:22:04 CEST 2014: 26: No solution found.
Mon May 19 20:22:10 CEST 2014: 27: finished (6509ms, 500cycles)
Mon May 19 20:22:10 CEST 2014: 27: No solution found.
Mon May 19 20:22:19 CEST 2014: 28: finished (8602ms, 500cycles)
Mon May 19 20:22:19 CEST 2014: 28: No solution found.
Mon May 19 20:22:26 CEST 2014: 29: finished (6778ms, 500cycles)
Mon May 19 20:22:26 CEST 2014: 29: No solution found.
Mon May 19 20:22:30 CEST 2014: 30: finished (4461ms, 500cycles)
Mon May 19 20:22:30 CEST 2014: 30: No solution found.
Mon May 19 20:22:33 CEST 2014: 31: finished (3129ms, 500cycles)
Mon May 19 20:22:33 CEST 2014: 31: No solution found.
Mon May 19 20:22:33 CEST 2014: 32: finished (31ms, 12cycles)
