Tue May 20 08:02:16 CEST 2014: Problem Count: 3
Tue May 20 08:02:16 CEST 2014: CandidatesCount: 100
Tue May 20 08:02:16 CEST 2014: Max Cycles: 500
Tue May 20 08:02:23 CEST 2014: 0: finished (6405ms, 500cycles)
Tue May 20 08:02:23 CEST 2014: 0: No solution found.
Tue May 20 08:02:27 CEST 2014: 1: finished (4536ms, 500cycles)
Tue May 20 08:02:27 CEST 2014: 1: No solution found.
Tue May 20 08:02:31 CEST 2014: 2: finished (3821ms, 500cycles)
Tue May 20 08:02:31 CEST 2014: 2: No solution found.
Tue May 20 08:02:36 CEST 2014: 3: finished (4282ms, 500cycles)
Tue May 20 08:02:36 CEST 2014: 3: No solution found.
Tue May 20 08:02:39 CEST 2014: 4: finished (3629ms, 500cycles)
Tue May 20 08:02:39 CEST 2014: 4: No solution found.
Tue May 20 08:02:44 CEST 2014: 5: finished (4500ms, 500cycles)
Tue May 20 08:02:44 CEST 2014: 5: No solution found.
Tue May 20 08:02:48 CEST 2014: 6: finished (3883ms, 500cycles)
Tue May 20 08:02:48 CEST 2014: 6: No solution found.
Tue May 20 08:02:51 CEST 2014: 7: finished (3547ms, 500cycles)
Tue May 20 08:02:51 CEST 2014: 7: No solution found.
Tue May 20 08:02:56 CEST 2014: 8: finished (4343ms, 500cycles)
Tue May 20 08:02:56 CEST 2014: 8: No solution found.
Tue May 20 08:03:00 CEST 2014: 9: finished (4762ms, 500cycles)
Tue May 20 08:03:00 CEST 2014: 9: No solution found.
Tue May 20 08:03:04 CEST 2014: 10: finished (3510ms, 500cycles)
Tue May 20 08:03:04 CEST 2014: 10: No solution found.
Tue May 20 08:03:08 CEST 2014: 11: finished (4357ms, 500cycles)
Tue May 20 08:03:08 CEST 2014: 11: No solution found.
Tue May 20 08:03:11 CEST 2014: 12: finished (2915ms, 500cycles)
Tue May 20 08:03:11 CEST 2014: 12: No solution found.
Tue May 20 08:03:15 CEST 2014: 13: finished (3501ms, 500cycles)
Tue May 20 08:03:15 CEST 2014: 13: No solution found.
Tue May 20 08:03:18 CEST 2014: 14: finished (3806ms, 500cycles)
Tue May 20 08:03:18 CEST 2014: 14: No solution found.
Tue May 20 08:03:22 CEST 2014: 15: finished (3331ms, 500cycles)
Tue May 20 08:03:22 CEST 2014: 15: No solution found.
Tue May 20 08:03:26 CEST 2014: 16: finished (4179ms, 500cycles)
Tue May 20 08:03:26 CEST 2014: 16: No solution found.
