Tue May 20 05:00:51 CEST 2014: Problem Count: 3
Tue May 20 05:00:51 CEST 2014: CandidatesCount: 50
Tue May 20 05:00:51 CEST 2014: Max Cycles: 500
Tue May 20 05:01:03 CEST 2014: 0: finished (11964ms, 500cycles)
Tue May 20 05:01:03 CEST 2014: 0: No solution found.
Tue May 20 05:01:08 CEST 2014: 1: finished (4615ms, 500cycles)
Tue May 20 05:01:08 CEST 2014: 1: No solution found.
Tue May 20 05:01:09 CEST 2014: 2: finished (1103ms, 166cycles)
Tue May 20 05:01:09 CEST 2014: 2: Solution found.
Tue May 20 05:01:12 CEST 2014: 3: finished (2650ms, 500cycles)
Tue May 20 05:01:12 CEST 2014: 3: No solution found.
Tue May 20 05:01:15 CEST 2014: 4: finished (3681ms, 500cycles)
Tue May 20 05:01:15 CEST 2014: 4: No solution found.
Tue May 20 05:01:19 CEST 2014: 5: finished (3825ms, 500cycles)
Tue May 20 05:01:19 CEST 2014: 5: No solution found.
Tue May 20 05:01:22 CEST 2014: 6: finished (2923ms, 500cycles)
Tue May 20 05:01:22 CEST 2014: 6: No solution found.
Tue May 20 05:01:25 CEST 2014: 7: finished (3169ms, 500cycles)
Tue May 20 05:01:25 CEST 2014: 7: No solution found.
Tue May 20 05:01:28 CEST 2014: 8: finished (2483ms, 500cycles)
Tue May 20 05:01:28 CEST 2014: 8: No solution found.
Tue May 20 05:01:32 CEST 2014: 9: finished (3889ms, 500cycles)
Tue May 20 05:01:32 CEST 2014: 9: No solution found.
Tue May 20 05:01:34 CEST 2014: 10: finished (2255ms, 500cycles)
Tue May 20 05:01:34 CEST 2014: 10: No solution found.
Tue May 20 05:01:36 CEST 2014: 11: finished (2328ms, 500cycles)
Tue May 20 05:01:36 CEST 2014: 11: No solution found.
Tue May 20 05:01:39 CEST 2014: 12: finished (3200ms, 500cycles)
Tue May 20 05:01:39 CEST 2014: 12: No solution found.
Tue May 20 05:01:42 CEST 2014: 13: finished (2925ms, 500cycles)
Tue May 20 05:01:42 CEST 2014: 13: No solution found.
Tue May 20 05:01:46 CEST 2014: 14: finished (3532ms, 500cycles)
Tue May 20 05:01:46 CEST 2014: 14: No solution found.
Tue May 20 05:01:49 CEST 2014: 15: finished (2670ms, 500cycles)
Tue May 20 05:01:49 CEST 2014: 15: No solution found.
Tue May 20 05:01:51 CEST 2014: 16: finished (2308ms, 500cycles)
Tue May 20 05:01:51 CEST 2014: 16: No solution found.
Tue May 20 05:01:53 CEST 2014: 17: finished (2489ms, 500cycles)
Tue May 20 05:01:53 CEST 2014: 17: No solution found.
Tue May 20 05:01:55 CEST 2014: 18: finished (1769ms, 500cycles)
Tue May 20 05:01:55 CEST 2014: 18: No solution found.
Tue May 20 05:01:57 CEST 2014: 19: finished (1633ms, 500cycles)
Tue May 20 05:01:57 CEST 2014: 19: No solution found.
Tue May 20 05:02:00 CEST 2014: 20: finished (2754ms, 500cycles)
Tue May 20 05:02:00 CEST 2014: 20: No solution found.
Tue May 20 05:02:02 CEST 2014: 21: finished (2594ms, 500cycles)
Tue May 20 05:02:02 CEST 2014: 21: No solution found.
Tue May 20 05:02:05 CEST 2014: 22: finished (3015ms, 500cycles)
Tue May 20 05:02:05 CEST 2014: 22: No solution found.
Tue May 20 05:02:08 CEST 2014: 23: finished (2505ms, 500cycles)
Tue May 20 05:02:08 CEST 2014: 23: No solution found.
Tue May 20 05:02:10 CEST 2014: 24: finished (2185ms, 500cycles)
Tue May 20 05:02:10 CEST 2014: 24: No solution found.
Tue May 20 05:02:12 CEST 2014: 25: finished (2342ms, 441cycles)
Tue May 20 05:02:12 CEST 2014: 25: Solution found.
Tue May 20 05:02:16 CEST 2014: 26: finished (3131ms, 500cycles)
Tue May 20 05:02:16 CEST 2014: 26: No solution found.
Tue May 20 05:02:19 CEST 2014: 27: finished (3296ms, 500cycles)
Tue May 20 05:02:19 CEST 2014: 27: No solution found.
Tue May 20 05:02:22 CEST 2014: 28: finished (2728ms, 500cycles)
Tue May 20 05:02:22 CEST 2014: 28: No solution found.
Tue May 20 05:02:24 CEST 2014: 29: finished (2671ms, 500cycles)
Tue May 20 05:02:24 CEST 2014: 29: No solution found.
Tue May 20 05:02:27 CEST 2014: 30: finished (2402ms, 500cycles)
Tue May 20 05:02:27 CEST 2014: 30: No solution found.
Tue May 20 05:02:30 CEST 2014: 31: finished (3067ms, 500cycles)
