Mon May 19 20:17:09 CEST 2014: Problem Count: 3
Mon May 19 20:17:09 CEST 2014: CandidatesCount: 100
Mon May 19 20:17:09 CEST 2014: Max Cycles: 500
Mon May 19 20:17:16 CEST 2014: 0: finished (6631ms, 500cycles)
Mon May 19 20:17:16 CEST 2014: 0: No solution found.
Mon May 19 20:17:25 CEST 2014: 1: finished (8542ms, 500cycles)
Mon May 19 20:17:25 CEST 2014: 1: No solution found.
Mon May 19 20:17:31 CEST 2014: 2: finished (6226ms, 500cycles)
Mon May 19 20:17:31 CEST 2014: 2: No solution found.
Mon May 19 20:17:40 CEST 2014: 3: finished (8983ms, 500cycles)
Mon May 19 20:17:40 CEST 2014: 3: No solution found.
Mon May 19 20:17:47 CEST 2014: 4: finished (6827ms, 500cycles)
Mon May 19 20:17:47 CEST 2014: 4: No solution found.
Mon May 19 20:17:51 CEST 2014: 5: finished (4810ms, 500cycles)
Mon May 19 20:17:51 CEST 2014: 5: No solution found.
Mon May 19 20:17:59 CEST 2014: 6: finished (7730ms, 500cycles)
Mon May 19 20:17:59 CEST 2014: 6: No solution found.
Mon May 19 20:18:07 CEST 2014: 7: finished (8198ms, 500cycles)
Mon May 19 20:18:07 CEST 2014: 7: No solution found.
Mon May 19 20:18:12 CEST 2014: 8: finished (4983ms, 500cycles)
Mon May 19 20:18:12 CEST 2014: 8: No solution found.
Mon May 19 20:18:20 CEST 2014: 9: finished (7834ms, 500cycles)
Mon May 19 20:18:20 CEST 2014: 9: No solution found.
Mon May 19 20:18:21 CEST 2014: 10: finished (689ms, 72cycles)
Mon May 19 20:18:21 CEST 2014: 10: Solution found.
Mon May 19 20:18:29 CEST 2014: 11: finished (7875ms, 500cycles)
Mon May 19 20:18:29 CEST 2014: 11: No solution found.
Mon May 19 20:18:35 CEST 2014: 12: finished (5806ms, 500cycles)
Mon May 19 20:18:35 CEST 2014: 12: No solution found.
Mon May 19 20:18:35 CEST 2014: 13: finished (440ms, 58cycles)
Mon May 19 20:18:35 CEST 2014: 13: Solution found.
Mon May 19 20:18:40 CEST 2014: 14: finished (4421ms, 500cycles)
Mon May 19 20:18:40 CEST 2014: 14: No solution found.
Mon May 19 20:18:45 CEST 2014: 15: finished (4919ms, 500cycles)
Mon May 19 20:18:45 CEST 2014: 15: No solution found.
Mon May 19 20:18:54 CEST 2014: 16: finished (9525ms, 500cycles)
Mon May 19 20:18:54 CEST 2014: 16: No solution found.
Mon May 19 20:18:59 CEST 2014: 17: finished (5027ms, 500cycles)
Mon May 19 20:18:59 CEST 2014: 17: No solution found.
Mon May 19 20:19:05 CEST 2014: 18: finished (5703ms, 500cycles)
Mon May 19 20:19:05 CEST 2014: 18: No solution found.
