Tue May 20 00:49:01 CEST 2014: Problem Count: 3
Tue May 20 00:49:01 CEST 2014: CandidatesCount: 100
Tue May 20 00:49:01 CEST 2014: Max Cycles: 500
Tue May 20 00:49:08 CEST 2014: 0: finished (6748ms, 500cycles)
Tue May 20 00:49:08 CEST 2014: 0: No solution found.
Tue May 20 00:49:17 CEST 2014: 1: finished (9051ms, 500cycles)
Tue May 20 00:49:17 CEST 2014: 1: No solution found.
Tue May 20 00:49:24 CEST 2014: 2: finished (6782ms, 500cycles)
Tue May 20 00:49:24 CEST 2014: 2: No solution found.
Tue May 20 00:49:33 CEST 2014: 3: finished (8741ms, 500cycles)
Tue May 20 00:49:33 CEST 2014: 3: No solution found.
Tue May 20 00:49:38 CEST 2014: 4: finished (5144ms, 500cycles)
Tue May 20 00:49:38 CEST 2014: 4: No solution found.
Tue May 20 00:49:52 CEST 2014: 5: finished (13925ms, 500cycles)
Tue May 20 00:49:52 CEST 2014: 5: No solution found.
Tue May 20 00:50:01 CEST 2014: 6: finished (8883ms, 500cycles)
Tue May 20 00:50:01 CEST 2014: 6: No solution found.
Tue May 20 00:50:09 CEST 2014: 7: finished (8437ms, 500cycles)
Tue May 20 00:50:09 CEST 2014: 7: No solution found.
Tue May 20 00:50:17 CEST 2014: 8: finished (8182ms, 500cycles)
Tue May 20 00:50:17 CEST 2014: 8: No solution found.
Tue May 20 00:50:19 CEST 2014: 9: finished (1298ms, 122cycles)
Tue May 20 00:50:19 CEST 2014: 9: Solution found.
Tue May 20 00:50:29 CEST 2014: 10: finished (10644ms, 500cycles)
Tue May 20 00:50:29 CEST 2014: 10: No solution found.
Tue May 20 00:50:42 CEST 2014: 11: finished (12894ms, 500cycles)
Tue May 20 00:50:42 CEST 2014: 11: No solution found.
Tue May 20 00:50:43 CEST 2014: 12: finished (346ms, 42cycles)
Tue May 20 00:50:43 CEST 2014: 12: Solution found.
Tue May 20 00:50:47 CEST 2014: 13: finished (4521ms, 417cycles)
Tue May 20 00:50:47 CEST 2014: 13: Solution found.
Tue May 20 00:50:53 CEST 2014: 14: finished (6020ms, 500cycles)
Tue May 20 00:50:53 CEST 2014: 14: No solution found.
Tue May 20 00:51:01 CEST 2014: 15: finished (7857ms, 500cycles)
Tue May 20 00:51:01 CEST 2014: 15: No solution found.
Tue May 20 00:51:12 CEST 2014: 16: finished (10608ms, 500cycles)
Tue May 20 00:51:12 CEST 2014: 16: No solution found.
Tue May 20 00:51:20 CEST 2014: 17: finished (8438ms, 500cycles)
Tue May 20 00:51:20 CEST 2014: 17: No solution found.
Tue May 20 00:51:21 CEST 2014: 18: finished (859ms, 92cycles)
Tue May 20 00:51:21 CEST 2014: 18: Solution found.
Tue May 20 00:51:34 CEST 2014: 19: finished (12604ms, 500cycles)
Tue May 20 00:51:34 CEST 2014: 19: No solution found.
Tue May 20 00:51:43 CEST 2014: 20: finished (9641ms, 500cycles)
Tue May 20 00:51:43 CEST 2014: 20: No solution found.
Tue May 20 00:51:50 CEST 2014: 21: finished (6867ms, 500cycles)
Tue May 20 00:51:50 CEST 2014: 21: No solution found.
Tue May 20 00:52:03 CEST 2014: 22: finished (12614ms, 500cycles)
Tue May 20 00:52:03 CEST 2014: 22: No solution found.
Tue May 20 00:52:08 CEST 2014: 23: finished (5531ms, 500cycles)
Tue May 20 00:52:08 CEST 2014: 23: No solution found.
Tue May 20 00:52:16 CEST 2014: 24: finished (7500ms, 500cycles)
Tue May 20 00:52:16 CEST 2014: 24: No solution found.
Tue May 20 00:52:23 CEST 2014: 25: finished (6770ms, 500cycles)
Tue May 20 00:52:23 CEST 2014: 25: No solution found.
Tue May 20 00:52:31 CEST 2014: 26: finished (8112ms, 500cycles)
Tue May 20 00:52:31 CEST 2014: 26: No solution found.
Tue May 20 00:52:35 CEST 2014: 27: finished (4037ms, 326cycles)
Tue May 20 00:52:35 CEST 2014: 27: Solution found.
Tue May 20 00:52:40 CEST 2014: 28: finished (5422ms, 500cycles)
Tue May 20 00:52:40 CEST 2014: 28: No solution found.
Tue May 20 00:52:45 CEST 2014: 29: finished (4827ms, 398cycles)
Tue May 20 00:52:45 CEST 2014: 29: Solution found.
Tue May 20 00:52:53 CEST 2014: 30: finished (8230ms, 500cycles)
Tue May 20 00:52:53 CEST 2014: 30: No solution found.
Tue May 20 00:52:59 CEST 2014: 31: finished (5577ms, 500cycles)
Tue May 20 00:52:59 CEST 2014: 31: No solution found.
Tue May 20 00:53:02 CEST 2014: 32: finished (3362ms, 266cycles)
Tue May 20 00:53:02 CEST 2014: 32: Solution found.
Tue May 20 00:53:11 CEST 2014: 33: finished (8138ms, 500cycles)
Tue May 20 00:53:11 CEST 2014: 33: No solution found.
Tue May 20 00:53:18 CEST 2014: 34: finished (7485ms, 500cycles)
Tue May 20 00:53:18 CEST 2014: 34: No solution found.
Tue May 20 00:53:24 CEST 2014: 35: finished (6115ms, 500cycles)
Tue May 20 00:53:24 CEST 2014: 35: No solution found.
Tue May 20 00:53:32 CEST 2014: 36: finished (7268ms, 500cycles)
Tue May 20 00:53:32 CEST 2014: 36: No solution found.
Tue May 20 00:53:42 CEST 2014: 37: finished (10288ms, 500cycles)
Tue May 20 00:53:42 CEST 2014: 37: No solution found.
Tue May 20 00:53:48 CEST 2014: 38: finished (6576ms, 500cycles)
Tue May 20 00:53:48 CEST 2014: 38: No solution found.
Tue May 20 00:53:55 CEST 2014: 39: finished (6908ms, 500cycles)
Tue May 20 00:53:55 CEST 2014: 39: No solution found.
Tue May 20 00:53:56 CEST 2014: 40: finished (1036ms, 91cycles)
Tue May 20 00:53:56 CEST 2014: 40: Solution found.
Tue May 20 00:54:06 CEST 2014: 41: finished (9502ms, 500cycles)
Tue May 20 00:54:06 CEST 2014: 41: No solution found.
Tue May 20 00:54:14 CEST 2014: 42: finished (7640ms, 500cycles)
Tue May 20 00:54:14 CEST 2014: 42: No solution found.
Tue May 20 00:54:22 CEST 2014: 43: finished (8370ms, 500cycles)
Tue May 20 00:54:22 CEST 2014: 43: No solution found.
Tue May 20 00:54:29 CEST 2014: 44: finished (7286ms, 500cycles)
Tue May 20 00:54:29 CEST 2014: 44: No solution found.
Tue May 20 00:54:35 CEST 2014: 45: finished (5635ms, 500cycles)
Tue May 20 00:54:35 CEST 2014: 45: No solution found.
Tue May 20 00:54:35 CEST 2014: 46: finished (471ms, 69cycles)
Tue May 20 00:54:35 CEST 2014: 46: Solution found.
Tue May 20 00:54:47 CEST 2014: 47: finished (11320ms, 500cycles)
Tue May 20 00:54:47 CEST 2014: 47: No solution found.
Tue May 20 00:54:58 CEST 2014: 48: finished (10779ms, 500cycles)
Tue May 20 00:54:58 CEST 2014: 48: No solution found.
Tue May 20 00:55:07 CEST 2014: 49: finished (9697ms, 500cycles)
Tue May 20 00:55:07 CEST 2014: 49: No solution found.
Tue May 20 00:55:08 CEST 2014: 50: finished (581ms, 60cycles)
Tue May 20 00:55:08 CEST 2014: 50: Solution found.
Tue May 20 00:55:15 CEST 2014: 51: finished (6734ms, 500cycles)
Tue May 20 00:55:15 CEST 2014: 51: No solution found.
Tue May 20 00:55:23 CEST 2014: 52: finished (7907ms, 500cycles)
Tue May 20 00:55:23 CEST 2014: 52: No solution found.
Tue May 20 00:55:30 CEST 2014: 53: finished (7289ms, 500cycles)
Tue May 20 00:55:30 CEST 2014: 53: No solution found.
Tue May 20 00:55:39 CEST 2014: 54: finished (8782ms, 500cycles)
Tue May 20 00:55:39 CEST 2014: 54: No solution found.
Tue May 20 00:55:41 CEST 2014: 55: finished (1981ms, 187cycles)
Tue May 20 00:55:41 CEST 2014: 55: Solution found.
Tue May 20 00:55:48 CEST 2014: 56: finished (7376ms, 500cycles)
Tue May 20 00:55:48 CEST 2014: 56: No solution found.
Tue May 20 00:55:55 CEST 2014: 57: finished (6690ms, 500cycles)
Tue May 20 00:55:55 CEST 2014: 57: No solution found.
Tue May 20 00:56:02 CEST 2014: 58: finished (7018ms, 500cycles)
Tue May 20 00:56:02 CEST 2014: 58: No solution found.
Tue May 20 00:56:13 CEST 2014: 59: finished (11289ms, 500cycles)
Tue May 20 00:56:13 CEST 2014: 59: No solution found.
Tue May 20 00:56:19 CEST 2014: 60: finished (5743ms, 500cycles)
Tue May 20 00:56:19 CEST 2014: 60: No solution found.
Tue May 20 00:56:27 CEST 2014: 61: finished (8085ms, 500cycles)
Tue May 20 00:56:27 CEST 2014: 61: No solution found.
Tue May 20 00:56:33 CEST 2014: 62: finished (6252ms, 500cycles)
Tue May 20 00:56:33 CEST 2014: 62: No solution found.
Tue May 20 00:56:42 CEST 2014: 63: finished (9123ms, 500cycles)
Tue May 20 00:56:42 CEST 2014: 63: No solution found.
Tue May 20 00:56:49 CEST 2014: 64: finished (7010ms, 500cycles)
Tue May 20 00:56:49 CEST 2014: 64: No solution found.
Tue May 20 00:56:57 CEST 2014: 65: finished (7431ms, 500cycles)
Tue May 20 00:56:57 CEST 2014: 65: No solution found.
Tue May 20 00:57:04 CEST 2014: 66: finished (7328ms, 500cycles)
Tue May 20 00:57:04 CEST 2014: 66: No solution found.
Tue May 20 00:57:08 CEST 2014: 67: finished (4032ms, 415cycles)
Tue May 20 00:57:08 CEST 2014: 67: Solution found.
Tue May 20 00:57:18 CEST 2014: 68: finished (9373ms, 500cycles)
Tue May 20 00:57:18 CEST 2014: 68: No solution found.
Tue May 20 00:57:30 CEST 2014: 69: finished (12824ms, 500cycles)
Tue May 20 00:57:30 CEST 2014: 69: No solution found.
Tue May 20 00:57:38 CEST 2014: 70: finished (7751ms, 500cycles)
Tue May 20 00:57:38 CEST 2014: 70: No solution found.
Tue May 20 00:57:44 CEST 2014: 71: finished (6260ms, 500cycles)
Tue May 20 00:57:44 CEST 2014: 71: No solution found.
Tue May 20 00:57:50 CEST 2014: 72: finished (5473ms, 476cycles)
Tue May 20 00:57:50 CEST 2014: 72: Solution found.
Tue May 20 00:57:57 CEST 2014: 73: finished (6997ms, 500cycles)
Tue May 20 00:57:57 CEST 2014: 73: No solution found.
Tue May 20 00:58:03 CEST 2014: 74: finished (5749ms, 500cycles)
Tue May 20 00:58:03 CEST 2014: 74: No solution found.
Tue May 20 00:58:10 CEST 2014: 75: finished (7580ms, 500cycles)
Tue May 20 00:58:10 CEST 2014: 75: No solution found.
Tue May 20 00:58:20 CEST 2014: 76: finished (9361ms, 500cycles)
Tue May 20 00:58:20 CEST 2014: 76: No solution found.
Tue May 20 00:58:27 CEST 2014: 77: finished (6959ms, 481cycles)
Tue May 20 00:58:27 CEST 2014: 77: Solution found.
Tue May 20 00:58:33 CEST 2014: 78: finished (6089ms, 357cycles)
Tue May 20 00:58:33 CEST 2014: 78: Solution found.
Tue May 20 00:58:43 CEST 2014: 79: finished (9879ms, 500cycles)
Tue May 20 00:58:43 CEST 2014: 79: No solution found.
Tue May 20 00:58:53 CEST 2014: 80: finished (10566ms, 500cycles)
Tue May 20 00:58:53 CEST 2014: 80: No solution found.
Tue May 20 00:58:59 CEST 2014: 81: finished (5654ms, 500cycles)
Tue May 20 00:58:59 CEST 2014: 81: No solution found.
Tue May 20 00:59:06 CEST 2014: 82: finished (7329ms, 500cycles)
Tue May 20 00:59:06 CEST 2014: 82: No solution found.
Tue May 20 00:59:13 CEST 2014: 83: finished (6549ms, 475cycles)
Tue May 20 00:59:13 CEST 2014: 83: Solution found.
Tue May 20 00:59:26 CEST 2014: 84: finished (13332ms, 500cycles)
Tue May 20 00:59:26 CEST 2014: 84: No solution found.
Tue May 20 00:59:36 CEST 2014: 85: finished (9840ms, 500cycles)
